source_point,dest_point,quantity
Fiji,Japan,6.0
Kiribati,Japan,3.0
Mexico,Japan,38498.0
New Zealand,Japan,12742.0
Solomon Isds,Japan,3.0
Samoa,Japan,3.0
USA,Japan,82441.0
Albania,Korea,2114.0
Andorra,Korea,6.0
United Arab Emirates,Korea,413.0
Armenia,Korea,4.0
Austria,Korea,35197.0
Azerbaijan,Korea,1143.0
Burundi,Korea,344.0
Bangladesh,Korea,3.0
Bulgaria,Korea,9241.0
Bahrain,Korea,3.0
Bosnia Herzegovina,Korea,249.0
Belarus,Korea,3444.0
Brunei Darussalam,Korea,30.0
Comoros,Korea,4.0
Cyprus,Korea,2011.0
Denmark,Korea,19805.0
Algeria,Korea,853.0
Egypt,Korea,8509.0
Estonia,Korea,2243.0
Ethiopia,Korea,897.0
Georgia,Korea,98.0
Greece,Korea,48776.0
Greenland,Korea,1.0
Croatia,Korea,7411.0
Indonesia,Korea,50449.0
Ireland,Korea,16236.0
Iran,Korea,97.0
Iceland,Korea,1046.0
Israel,Korea,36742.0
Jordan,Korea,1977.0
Kazakhstan,Korea,2961.0
Kenya,Korea,15136.0
Kyrgyzstan,Korea,3.0
Cambodia,Korea,1401.0
Kuwait,Korea,16.0
Lao People's Dem. Rep.,Korea,8831.0
Lebanon,Korea,10860.0
Sri Lanka,Korea,107114.0
Lithuania,Korea,4366.0
Luxembourg,Korea,2322.0
Latvia,Korea,2703.0
Morocco,Korea,2195.0
Rep. of Moldova,Korea,473.0
Madagascar,Korea,532.0
Maldives,Korea,146.0
North Macedonia,Korea,257.0
Malta,Korea,968.0
Mongolia,Korea,407.0
Mauritius,Korea,774.0
Malawi,Korea,2089.0
Malaysia,Korea,47.0
Nepal,Korea,435.0
Oman,Korea,848.0
Pakistan,Korea,40656.0
State of Palestine,Korea,40.0
Philippines,Korea,210713.0
Palau,Korea,3.0
Portugal,Korea,40176.0
Qatar,Korea,16.0
Rwanda,Korea,8.0
Saudi Arabia,Korea,12685.0
Sudan,Korea,9.0
Slovenia,Korea,3841.0
Seychelles,Korea,115.0
Tajikistan,Korea,114.0
Tunisia,Korea,251.0
United Rep. of Tanzania,Korea,3632.0
Uganda,Korea,25655.0
Ukraine,Korea,139.0
Uzbekistan,Korea,1724.0
Yemen,Korea,974.0
Myanmar,Korea,5461.0
USA,Korea,369858.0
Australia,Korea,35219.999999997235
Belgium,Japan,35799.99999999717
Brazil,Sweden,157999.9999999668
Canada,Korea,111499.99999999261
Czechia,Hungary,48339.99999999949
Czechia,Japan,7250.0000000000055
Finland,Sweden,9810.000000000007
France,Korea,154829.99999996857
Germany,Korea,89510.00000000477
Italy,Hungary,47759.999999999294
Italy,Japan,92190.0000000033
Netherlands,Korea,27519.99999999808
Poland,Korea,84720.00000000744
Romania,Sweden,31989.999999997588
Slovakia,Korea,17919.999999999134
Spain,Japan,60120.000000003434
Turkey,Hungary,25229.99999999833
USA,Korea,159139.99999996618
United Kingdom,Korea,45999.99999999871
Viet Nam,Korea,53360.00000000118
