year,Strategy type,Direct_rate,Hydro_rate
2023,Consumer-side RS,71,29
2023,Producer-side RS,68,32
2023,Non-RS,66,34
2024,Consumer-side RS,69,31
2024,Producer-side RS,67,33
2024,Non-RS,66,34
2025,Consumer-side RS,66,34
2025,Producer-side RS,65,35
2025,Non-RS,63,37
2026,Consumer-side RS,65,35
2026,Producer-side RS,64,36
2026,Non-RS,62,38
2027,Consumer-side RS,65,35
2027,Producer-side RS,63,37
2027,Non-RS,62,38
2028,Consumer-side RS,61,39
2028,Producer-side RS,63,37
2028,Non-RS,62,38
2029,Consumer-side RS,62,38
2029,Producer-side RS,62,38
2029,Non-RS,62,38
2030,Consumer-side RS,65,35
2030,Producer-side RS,63,37
2030,Non-RS,66,34
2031,Consumer-side RS,65,35
2031,Producer-side RS,66,34
2031,Non-RS,67,33
2032,Consumer-side RS,66,34
2032,Producer-side RS,67,33
2032,Non-RS,67,33
2033,Consumer-side RS,67,33
2033,Producer-side RS,68,32
2033,Non-RS,68,32
