country,Strategy,Optimal,o-h,o-d,Direct_rate,Hydro_rate
USA,Strategy 1,6.134346150950691,0.7465592482164531,0.9283284395649458,0.5,0.5
USA,Strategy 3,7.116467336645669,1.2182281886196842,0.7774258576914637,0.5,0.5
USA,Strategy 2,7.116467336645669,1.2182281886196842,0.7774258576914637,0.5,0.5
Brazil,Strategy 1,0.32966220971025595,1.3391849875667539,1.5201711880962285,0.67,0.33
Brazil,Strategy 2,8.729243572785048,1.0918855615244532,1.7076258476281687,0.5,0.5
Brazil,Strategy 3,8.575688330083702,1.03623534807965,1.751488414325622,0.5,0.5
Canada,Strategy 1,4.808355363115101,0.24697977808568794,2.326593043805013,0.33,0.67
Canada,Strategy 2,7.010925925090468,0.7822852492788455,1.912014830236724,0.5,0.5
Canada,Strategy 3,7.010925925090468,0.7822852492788455,1.912014830236724,0.5,0.5
Thailand,Strategy 1,3.5539964743189976,1.0488606919452979,1.7019425725080484,0.67,0.33
Thailand,Strategy 2,5.812006845218668,0.7724288035650124,1.873117099454849,0.5,0.5
Thailand,Strategy 3,3.553851769277292,1.048887788878647,1.7019271884353695,0.67,0.33
Russia,Strategy 2,4.853595355656254,0.5861097137346745,2.15064147409523,0.5,0.5
Russia,Strategy 3,3.2651092137711077,1.095994221018477,1.672724190648376,0.67,0.33
Russia,Strategy 1,3.265112825718779,1.095993504943325,1.6727245969058797,0.67,0.33
India,Strategy 1,6.8652323745560535,0.7882858555063974,1.8976053937908306,0.5,0.5
India,Strategy 2,7.9060616691144725,0.9368143365635913,1.8353697158559532,0.5,0.5
India,Strategy 3,6.8652323745560535,0.7882858555063974,1.8976053937908288,0.5,0.5
Viet Nam,Strategy 3,-1.8787112421188,2.6573074707277025,0.8583238659428674,0.83,0.17
Viet Nam,Strategy 1,-5.40480324049791,2.0380561073490826,1.131611385072489,0.67,0.33
Viet Nam,Strategy 2,-1.8787112421188,2.6573074707277025,0.8583238659428674,0.83,0.17
Japan,Strategy 2,7.4053238155653744,1.1624474210638018,1.201522988531421,0.5,0.5
