Variable,Coefficient,Sensitivity,Strategy type
Australia,600539276.8880004,0.1240842189125995,Strategy 3
Belgium,210471419.09246862,0.04348788271909479,Strategy 3
Brazil,127258448.12992986,0.026294308705435195,Strategy 3
Canada,326842302.27484834,0.06753258836879361,Strategy 3
Czechia,73397986.73804896,0.015165589004175462,Strategy 3
Finland,121708118.46254303,0.025147492255636915,Strategy 3
France,25756832.876812045,0.005321910842773466,Strategy 3
Germany,116814888.57799558,0.02413644663122708,Strategy 3
Hungary,13619336.915593978,0.0028140453893978744,Strategy 3
India,184709752.18484074,0.038164973062486715,Strategy 3
Italy,-147882943.92089537,0.030555769277922338,Strategy 3
Japan,571375106.2297473,0.11805827943514216,Strategy 3
Korea,-111300699.94617392,0.022997097689952197,Strategy 3
Netherlands,-25544506.117704783,0.005278039607248963,Strategy 3
Norway,-220089463.5419443,0.045475175772039314,Strategy 3
Poland,-218795125.4302844,0.04520773792113572,Strategy 3
Romania,-114779030.09742683,0.023715794861892302,Strategy 3
Russia,-89301428.82606985,0.01845157922240038,Strategy 3
Serbia,-168329408.84925455,0.03478044487833685,Strategy 3
Slovakia,-166529661.69839582,0.03440857874393224,Strategy 3
Spain,-11653460.185501598,0.002407853341816844,Strategy 3
Sweden,139483324.53174156,0.028820228820906308,Strategy 3
Switzerland,297713497.2161808,0.06151395617825294,Strategy 3
Thailand,-111922229.98022513,0.023125519046845976,Strategy 3
Turkey,257493604.69149798,0.053203668840286336,Strategy 3
UK,13848953.918298721,0.002861489157900936,Strategy 3
USA,25343241.753262162,0.005236454098327353,Strategy 3
Viet Nam,347267536.3101936,0.07175287721404017,Strategy 3
Australia,93989869.4432456,0.03496217620353275,Strategy 2
Belgium,91382774.69856934,0.033992393966546935,Strategy 2
Brazil,-46068321.282254525,0.01713640816411291,Strategy 2
Canada,-111926323.95208037,0.04163414507336073,Strategy 2
Czechia,63697717.648141585,0.023694158119050814,Strategy 2
Finland,90480118.86589359,0.03365662573471411,Strategy 2
France,-97995080.18846947,0.03645202702082062,Strategy 2
Germany,-37958101.33794574,0.014119583686943618,Strategy 2
Hungary,-53886327.98966951,0.020044535706838063,Strategy 2
India,-169527159.20413667,0.06306039625853858,Strategy 2
Italy,-120617812.17910679,0.04486718864139885,Strategy 2
Japan,80826255.06253147,0.030065599496063362,Strategy 2
Korea,4477529.355279869,0.001665543012274446,Strategy 2
Netherlands,-299095430.52180696,0.11125695998428027,Strategy 2
Norway,-65172862.02334421,0.024242879570383683,Strategy 2
Poland,67608049.37485483,0.025148716016124666,Strategy 2
Romania,-23549975.33310532,0.00876007586841102,Strategy 2
Russia,115314212.83527328,0.04289436565664075,Strategy 2
Serbia,-15582874.481516756,0.005796488564220202,Strategy 2
Slovakia,45645503.691187724,0.01697912926577635,Strategy 2
Spain,-195955537.92978585,0.07289117524837198,Strategy 2
Sweden,-184691326.92326742,0.06870113506280205,Strategy 2
Switzerland,-57955886.90044695,0.021558322634642784,Strategy 2
Thailand,-258116944.63683355,0.09601385929107702,Strategy 2
Turkey,47132233.25987144,0.017532160155756565,Strategy 2
UK,-166072282.64516506,0.06177525772465481,Strategy 2
USA,-46089326.59990496,0.017144221682966122,Strategy 2
Viet Nam,-37514227.13573505,0.013954472189695893,Strategy 2
Australia,241951992.79787633,0.033474659429106844,Strategy 1
Belgium,-286721844.148719,0.03966867961191706,Strategy 1
Brazil,112953897.97780085,0.015627452463909407,Strategy 1
Canada,-187998170.83846572,0.026010014091390126,Strategy 1
Czechia,-44655012.70374095,0.006178131970621604,Strategy 1
Finland,-572326404.5935336,0.07918278024706522,Strategy 1
France,46838314.82222992,0.006480197243993088,Strategy 1
Germany,377785546.9320568,0.05226756917581569,Strategy 1
Hungary,109139307.26976423,0.01509969436059164,Strategy 1
India,-182753877.60708892,0.025284453091306273,Strategy 1
Italy,169931184.73251316,0.02351040166905146,Strategy 1
Japan,-253611476.62544617,0.03508777798925497,Strategy 1
Korea,3608484.1031265124,0.0004992427423749919,Strategy 1
Netherlands,-76907722.1820985,0.010640374471578683,Strategy 1
Norway,-251957727.64902198,0.034858977708972595,Strategy 1
Poland,63121904.05480312,0.008733072277344099,Strategy 1
Romania,-62150046.093687646,0.008598613313457886,Strategy 1
Russia,-480904317.64722073,0.06653430734367163,Strategy 1
Serbia,-1495090.5578318834,0.0002068494938204739,Strategy 1
Slovakia,-24138569.38595251,0.003339631056379203,Strategy 1
Spain,-205000200.16304192,0.02836228709671861,Strategy 1
Sweden,68830146.41771525,0.009522821792641172,Strategy 1
Switzerland,56237793.73094481,0.007780638507740619,Strategy 1
Thailand,-463457238.98186475,0.06412046065614498,Strategy 1
Turkey,-368485340.37998253,0.05098086248929087,Strategy 1
UK,543446984.7683064,0.07518724075189243,Strategy 1
USA,-158946637.11801878,0.02199066221112857,Strategy 1
Viet Nam,-1812559759.4540062,0.2507721467428196,Strategy 1
