Variable,Coefficient,Sensitivity,Strategy type
Australia,327232438.69673073,0.06858649434032003,Strategy 3
Belgium,19269172.639130276,0.004038734684800557,Strategy 3
Brazil,84285260.20295726,0.017665823550091348,Strategy 3
Canada,342476466.55318755,0.0717815762046505,Strategy 3
Czechia,71848599.01448673,0.01505915351574908,Strategy 3
Finland,43762583.4152841,0.009172446936142194,Strategy 3
France,24377471.509671237,0.005109411885900795,Strategy 3
Germany,242613816.81828907,0.05085079963454512,Strategy 3
Hungary,23180082.576044314,0.004858444378992118,Strategy 3
India,-241261463.95867953,0.05056735236348259,Strategy 3
Italy,-200951207.18001392,0.042118498058518423,Strategy 3
Japan,649386093.2300647,0.13610849763364657,Strategy 3
Korea,-261234784.777528,0.054753673440803806,Strategy 3
Netherlands,-43119560.40887948,0.009037672113801494,Strategy 3
Norway,-231201557.8432957,0.048458839843773714,Strategy 3
Poland,-30715058.01235833,0.006437742422228456,Strategy 3
Romania,-82532653.5516763,0.017298484827049005,Strategy 3
Russia,-159359593.9800043,0.03340107702682491,Strategy 3
Serbia,-300288053.24272907,0.0629390684683484,Strategy 3
Slovakia,-68490801.2674166,0.014355373728229908,Strategy 3
Spain,-143351544.89884356,0.030045859640439414,Strategy 3
Sweden,217389912.22212797,0.04556397905919041,Strategy 3
Switzerland,258008102.6115057,0.0540773749081788,Strategy 3
Thailand,-202622917.5006542,0.04246888126289111,Strategy 3
Turkey,232051634.28905326,0.0486370121654665,Strategy 3
UK,-2495103.368992367,0.0005229628021521025,Strategy 3
USA,37813720.84159579,0.007925591242780609,Strategy 3
Viet Nam,229771824.0264557,0.048159173861001936,Strategy 3
Australia,390501742.7788095,0.036832235127838696,Strategy 2
Belgium,353805475.73183066,0.03337103281265756,Strategy 2
Brazil,-206025358.50195894,0.019432370244093042,Strategy 2
Canada,-303839868.0684423,0.028658262527261728,Strategy 2
Czechia,460228444.3675027,0.04340887739664947,Strategy 2
Finland,332810239.4191364,0.031390756169252895,Strategy 2
France,-320700761.875319,0.03024858681299012,Strategy 2
Germany,-133658351.28269942,0.012606693599398675,Strategy 2
Hungary,-177932250.37305036,0.016782620317978482,Strategy 2
India,-731741055.5042595,0.06901802388188541,Strategy 2
Italy,-394363761.0592417,0.03719650178734363,Strategy 2
Japan,620513557.263188,0.05852701470291506,Strategy 2
Korea,-238146848.4415892,0.02246207828507126,Strategy 2
Netherlands,-840839232.3233411,0.0793081948604437,Strategy 2
Norway,-96499905.62435247,0.009101898466516312,Strategy 2
Poland,327206610.3452682,0.030862220285778456,Strategy 2
Romania,-118939181.07711968,0.011218377291151946,Strategy 2
Russia,585977626.5196767,0.05526957592056301,Strategy 2
Serbia,-85338470.48825885,0.008049148739021298,Strategy 2
Slovakia,176564323.04071957,0.01665359702403958,Strategy 2
Spain,-691935038.8894947,0.06526350910552466,Strategy 2
Sweden,-650128005.6062983,0.061320257869495534,Strategy 2
Switzerland,-176002759.1819207,0.016600630161614352,Strategy 2
Thailand,-873848849.1846892,0.08242167128455714,Strategy 2
Turkey,182780418.74666324,0.017239900933951065,Strategy 2
UK,-624699300.6965978,0.05892181521065949,Strategy 2
USA,-232538907.5654487,0.02193313571118364,Strategy 2
Viet Nam,-274607035.5147043,0.025901013470163683,Strategy 2
Australia,-101099822.43095987,0.008866343482171244,Strategy 1
Belgium,-357557951.9782697,0.03135744001119242,Strategy 1
Brazil,762997759.4099436,0.06691406620101012,Strategy 1
Canada,-152481950.5567148,0.013372499733028962,Strategy 1
Czechia,-322225422.0984084,0.028258815913975454,Strategy 1
Finland,-466777336.4104308,0.04093586017061597,Strategy 1
France,21898337.284227844,0.0019204601490075803,Strategy 1
Germany,830762931.3578672,0.07285699741663107,Strategy 1
Hungary,208598089.39606613,0.018293823528455686,Strategy 1
India,-407292867.03532815,0.03571913748354578,Strategy 1
Italy,559785494.7543261,0.04909257359199006,Strategy 1
Japan,-489721047.8665787,0.042947998487327194,Strategy 1
Korea,49429539.06955061,0.004334916333362723,Strategy 1
Netherlands,-44361537.26313526,0.0038904581364689723,Strategy 1
Norway,-298891047.31458205,0.02621241685213335,Strategy 1
Poland,28651894.207772613,0.0025127396799774263,Strategy 1
Romania,-237792170.4366403,0.02085411239868428,Strategy 1
Russia,-759442969.0146449,0.06660231498430186,Strategy 1
Serbia,-14836585.60521409,0.0013011522761901722,Strategy 1
Slovakia,82277458.97576904,0.007215642862454984,Strategy 1
Spain,-126300029.44839545,0.011076373983372044,Strategy 1
Sweden,167662636.99017075,0.014703829274246235,Strategy 1
Switzerland,178033932.78470898,0.015613380534164318,Strategy 1
Thailand,-737248842.3643699,0.06465591443248557,Strategy 1
Turkey,-505549242.20453876,0.04433611376120661,Strategy 1
UK,840909987.4323494,0.07374688309917665,Strategy 1
USA,-379955355.9673361,0.03332166776254803,Strategy 1
Viet Nam,-2270108992.4144187,0.19908606746027513,Strategy 1
