,iso3,country,continent,lat,lon,producer,kmeans_cluster
0,ABW,Aruba,America,12.55,-70.1,False,4
1,AFG,Afghanistan,Asia,34.51667,69.2,False,5
2,AGO,Angola,Africa,-8.833333,13.25,False,0
3,ALB,Albania,Europe,41.33333,19.81667,False,1
4,AND,Andorra,Europe,42.5,1.5,False,1
5,ARE,United Arab Emirates,Asia,24.46667,54.41667,False,5
6,ARG,Argentina,America,-34.66667,-58.5,False,3
7,ARM,Armenia,Asia,40.18333,44.5,False,1
8,AUS,Australia,Pacific,-33.883340000000004,151.1667,True,2
9,AUT,Austria,Europe,48.21667,16.366670000000006,False,1
10,AZE,Azerbaijan,Asia,40.36666,49.88334,False,1
11,BDI,Burundi,Africa,-3.366667,29.31667,False,0
12,BEL,Belgium,Europe,50.83333,4.35,True,1
13,BEN,Benin,Africa,6.4,2.517,False,0
14,BFA,Burkina Faso,Africa,12.33333,-1.666667,False,0
15,BGD,Bangladesh,Asia,23.7,90.36667,False,5
16,BGR,Bulgaria,Europe,42.66667,23.3,False,1
17,BHR,Bahrain,Asia,26.2,50.63334,False,5
18,BHS,Bahamas,America,25.08333,-77.33334,False,4
19,BIH,Bosnia Herzegovina,Europe,43.86666,18.43333,False,1
20,BLR,Belarus,Europe,53.85,27.5,False,1
21,BMU,Bermuda,America,32.3,-64.8,False,4
22,BOL,Bolivia (Plurinational State of),America,-16.5,-68.16666,False,3
23,BRA,Brazil,America,-23.53,-46.63,True,3
24,BRB,Barbados,America,13.1,-59.61666,False,4
25,BRN,Brunei Darussalam,Asia,4.933333,114.9667,False,2
26,BWA,Botswana,Africa,-24.75,25.91667,False,0
27,CAN,Canada,America,43.65,-79.38,True,4
28,CHE,Switzerland,Europe,46.95,7.433333,True,1
29,CHL,Chile,America,-33.5,-70.66666,False,3
30,CHN,China,Asia,39.91667,116.4333,True,5
31,CIV,C?te d'Ivoire,Africa,6.82,-5.28,False,0
32,CMR,Cameroon,Africa,3.85,11.51667,False,0
33,COG,Congo,Africa,-4.233333,15.23333,False,0
34,COL,Colombia,America,4.633333,-75.06667,False,4
35,COM,Comoros,Africa,-11.66667,43.26667,False,0
36,CPV,Cabo Verde,Africa,14.916670000000002,-23.5,False,4
37,CRI,Costa Rica,America,9.983334,-84.06667,False,4
38,CYM,Cayman Isds,America,19.3,-81.38333,False,4
39,CYP,Cyprus,Europe,35.15,33.35,False,1
40,CZE,Czechia,Europe,50.1,14.433329999999998,True,1
41,DEU,Germany,Europe,52.533,13.417,True,1
42,DNK,Denmark,Europe,55.66667,12.58333,False,1
43,DOM,Dominican Rep.,America,18.5,-69.78333,False,4
44,DZA,Algeria,Africa,36.83333,3.0,False,1
45,ECU,Ecuador,America,-0.2333333,-78.5,False,4
46,EGY,Egypt,Africa,30.05,31.25,False,1
47,ESP,Spain,Europe,40.41667,-3.716667,True,1
48,EST,Estonia,Europe,59.41667,24.75,False,1
