recycling_m,Equipment,Cost,Person-hrs/day,Equ of pieces,year$,Cost of pieces,Capa. Adj.,a,b,c,adj.
Pyro,Hopper,80100,6,2,2017,40050,1,38700,0,0,1.034889776
Pyro,Conveyor,42430,2,2,2017,21215,1,20500,0,0,1.034889776
Pyro,Smelter,6352131,24,2,2014,6352131,1,6137979,0.48,0,1.034889776
Pyro,Gas treatment,1000000,12,1,2014,1000000,1,1000000,0,0,1
Pyro,Conveyor,42430,2,2,2017,21215,1,20500,0,0,1.034889776
Pyro,Granulator,61890,6,2,2014,30945,1,29902,0.6671,0,1.034889776
Pyro,Leaching tank,571874,12,2,2014,285937,0.3,473892,0.4481,0,1.034889776
Pyro,Solvent extraction unit,980850,12,2,2017,490425,1,473892,0.4481,0,1.034889776
Pyro,Electrowinning cell,1416232,0,2,2014,708116,1,684243,0.507,0,1.034889776
Pyro,Solvent extraction unit,980850,12,2,2017,490425,1,473892,0.4481,0,1.034889776
Pyro,Solvent extraction unit,980850,12,2,2017,490425,1,473892,0.4481,0,1.034889776
Pyro,Wheel loader,300000,20,2,2020,150000,1,150000,0,0,1
Pyro,Water treatment,1000000,12,1,2020,1000000,1,1000000,0,0,1
Hydro,Conveyor,42430,2,2,2017,21215,1,20500,0,0,1.034889776
Hydro,Leaching tank,571874,12,2,2014,285937,0.3,473892,0.4481,0,1.034889776
Hydro,Mixing tank,571874,6,2,-,285937,0.3,473892,0.4481,0,1.034889776
Hydro,Filter press,179035,6,1,2017,179035,0.78,173000,0,0,1.034889776
Hydro,Solvent extraction unit,980850,12,2,2017,490425,1,473892,0.4481,0,1.034889776
Hydro,Solvent extraction unit,980850,12,2,2017,490425,1,473892,0.4481,0,1.034889776
Hydro,Solvent extraction unit,980850,12,2,2017,490425,1,473892,0.4481,0,1.034889776
Hydro,Evaporator,1034888,6,2,2014,517444,1,500000,0,0,1.034889776
Hydro,Precipitation tank,980850,12,2,2017,490425,1,473892,0.4481,0,1.034889776
Hydro,Centrifuge,552700,0,2,2003,276350,1,186335,0,0,1.483084577
Hydro,Dryer,506014,6,1,2017,506014,0.4,591236.1106,0.6,0,1.483084577
Hydro,Water treatment,1000000,12,1,2020,1000000,1,1000000,0,0,1
Hydro,Wheel loader,300000,20,2,2020,150000,1,150000,0,0,1
Hydro,Wheel loader,300000,20,2,2020,150000,1,150000,0,0,1
Hydro,Water treatment,1000000,12,1,2020,1000000,1,1000000,0,0,1
Direct,Conveyor,42430,2,2,2017,21215,1,20500,0,0,1.034889776
Direct,Froth flotation cell,308400,6,2,2019,3748,1,3819.05,1.0285,0,0.981399177
Direct,Filter press,170417,6,1,2017,179035,0.5,173000,0,0,1.034889776
Direct,Froth flotation cell,308400,6,2,2019,2979,0.8,3819.05,1.0285,0,0.981399177
Direct,Filter press,170417,6,1,2017,179035,0.5,173000,0,0,1.034889776
Direct,Dryer,1265082,6,1,2017,506014,0.4,591236.1106,0.6,0,1.483084577
Direct,Ball mill,106742,6,2,2003,51416,0.4,65240.11777,0.69,0,1.483084577
Direct,Furnace+saggar handling system,3800000,24,1,2020,3800000,1,3800000,0,0,1
Direct,Water treatment,1000000,12,1,2020,1000000,1,1000000,0,0,1
Direct,Wheel loader,300000,20,2,2020,150000,1,150000,0,0,1
Preprocss,Hopper,80100,6,2,2017,40050,1,38700,0,0,1.034889776
Preprocss,Conveyor,42430,2,2,2017,21215,1,20500,0,0,1.034889776
Preprocss,Crusher,215377,6,2,2002,10914,1,7242.4,0.5497,0,1.507077856
Preprocss,"Screen, vibrating",38910,6,2,2017,19455,1,18800,1,0,1.034889776
Preprocss,Conveyor,42430,2,2,2017,21215,1,20500,0,0,1.034889776
Preprocss,Heat treatment furnace,524728,12,1,2017,524728,1,507038,0.64,0,1.034889776
Preprocss,Cyclone,192488,6,2,2017,96244,1,64895.05634,0.96,0,1.483084577
Preprocss,Conveyor,42430,2,2,2017,21215,1,20500,0,0,1.034889776
Preprocss,Eddy current separator,483854,0,2,2001,241927,0.5,160000,0,0,1.512046665
Preprocss,Conveyor,42430,2,2,2017,21215,1,20500,0,0,1.034889776
Preprocss,Air classifier,32040,6,2,2017,16020,0.3,51600,1,0,1.034889776
Preprocss,Gas treatment,1000000,12,1,2017,1000000,1,1000000,0,0,1
Preprocss,Wheel loader,300000,20,2,2017,150000,1,150000,0,0,1
