Country,Waste battery generation,Recycling capacity (planned),Year
China,7.531860006,248.4,2023
China,765.8934088,909.7,2033
Korea,0.2 ,10.6 ,2023
Korea,15.1 ,206.1 ,2033
USA,2.8 ,7.6 ,2023
USA,134.9 ,73.8 ,2033
Brazil,0.0 ,0.0 ,2023
Brazil,130.6 ,1.0 ,2033
India,0.0 ,3.5 ,2023
India,11.5 ,61.4 ,2033
Japan,0.3 ,2.5 ,2023
Japan,3.4 ,36.4 ,2033
Sweden,0.3 ,1.0 ,2023
Sweden,3.5 ,23.5 ,2033
Norway,0.5 ,2.9 ,2023
Norway,1.5 ,19.9 ,2033
Germany,1.0 ,8.1 ,2023
Germany,28.9 ,19.9 ,2033
United Kingdom,0.5 ,1.1 ,2023
United Kingdom,22.1 ,17.5 ,2033
Hungary,0.0 ,3.5 ,2023
Hungary,1.4 ,13.5 ,2033
Canada,0.2 ,0.5 ,2023
Canada,24.5 ,13.3 ,2033
Spain,0.1 ,0.8 ,2023
Spain,18.8 ,12.8 ,2033
Italy,0.2 ,4.4 ,2023
Italy,25.0 ,11.0 ,2033
France,0.7 ,0.9 ,2023
France,25.6 ,10.1 ,2033
Switzerland,0.1 ,0.9 ,2023
Switzerland,2.9 ,8.9 ,2033
Poland,0.0 ,3.0 ,2023
Poland,16.5 ,8.0 ,2033
Thailand,0.1 ,3.0 ,2023
Thailand,2.1 ,5.9 ,2033
Russian Federation,0.1 ,3.0 ,2023
Russian Federation,2.0 ,5.9 ,2033
Netherlands,0.4 ,1.4 ,2023
Netherlands,6.2 ,3.4 ,2033
Australia,0.0 ,0.5 ,2023
Australia,4.8 ,1.3 ,2033
Turkey,0.2 ,0.0 ,2023
Turkey,3.5 ,1.0 ,2033
Belgium,0.2 ,0.8 ,2023
Belgium,4.5 ,0.9 ,2033
Finland,0.1 ,0.7 ,2023
Finland,1.7 ,0.7 ,2033
Viet Nam,0.8 ,0.3 ,2023
Viet Nam,5.9 ,0.6 ,2033
Serbia,0.0 ,0.1 ,2023
Serbia,0.1 ,0.1 ,2033
Czechia,0.0 ,0.1 ,2023
Czechia,5.7 ,0.1 ,2033
Slovakia,0.0 ,0.1 ,2023
Slovakia,1.9 ,0.1 ,2033
Romania,0.0 ,0.1 ,2023
Romania,3.3 ,0.1 ,2033
