Year,China,India,Japan,Korea,Thailand,Viet Nam,France,Germany,Hungary,Italy,Poland,Slovakia,Spain,Sweden,United Kingdom,Norway,Russian Federation,Serbia,Turkey,USA,Canada,Brazil,Australia,Czechia,Netherlands,Belgium,Finland,Switzerland,Romania
2010,0.0 ,0.0 ,10.2 ,6.6 ,0.0 ,0.0 ,0.1 ,0.0 ,0.0 ,0.0 ,3.6 ,0.0 ,0.0 ,0.0 ,1.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2011,0.0 ,0.0 ,10.2 ,6.6 ,0.0 ,0.0 ,0.1 ,0.0 ,0.0 ,0.0 ,3.6 ,0.0 ,0.0 ,0.0 ,1.2 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2012,0.0 ,0.0 ,10.2 ,6.6 ,0.0 ,0.0 ,0.1 ,0.0 ,0.0 ,0.0 ,3.6 ,0.0 ,0.0 ,0.0 ,1.2 ,0.0 ,0.0 ,0.0 ,0.0 ,4.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2013,0.0 ,0.0 ,10.2 ,6.6 ,0.0 ,0.0 ,0.1 ,0.0 ,0.0 ,0.0 ,3.6 ,0.0 ,0.0 ,0.0 ,1.2 ,0.0 ,0.0 ,0.0 ,0.0 ,6.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2014,12.0 ,0.0 ,10.2 ,6.6 ,0.0 ,0.0 ,0.1 ,0.0 ,0.0 ,0.0 ,3.6 ,0.0 ,0.0 ,0.0 ,1.2 ,0.0 ,0.0 ,0.0 ,0.0 ,10.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2015,30.0 ,0.0 ,10.2 ,6.6 ,0.0 ,0.0 ,0.1 ,0.0 ,0.0 ,0.0 ,3.6 ,0.0 ,0.0 ,0.0 ,1.2 ,0.0 ,0.0 ,0.0 ,0.0 ,12.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2016,36.0 ,0.0 ,10.2 ,6.6 ,0.0 ,0.0 ,0.1 ,0.0 ,0.0 ,0.0 ,3.6 ,0.0 ,0.0 ,0.0 ,1.2 ,0.0 ,0.0 ,0.0 ,0.0 ,12.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2017,60.0 ,0.0 ,10.2 ,6.6 ,0.0 ,0.0 ,0.1 ,0.0 ,0.0 ,0.0 ,3.6 ,0.0 ,0.0 ,0.0 ,1.2 ,0.0 ,0.0 ,0.0 ,0.0 ,12.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2018,156.0 ,0.0 ,10.2 ,6.6 ,0.0 ,0.0 ,0.1 ,0.0 ,1.8 ,0.0 ,3.6 ,0.0 ,0.0 ,0.0 ,1.2 ,0.0 ,0.0 ,0.0 ,0.0 ,16.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019,160.8 ,0.0 ,10.2 ,10.8 ,0.0 ,0.0 ,0.1 ,0.0 ,4.8 ,0.0 ,3.6 ,0.0 ,0.0 ,0.0 ,1.2 ,0.0 ,0.0 ,0.0 ,0.0 ,22.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2020,210.0 ,0.0 ,10.2 ,10.8 ,0.0 ,0.0 ,0.1 ,0.0 ,12.6 ,0.0 ,3.6 ,0.0 ,0.0 ,0.0 ,1.2 ,0.0 ,0.0 ,0.0 ,0.0 ,25.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2021,334.8 ,4.0 ,10.2 ,10.8 ,0.6 ,0.0 ,0.1 ,6.6 ,16.8 ,0.0 ,13.2 ,0.0 ,0.0 ,2.4 ,1.2 ,0.0 ,0.0 ,0.0 ,0.0 ,26.4 ,0.0 ,0.0 ,0.6 ,0.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2022,385.0 ,7.0 ,13.2 ,13.6 ,0.6 ,1.8 ,0.4 ,21.2 ,32.9 ,0.1 ,27.0 ,1.2 ,1.2 ,9.6 ,2.4 ,0.0 ,0.0 ,0.0 ,0.0 ,56.9 ,0.1 ,0.1 ,0.6 ,0.6 ,0.6 ,0.6 ,0.0 ,0.7 ,0.0 
