Period,ReporterISO,ReporterDesc,FlowDesc,PartnerISO,PartnerDesc,CmdCode,NetWgt,PrimaryValue,Probability
2016,AUS,Australia,Export,BEL,Belgium,850760,244.0,65292.0,0.00652948154578518
2016,AUS,Australia,Export,CHN,China,850760,2650831.0,73143639.0,70.93668891596423
2016,AUS,Australia,Export,CZE,Czechia,850760,416.0,32618.0,0.011132230832158339
2016,AUS,Australia,Export,FIN,Finland,850760,2026.0,55551.0,0.05421610496623268
2016,AUS,Australia,Export,FRA,France,850760,5631.0,540698.0,0.15068651878818176
2016,AUS,Australia,Export,DEU,Germany,850760,62907.0,4944182.0,1.6834020311504438
2016,AUS,Australia,Export,ITA,Italy,850760,17933.0,709686.0,0.47989013344494114
2016,AUS,Australia,Export,JPN,Japan,850760,137866.0,11971100.0,3.6893176343902443
2016,AUS,Australia,Export,NLD,Netherlands,850760,51622.0,1119661.0,1.3814135096578792
2016,AUS,Australia,Export,KOR,North Korea,850760,188759.0,9837208.0,5.051222979921577
2016,AUS,Australia,Export,POL,Poland,850760,20203.0,1160281.0,0.5406357199569589
2016,AUS,Australia,Export,ROU,Romania,850760,316.0,11592.0,0.0084562138051972
2016,AUS,Australia,Export,SVK,Slovakia,850760,39826.0,25881.0,1.0657505411575432
2016,AUS,Australia,Export,ESP,Spain,850760,143.0,67637.0,0.003826704348554429
2016,AUS,Australia,Export,SWE,Sweden,850760,342.0,232085.0,0.009151978232207097
2016,AUS,Australia,Export,CHE,Switzerland,850760,5358.0,12301891.0,0.14338099230457785
2016,AUS,Australia,Export,THA,Thailand,850760,178.0,19665.0,0.004763310307990828
2016,AUS,Australia,Export,GBR,United Kingdom,850760,16522.0,631107.0,0.44213153319451937
2016,AUS,Australia,Export,USA,United States of America,850760,485983.0,22849562.0,13.004987828136553
2016,AUS,Australia,Export,VNM,Vietnam,850760,49791.0,459103.0,1.3324156378942207
2016,BEL,Belgium,Export,CHN,China,850760,792973.0,25101490.94,65.6836804261855
2016,BEL,Belgium,Export,CZE,Czechia,850760,12003.3,5522616.3889999995,0.9942594782667664
2016,BEL,Belgium,Export,FIN,Finland,850760,1304.402,88658.70800000001,0.10804645822149964
2016,BEL,Belgium,Export,DEU,Germany,850760,1987.31,9568322.767,0.16461321501206563
2016,BEL,Belgium,Export,ITA,Italy,850760,78658.054,5346299.73,6.515417904369561
2016,BEL,Belgium,Export,JPN,Japan,850760,24142.1,2266192.885,1.9997427166082744
2016,BEL,Belgium,Export,NLD,Netherlands,850760,6978.78,8365632.221,0.5780675449033635
2016,BEL,Belgium,Export,KOR,North Korea,850760,577.03,183156.52899999998,0.047796651482864896
2016,BEL,Belgium,Export,POL,Poland,850760,282129.5620128557,10514332.0,23.369406007559025
2016,BEL,Belgium,Export,ROU,Romania,850760,113.916,7742.738,0.009435910351839657
2016,BEL,Belgium,Export,ESP,Spain,850760,132.36,39972.602999999996,0.010963667036847301
2016,BEL,Belgium,Export,CHE,Switzerland,850760,162.0,71543.174,0.013418812783085998
2016,BEL,Belgium,Export,THA,Thailand,850760,198.0,69445.646,0.016400771179327332
2016,BEL,Belgium,Export,GBR,United Kingdom,850760,1384.11,1381657.31,0.11464884543948863
2016,BEL,Belgium,Export,USA,United States of America,850760,4516.38,372654.07200000004,0.37410159060045645
