"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20170101","2017","52","2017","20","AND","Andorra","M","Import","0","W00","World","0","W00","World","H5","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","88.58","true","8","kg","90137","false","90137","false","0","false","2332128.342",,"2332128.342","2","false","true",
"C","A","20170101","2017","52","2017","20","AND","Andorra","M","Import","251","FRA","France","0","W00","World","H5","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","0.863","true","8","kg","1426","false","1426","false","0","false","22727.08",,"22727.08","2","true","false",
"C","A","20170101","2017","52","2017","20","AND","Andorra","M","Import","392","JPN","Japan","0","W00","World","H5","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2.352","true","8","kg","3144","false","3144","false","0","false","61919.023",,"61919.023","2","true","false",
"C","A","20170101","2017","52","2017","20","AND","Andorra","M","Import","528","NLD","Netherlands","0","W00","World","H5","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","12.331","true","8","kg","6898","false","6898","false","0","false","324649.759",,"324649.759","2","true","false",
"C","A","20170101","2017","52","2017","20","AND","Andorra","M","Import","568","E19","Other Europe, nes","0","W00","World","H5","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","20.17","true","8","kg","11657","false","11657","false","0","false","531023.557",,"531023.557","2","true","false",
"C","A","20170101","2017","52","2017","20","AND","Andorra","M","Import","724","ESP","Spain","0","W00","World","H5","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","52.865","true","8","kg","67012","false","67012","false","0","false","1391808.924",,"1391808.924","2","true","false",
"C","A","20170101","2017","52","2017","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H5","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1446","false","5","u","1446","false","5811125.399","true","0","false","105853866.903","104086245.072","105853866.903","4","false","true",
"C","A","20170101","2017","52","2017","36","AUS","Australia","M","Import","156","CHN","China","0","W00","World","H5","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","86","false","5","u","86","false","11685.389","true","0","false","212857.843","204555.782","212857.843","4","false","true",
"C","A","20170101","2017","52","2017","36","AUS","Australia","M","Import","251","FRA","France","0","W00","World","H5","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","10","false","5","u","10","false","14752.693","true","0","false","268731.003","259592.094","268731.003","4","false","true",
"C","A","20170101","2017","52","2017","36","AUS","Australia","M","Import","276","DEU","Germany","0","W00","World","H5","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","120","false","5","u","120","false","221719.041","true","0","false","4038773.256","3970228.9","4038773.256","4","false","true",
"C","A","20170101","2017","52","2017","36","AUS","Australia","M","Import","392","JPN","Japan","0","W00","World","H5","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5","false","5","u","5","false","3514.127","true","0","false","64012.381","59044.243","64012.381","4","false","true",
"C","A","20170101","2017","52","2017","36","AUS","Australia","M","Import","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","5","u","1","false","1447.605","true","0","false","26369.169","25414.13","26369.169","4","false","true",
"C","A","20170101","2017","52","2017","36","AUS","Australia","M","Import","608","PHL","Philippines","0","W00","World","H5","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2","false","5","u","2","false","383.075","true","1019.92","false","6977.981","6729.386","6977.981","4","false","true",
"C","A","20170101","2017","52","2017","36","AUS","Australia","M","Import","764","THA","Thailand","0","W00","World","H5","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2","false","5","u","2","false","1688.695","true","1490","false","30760.809","28237.014","30760.809","4","false","true",
"C","A","20170101","2017","52","2017","36","AUS","Australia","M","Import","826","GBR","United Kingdom","0","W00","World","H5","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6","false","5","u","6","false","10092.362","true","3282","false","183839.702","159891.458","183839.702","4","false","true",
"C","A","20170101","2017","52","2017","36","AUS","Australia","M","Import","842","USA","USA","0","W00","World","H5","HS","true","870380","Vehicles; with only electric motor for propulsion","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1214","false","5","u","1214","false","5545842.413","true","3197721","false","101021544.757","99372552.064","101021544.757","4","false","true",
