,KOR
ABW,8.0
AGO,35.0
ALB,2.0
AND,1.0
ARE,1467.0
ARG,620.0
ARM,16.0
AUT,1879.0
AZE,44.0
BDI,25.0
BEN,10.0
BFA,25.0
BGD,1.0
BGR,11.0
BHR,18.0
BIH,14.0
BLR,125.0
BMU,14.0
BOL,116.0
BRB,1.0
BRN,3.0
BWA,48.0
CHL,17.0
CIV,34.0
CMR,8.0
COG,18.0
COL,367.0
CRI,114.0
CYP,3.0
DNK,1766.0
DOM,59.0
DZA,158.0
ECU,65.0
EGY,136.0
EST,4.0
ETH,70.0
FJI,22.0
GEO,8.0
GHA,121.0
GIN,1.0
GRC,276.0
GRD,1.0
GTM,175.0
GUY,6.0
HND,40.0
HRV,9.0
IDN,3980.0
IRL,67.0
IRN,338.0
ISL,297.0
ISR,534.0
JAM,33.0
JOR,106.0
KAZ,348.0
KEN,140.0
KGZ,20.0
KHM,42.0
KWT,88.0
LAO,16.0
LBN,22.0
LCA,1.0
LKA,34.0
LSO,4.0
LTU,8.0
LUX,11.0
LVA,5.0
MAR,54.0
MDA,17.0
MDG,12.0
MDV,9.0
MEX,207.0
MKD,22.0
MLI,4.0
MLT,2.0
MNG,16.0
MOZ,5.0
MUS,26.0
MWI,72.0
MYS,11.0
NAM,22.0
NER,9.0
NGA,386.0
NIC,45.0
NPL,38.0
NZL,442.0
OMN,37.0
PAK,199.0
PAL,2.0
PAN,52.0
PER,328.0
PHL,899.0
PRT,1462.0
PRY,40.0
PYF,21.0
QAT,62.0
RWA,35.0
SAU,610.0
SDN,2.0
SEN,20.0
SLE,1.0
SLV,52.0
SVN,8.0
SYC,1.0
TGO,20.0
TJK,3.0
TTO,13.0
TUN,17.0
TZA,99.0
UGA,228.0
UKR,662.0
URY,29.0
UZB,27.0
YEM,22.0
ZAF,20.0
ZMB,32.0
ZWE,64.0
MMR,80.0
SWZ,1.0
Virtual_Supply,101698.0
