,JPN,KOR,Virtual_Demand
ABW,11.0,0.0,0.0
AGO,0.0,55.0,0.0
ALB,0.0,548.0,0.0
AND,0.0,4.0,0.0
ARE,0.0,949.0,0.0
ARG,0.0,0.0,3164.0
ARM,0.0,10.0,0.0
AUT,0.0,33609.0,0.0
AZE,0.0,621.0,0.0
BDI,0.0,201.0,0.0
BEN,0.0,7.0,0.0
BFA,0.0,541.0,0.0
BGD,0.0,2.0,0.0
BGR,0.0,2486.0,0.0
BHR,0.0,5.0,0.0
BIH,0.0,151.0,0.0
BLR,0.0,1894.0,0.0
BMU,4.0,0.0,0.0
BOL,1363.0,0.0,0.0
BRB,2.0,0.0,0.0
BRN,0.0,21.0,0.0
BWA,0.0,350.0,0.0
CHL,716.0,0.0,0.0
CIV,0.0,208.0,0.0
CMR,0.0,2.0,0.0
COG,0.0,8.0,0.0
COL,2907.0,0.0,0.0
COM,0.0,1.0,0.0
CPV,0.0,5.0,0.0
CRI,814.0,0.0,0.0
CYP,0.0,729.0,0.0
DNK,0.0,22192.0,0.0
DOM,1136.0,0.0,0.0
DZA,0.0,567.0,0.0
ECU,851.0,0.0,0.0
EGY,0.0,3842.0,0.0
EST,0.0,854.0,0.0
ETH,0.0,553.0,0.0
FJI,18.0,0.0,0.0
GEO,0.0,63.0,0.0
GHA,0.0,48.0,0.0
GIN,0.0,4.0,0.0
GRC,0.0,44722.0,0.0
GRD,41.0,0.0,0.0
GRL,1.0,0.0,0.0
GTM,2220.0,0.0,0.0
GUY,959.0,0.0,0.0
HND,296.0,0.0,0.0
HRV,0.0,2042.0,0.0
IDN,0.0,35543.0,0.0
IRL,0.0,8268.0,0.0
IRN,0.0,121.0,0.0
ISL,0.0,1009.0,0.0
ISR,0.0,30876.0,0.0
JAM,14.0,0.0,0.0
JOR,0.0,1102.0,0.0
KAZ,0.0,1965.0,0.0
KEN,0.0,6188.0,0.0
KGZ,0.0,6.0,0.0
KHM,0.0,710.0,0.0
KIR,1.0,0.0,0.0
KWT,0.0,30.0,0.0
LAO,0.0,2642.0,0.0
LBN,0.0,3411.0,0.0
LCA,14.0,0.0,0.0
LKA,0.0,26571.0,0.0
LSO,0.0,104.0,0.0
LTU,0.0,1636.0,0.0
LUX,0.0,1264.0,0.0
LVA,0.0,990.0,0.0
MAR,0.0,1078.0,0.0
MDA,0.0,267.0,0.0
MDG,0.0,254.0,0.0
MDV,0.0,84.0,0.0
MEX,16328.0,0.0,0.0
MKD,0.0,157.0,0.0
MLI,0.0,66.0,0.0
MLT,0.0,379.0,0.0
MNG,0.0,219.0,0.0
MOZ,0.0,79.0,0.0
MUS,0.0,408.0,0.0
MWI,0.0,1089.0,0.0
MYS,0.0,31.0,0.0
NAM,0.0,429.0,0.0
NER,0.0,233.0,0.0
NGA,0.0,19985.0,0.0
NIC,706.0,0.0,0.0
NPL,0.0,265.0,0.0
NZL,8469.0,0.0,0.0
OMN,0.0,491.0,0.0
PAK,0.0,14516.0,0.0
PAL,0.0,24.0,0.0
PAN,40.0,0.0,0.0
PER,3292.0,0.0,0.0
PHL,9512.0,66173.0,0.0
PLW,2.0,0.0,0.0
PRT,0.0,34705.0,0.0
PRY,0.0,0.0,439.0
PYF,279.0,0.0,0.0
QAT,0.0,38.0,0.0
RWA,0.0,17.0,0.0
SAU,0.0,7163.0,0.0
SDN,0.0,6.0,0.0
SEN,0.0,1788.0,0.0
SLB,2.0,0.0,0.0
SLV,41.0,0.0,0.0
SVN,0.0,1485.0,0.0
SYC,0.0,50.0,0.0
TGO,0.0,251.0,0.0
TJK,0.0,57.0,0.0
TTO,398.0,0.0,0.0
TUN,0.0,154.0,0.0
TZA,0.0,1862.0,0.0
UGA,0.0,10352.0,0.0
UKR,0.0,309.0,0.0
URY,0.0,0.0,231.0
UZB,0.0,777.0,0.0
WSM,1.0,0.0,0.0
YEM,0.0,468.0,0.0
ZAF,0.0,207.0,0.0
ZMB,0.0,166.0,0.0
ZWE,0.0,39.0,0.0
MMR,0.0,2437.0,0.0
SWZ,0.0,12.0,0.0
BRA,61362.0,0.0,410937.0
ITA,0.0,16600.0,0.0
