From Region,To Region,Amount Transported,Remaining Storage
Australia,China,2.7189999999998116,232.62249266870663
Belgium,Japan,2.832999999999799,30.698156251791644
Brazil,China,37.85500000000248,132.63349266840802
Canada,China,7.075000000000697,202.76149266874287
Czechia,China,4.71599999999991,214.72549266874833
Finland,China,0.7010000000000005,259.642492668708
France,China,11.218999999999221,186.77449266866654
Germany,China,4.141999999999718,218.4774926687396
Italy,China,9.828999999999992,190.93049266868638
Netherlands,China,1.7269999999999206,243.68449266869587
Poland,China,5.727000000000247,209.29149266876098
Romania,China,2.7489999999998083,231.45849266870934
Serbia,China,0.06100000000000005,270.20849266870687
Slovakia,China,1.5769999999999371,245.95549266869864
Spain,China,2.8759999999997943,231.48149266870928
Turkey,China,1.9359999999998976,240.89049266869245
USA,China,38.649000000000626,132.66049266840815
United Kingdom,China,0.9170000000000007,256.62949266870964
Viet Nam,China,4.346999999999786,218.23149266874017
