,country,total_costs,scrap_sum,unit_cost
0,Australia,31607380.003349923,539.3653569847063,58.601056953396714
1,Belgium,59114185.42343213,3037.8930969081794,19.458941950128423
2,Brazil,35152582.49921168,470.41585605813714,74.72661060741814
3,Canada,59111182.57308088,3505.7381588067774,16.861265700801834
4,Czechia,18223458.43426796,91.89390260039775,198.3097672270269
5,Finland,40030978.7653127,1062.9731617768803,37.65944447590415
6,France,97927482.5739716,12176.170837676873,8.042551626407327
7,Germany,122309750.560702,22022.97801010113,5.553733491655987
8,Hungary,11969714.429552983,25.55832178707866,468.32943607449323
9,India,27870750.539970454,356.5668166026719,78.16417356365294
10,Italy,71125687.55045724,4597.706364323373,15.469819495731223
11,Japan,59843784.60022788,3420.554434922119,17.495346365271462
12,Korea,95133834.9478538,31292.267685980496,3.04017068697375
13,Netherlands,74338120.0022515,6069.47176797184,12.247873100675474
14,Norway,70879558.21665707,6581.497549666877,10.769518286950461
15,Poland,37164596.86498857,684.1872833731162,54.31933297819152
16,Romania,14216275.008187547,40.762677665846695,348.7571431083576
17,Russian Federation,43703649.8952356,1603.6468446163167,27.252664788357432
18,Serbia,14661026.73058601,63.160517852614134,232.12328253542347
19,Slovakia,18581191.060532037,93.81846142075773,198.05474081693768
20,Spain,59738376.55087161,2961.4134426699666,20.172251429038013
21,Sweden,72851177.20197111,5683.02634317722,12.81908138424044
22,Switzerland,43561346.181138754,1596.1952306055778,27.290738216660433
23,Thailand,44970076.57569893,1689.1670218872655,26.62263470278679
24,Turkey,50399518.68544118,2364.6256636009093,21.313952335564
25,USA,120885559.42658192,41263.71066494052,2.9295852815605277
26,United Kingdom,81804412.75891925,8948.910236445021,9.141270903105658
27,Viet Nam,53731675.47812293,3000.0,17.91055849270764
