,country,type,recycling_m,net_profit
18,Afghanistan,LFP,Direct,0.0
33,Afghanistan,NCA,Direct,-411.0746096055217
21,Afghanistan,NMC111,Direct,-788.8976051364116
30,Afghanistan,NMC523,Direct,-718.9862570987757
24,Afghanistan,NMC622,Direct,-985.8764140360464
27,Afghanistan,NMC811,Direct,-2086.616972923114
54,Albania,LFP,Direct,-202.35778657221786
69,Albania,NCA,Direct,-126.49521677099885
57,Albania,NMC111,Direct,-170.65661903835598
66,Albania,NMC523,Direct,-166.92773470871467
60,Albania,NMC622,Direct,-222.55614687742064
63,Albania,NMC811,Direct,-284.2027887871052
774,Algeria,LFP,Direct,-232.4145079068339
789,Algeria,NCA,Direct,-31.59335391583964
777,Algeria,NMC111,Direct,-43.134634426654024
786,Algeria,NMC523,Direct,-66.1367991549142
780,Algeria,NMC622,Direct,-108.10646194828375
783,Algeria,NMC811,Direct,-192.51631139274298
72,Andorra,LFP,Direct,-2092.8869690555925
87,Andorra,NCA,Direct,-324.2849659346751
75,Andorra,NMC111,Direct,-397.14646354241665
84,Andorra,NMC523,Direct,-534.282349978245
78,Andorra,NMC622,Direct,-895.3707099609956
81,Andorra,NMC811,Direct,-1634.812846295317
36,Angola,LFP,Direct,0.0
51,Angola,NCA,Direct,-61.053652906630504
39,Angola,NMC111,Direct,-101.35855864012142
48,Angola,NMC523,Direct,-115.07075497447718
42,Angola,NMC622,Direct,-163.78689882846237
45,Angola,NMC811,Direct,-380.90496628692824
108,Argentina,LFP,Direct,-115.17226078946649
123,Argentina,NCA,Direct,-7.932963736367104
111,Argentina,NMC111,Direct,-20.536797356890393
120,Argentina,NMC523,Direct,-27.97057143589624
114,Argentina,NMC622,Direct,-33.06911452501041
117,Argentina,NMC811,Direct,-45.31555737797966
126,Armenia,LFP,Direct,0.0
141,Armenia,NCA,Direct,-73.58382293371668
129,Armenia,NMC111,Direct,-138.06091724950377
138,Armenia,NMC523,Direct,-137.7863613773275
132,Armenia,NMC622,Direct,-188.8933712995958
135,Armenia,NMC811,Direct,-252.20885788494044
0,Aruba,LFP,Direct,0.0
15,Aruba,NCA,Direct,-102.46459351198295
3,Aruba,NMC111,Direct,-175.48723813620143
12,Aruba,NMC523,Direct,-184.10689496428105
6,Aruba,NMC622,Direct,-263.9445272874216
9,Aruba,NMC811,Direct,-312.4052694402495
144,Australia,LFP,Direct,-41.40538539200531
159,Australia,NCA,Direct,-0.6512759213402729
147,Australia,NMC111,Direct,-14.749195285554245
156,Australia,NMC523,Direct,-18.356363970112035
150,Australia,NMC622,Direct,-16.80134997967644
153,Australia,NMC811,Direct,-19.150287476648092
162,Austria,LFP,Direct,-12.285320008088776
177,Austria,NCA,Direct,2.185610174500741
166,Austria,NMC111,Hydro,-3.7320172820372197
175,Austria,NMC523,Hydro,-3.5131676089312482
168,Austria,NMC622,Direct,-5.263776266606484
171,Austria,NMC811,Direct,-7.576637102949591
180,Azerbaijan,LFP,Direct,-233.03464550863092
195,Azerbaijan,NCA,Direct,-36.744776325221025
183,Azerbaijan,NMC111,Direct,-75.35298557075865
192,Azerbaijan,NMC523,Direct,-77.3668244930965
186,Azerbaijan,NMC622,Direct,-102.32359137697873
189,Azerbaijan,NMC811,Direct,-130.13362548647424
324,Bahamas,LFP,Direct,0.0
339,Bahamas,NCA,Direct,-4465.965533165871
327,Bahamas,NMC111,Direct,0.0
336,Bahamas,NMC523,Direct,0.0
330,Bahamas,NMC622,Direct,0.0
333,Bahamas,NMC811,Direct,0.0
306,Bahrain,LFP,Direct,0.0
321,Bahrain,NCA,Direct,-91.06031399831791
309,Bahrain,NMC111,Direct,-130.05952696759888
318,Bahrain,NMC523,Direct,-152.2521267127502
312,Bahrain,NMC622,Direct,-233.70573826088315
315,Bahrain,NMC811,Direct,-586.9603055371766
270,Bangladesh,LFP,Direct,-3232.8337999624387
285,Bangladesh,NCA,Direct,-372.4938341324581
273,Bangladesh,NMC111,Direct,-466.4440233606102
282,Bangladesh,NMC523,Direct,-1121.1372978263248
276,Bangladesh,NMC622,Direct,-2393.130415012884
279,Bangladesh,NMC811,Direct,-2657.8430540089066
432,Barbados,LFP,Direct,0.0
447,Barbados,NCA,Direct,-186.78834483341393
435,Barbados,NMC111,Direct,-376.4301161404199
444,Barbados,NMC523,Direct,-344.0977291431291
438,Barbados,NMC622,Direct,-473.9680760346091
441,Barbados,NMC811,Direct,-537.4621776001
360,Belarus,LFP,Direct,-137.34456384447552
375,Belarus,NCA,Direct,-16.850498956523772
363,Belarus,NMC111,Direct,-42.77360268137827
372,Belarus,NMC523,Direct,-44.893655650801485
366,Belarus,NMC622,Direct,-55.03714310352362
369,Belarus,NMC811,Direct,-67.84222703470924
216,Belgium,LFP,Direct,-41.12084353887949
231,Belgium,NCA,Direct,-12.3265731953626
219,Belgium,NMC111,Direct,-23.40757464055589
228,Belgium,NMC523,Direct,-27.313484416552097
222,Belgium,NMC622,Direct,-29.16061583582163
225,Belgium,NMC811,Direct,-38.322159618584585
234,Benin,LFP,Direct,0.0
249,Benin,NCA,Direct,-78.52107179227784
237,Benin,NMC111,Direct,-159.1258277601038
246,Benin,NMC523,Direct,-150.94311369640207
240,Benin,NMC622,Direct,-201.70372501491224
243,Benin,NMC811,Direct,-286.7442601638016
378,Bermuda,LFP,Direct,0.0
393,Bermuda,NCA,Direct,-106.46715918151672
381,Bermuda,NMC111,Direct,-140.2948419058136
390,Bermuda,NMC523,Direct,-173.13721120728258
384,Bermuda,NMC622,Direct,-283.60804851806506
387,Bermuda,NMC811,Direct,-692.760208449288
396,Bolivia (Plurinational State of),LFP,Direct,-176.1778732866287
411,Bolivia (Plurinational State of),NCA,Direct,-19.644790754835675
399,Bolivia (Plurinational State of),NMC111,Direct,-51.08867144779702
408,Bolivia (Plurinational State of),NMC523,Direct,-50.544650266619215
402,Bolivia (Plurinational State of),NMC622,Direct,-63.63950249560765
405,Bolivia (Plurinational State of),NMC811,Direct,-83.08188632011638
342,Bosnia Herzegovina,LFP,Direct,-431.02612738762025
357,Bosnia Herzegovina,NCA,Direct,-64.21748095517205
345,Bosnia Herzegovina,NMC111,Direct,-130.03867658320573
354,Bosnia Herzegovina,NMC523,Direct,-123.33793157607876
348,Bosnia Herzegovina,NMC622,Direct,-163.7205559776292
351,Bosnia Herzegovina,NMC811,Direct,-200.22054576355666
468,Botswana,LFP,Direct,-282.57622647582343
483,Botswana,NCA,Direct,-38.00574386497087
471,Botswana,NMC111,Direct,-76.11477296604409
480,Botswana,NMC523,Direct,-79.44977562262714
474,Botswana,NMC622,Direct,-105.84078772593674
477,Botswana,NMC811,Direct,-142.8032519669906
414,Brazil,LFP,Direct,-17.150080259326216
429,Brazil,NCA,Direct,4.207495428895209
418,Brazil,NMC111,Hydro,-6.889123756591154
427,Brazil,NMC523,Hydro,-5.346283507822781
420,Brazil,NMC622,Direct,-6.917180656916203
423,Brazil,NMC811,Direct,-7.03355722432755
450,Brunei Darussalam,LFP,Direct,-1039.8855755518987
465,Brunei Darussalam,NCA,Direct,-135.88570029460533
453,Brunei Darussalam,NMC111,Direct,-241.90546097779017
462,Brunei Darussalam,NMC523,Direct,-238.69590202225157
456,Brunei Darussalam,NMC622,Direct,-332.77482203469276
459,Brunei Darussalam,NMC811,Direct,-399.8614972094557
288,Bulgaria,LFP,Direct,-100.2406327007099
303,Bulgaria,NCA,Direct,-58.21902355130966
291,Bulgaria,NMC111,Direct,-83.05398642412966
300,Bulgaria,NMC523,Direct,-83.76671435090962
294,Bulgaria,NMC622,Direct,-107.62808245708419
297,Bulgaria,NMC811,Direct,-137.91724444433095
252,Burkina Faso,LFP,Direct,-263.4506087499585
267,Burkina Faso,NCA,Direct,-42.79124789288953
255,Burkina Faso,NMC111,Direct,-85.26788465565089
264,Burkina Faso,NMC523,Direct,-87.60313641053907
258,Burkina Faso,NMC622,Direct,-116.24295091683733
261,Burkina Faso,NMC811,Direct,-136.2583029898909
198,Burundi,LFP,Direct,-384.0148280386248
213,Burundi,NCA,Direct,-76.9044921388732
201,Burundi,NMC111,Direct,-95.78685162632053
210,Burundi,NMC523,Direct,-118.79702309189442
204,Burundi,NMC622,Direct,-194.31324211347442
207,Burundi,NMC811,Direct,-281.08107906827354
540,C?te d'Ivoire,LFP,Direct,-372.1780185500196
555,C?te d'Ivoire,NCA,Direct,-60.7770039856247
543,C?te d'Ivoire,NMC111,Direct,-93.47366008664571
552,C?te d'Ivoire,NMC523,Direct,-113.70761609986984
546,C?te d'Ivoire,NMC622,Direct,-165.5373774214739
549,C?te d'Ivoire,NMC811,Direct,-271.77947144368704
630,Cabo Verde,LFP,Direct,-2086.3273326253693
645,Cabo Verde,NCA,Direct,-411.41575482187454
633,Cabo Verde,NMC111,Direct,-603.8501059841956
642,Cabo Verde,NMC523,Direct,-659.689444177104
636,Cabo Verde,NMC622,Direct,-1006.7144707812786
639,Cabo Verde,NMC811,Direct,-1571.627111624984
1386,Cambodia,LFP,Direct,-226.1656083020021
1401,Cambodia,NCA,Direct,-36.668256073488976
1389,Cambodia,NMC111,Direct,-74.2620586447924
1398,Cambodia,NMC523,Direct,-77.4120948233925
1392,Cambodia,NMC622,Direct,-102.98892386781088
1395,Cambodia,NMC811,Direct,-145.4829064398826
558,Cameroon,LFP,Direct,0.0
573,Cameroon,NCA,Direct,-158.6154941612589
561,Cameroon,NMC111,Direct,-182.00591061631704
570,Cameroon,NMC523,Direct,-252.18959255197552
564,Cameroon,NMC622,Direct,-441.7356155692863
567,Cameroon,NMC811,Direct,-1762.526306159253
486,Canada,LFP,Direct,-19.58528064457816
501,Canada,NCA,Direct,5.470440944890204
490,Canada,NMC111,Hydro,-1.5640547722365952
499,Canada,NMC523,Hydro,-1.1939802896292908
492,Canada,NMC622,Direct,-3.408010935545554
495,Canada,NMC811,Direct,-3.9402657655514637
666,Cayman Isds,LFP,Direct,0.0
681,Cayman Isds,NCA,Direct,-907.5964332688095
669,Cayman Isds,NMC111,Direct,-1770.912728297033
678,Cayman Isds,NMC523,Direct,-1601.391245227917
672,Cayman Isds,NMC622,Direct,-2236.586026219358
675,Cayman Isds,NMC811,Direct,-2494.993044925044
522,Chile,LFP,Direct,-280.4419804743474
537,Chile,NCA,Direct,-49.37671594988161
525,Chile,NMC111,Direct,-105.83749122439787
534,Chile,NMC523,Direct,-102.72240194992769
528,Chile,NMC622,Direct,-137.74757033676303
531,Chile,NMC811,Direct,-164.76149383442487
594,Colombia,LFP,Direct,-120.73868357106466
609,Colombia,NCA,Direct,-7.915129617149489
597,Colombia,NMC111,Direct,-28.258684772582974
606,Colombia,NMC523,Direct,-30.03534297657395
600,Colombia,NMC622,Direct,-34.78753787158847
603,Colombia,NMC811,Direct,-43.02504556225172
612,Comoros,LFP,Direct,-3819.366741321906
627,Comoros,NCA,Direct,-807.4848260418161
615,Comoros,NMC111,Direct,-1535.2039688447826
624,Comoros,NMC523,Direct,-1396.5290262727926
618,Comoros,NMC622,Direct,-1922.8690845322167
621,Comoros,NMC811,Direct,-2862.7246832269852
576,Congo,LFP,Direct,0.0
591,Congo,NCA,Direct,-73.92507306783418
579,Congo,NMC111,Direct,-128.90644378772126
588,Congo,NMC523,Direct,-137.7146965918238
582,Congo,NMC622,Direct,-191.1101794797495
585,Congo,NMC811,Direct,-235.38729040875273
648,Costa Rica,LFP,Direct,-220.39641691666347
663,Costa Rica,NCA,Direct,-28.222247922351666
651,Costa Rica,NMC111,Direct,-56.948362629622174
660,Costa Rica,NMC523,Direct,-63.907601915613455
654,Costa Rica,NMC622,Direct,-86.66572107374253
657,Costa Rica,NMC811,Direct,-121.09201197592448
1116,Croatia,LFP,Direct,-108.56856418080353
1131,Croatia,NCA,Direct,-64.09452696430003
1119,Croatia,NMC111,Direct,-90.52790051276845
1128,Croatia,NMC523,Direct,-90.87502017613384
1122,Croatia,NMC622,Direct,-117.32243225691387
1125,Croatia,NMC811,Direct,-150.0952739738361
684,Cyprus,LFP,Direct,-164.31079812080077
699,Cyprus,NCA,Direct,-100.95390633077636
687,Cyprus,NMC111,Direct,-138.0847396752016
696,Cyprus,NMC523,Direct,-136.02767361474076
690,Cyprus,NMC622,Direct,-180.4203517585968
693,Cyprus,NMC811,Direct,-231.07867889433965
702,Czechia,LFP,Direct,-36.16984908710669
717,Czechia,NCA,Direct,-15.778253275019187
705,Czechia,NMC111,Direct,-28.44081171749148
714,Czechia,NMC523,Direct,-31.951046892342998
708,Czechia,NMC622,Direct,-35.73493941670157
711,Czechia,NMC811,Direct,-46.11856259745997
738,Denmark,LFP,Direct,-12.99925268969281
753,Denmark,NCA,Direct,2.5905945433800452
742,Denmark,NMC111,Hydro,-3.278662969828591
751,Denmark,NMC523,Hydro,-2.98100389106547
744,Denmark,NMC622,Direct,-4.659605350046652
747,Denmark,NMC811,Direct,-6.534375877095148
756,Dominican Rep.,LFP,Direct,-201.37510463668937
771,Dominican Rep.,NCA,Direct,-28.306774396461176
759,Dominican Rep.,NMC111,Direct,-66.92171076722983
768,Dominican Rep.,NMC523,Direct,-66.7276374910586
762,Dominican Rep.,NMC622,Direct,-86.3046843614486
765,Dominican Rep.,NMC811,Direct,-107.96391931763736
792,Ecuador,LFP,Direct,-224.57649850743633
807,Ecuador,NCA,Direct,-30.528840095082696
795,Ecuador,NMC111,Direct,-67.31013785504435
804,Ecuador,NMC523,Direct,-68.43761149125226
798,Ecuador,NMC622,Direct,-90.70201755014209
801,Ecuador,NMC811,Direct,-117.60935146531752
810,Egypt,LFP,Direct,-108.31177941627664
825,Egypt,NCA,Direct,-13.828938077654783
813,Egypt,NMC111,Direct,-39.87578139791761
822,Egypt,NMC523,Direct,-41.20787295516708
816,Egypt,NMC622,Direct,-48.87723379166418
819,Egypt,NMC811,Direct,-67.72373023558842
2412,El Salvador,LFP,Direct,0.0
2427,El Salvador,NCA,Direct,-39.36058829083254
2415,El Salvador,NMC111,Direct,-83.31915805608568
2424,El Salvador,NMC523,Direct,-82.88993283171689
2418,El Salvador,NMC622,Direct,-111.75707618367582
2421,El Salvador,NMC811,Direct,-141.67727886130987
846,Estonia,LFP,Direct,-142.52002843232785
861,Estonia,NCA,Direct,-87.07096374595513
849,Estonia,NMC111,Direct,-119.55582917886916
858,Estonia,NMC523,Direct,-118.57117817840653
852,Estonia,NMC622,Direct,-155.05898553735426
855,Estonia,NMC811,Direct,-197.6601412894572
2898,Eswatini,LFP,Direct,-1387.7860914609155
2913,Eswatini,NCA,Direct,-246.94338866842855
2901,Eswatini,NMC111,Direct,-402.0682254722465
2910,Eswatini,NMC523,Direct,-406.4263427897425
2904,Eswatini,NMC622,Direct,-589.5777281451067
2907,Eswatini,NMC811,Direct,-753.9746073240372
864,Ethiopia,LFP,Direct,-237.4996751337026
879,Ethiopia,NCA,Direct,-34.442403129712304
867,Ethiopia,NMC111,Direct,-65.39729819109508
876,Ethiopia,NMC523,Direct,-70.06543810810466
870,Ethiopia,NMC622,Direct,-94.38735663421673
873,Ethiopia,NMC811,Direct,-138.47126362257694
900,Fiji,LFP,Direct,0.0
915,Fiji,NCA,Direct,-57.44469158604345
903,Fiji,NMC111,Direct,-117.1513367075795
912,Fiji,NMC523,Direct,-113.60095032525963
906,Fiji,NMC622,Direct,-151.44269723585677
909,Fiji,NMC811,Direct,-182.66389847825573
