,country,type,recycling_m,net_profit
6,Afghanistan,LFP,Pyro,0.0
11,Afghanistan,NCA,Pyro,-2224.6889606051823
7,Afghanistan,NMC111,Pyro,-5180.918750094283
10,Afghanistan,NMC523,Pyro,-4537.994089545789
8,Afghanistan,NMC622,Pyro,-6992.458751056103
9,Afghanistan,NMC811,Pyro,-18906.673894072697
18,Albania,LFP,Pyro,-839.9216611243211
23,Albania,NCA,Pyro,-485.5958661214253
19,Albania,NMC111,Pyro,-679.2168947236737
22,Albania,NMC523,Pyro,-633.7961328564795
20,Albania,NMC622,Pyro,-977.1336809510922
21,Albania,NMC811,Pyro,-1349.5057233930688
258,Algeria,LFP,Pyro,-1026.4087835374523
263,Algeria,NCA,Pyro,-98.53370567615721
259,Algeria,NMC111,Pyro,-120.2547177015695
262,Algeria,NMC523,Pyro,-185.06246523405355
260,Algeria,NMC622,Pyro,-397.8825729333809
261,Algeria,NMC811,Pyro,-836.3436820880502
24,Andorra,LFP,Pyro,-18299.65023304546
29,Andorra,NCA,Pyro,-1600.4173651230385
25,Andorra,NMC111,Pyro,-2044.8618779601213
28,Andorra,NMC523,Pyro,-2980.9488904823866
26,Andorra,NMC622,Pyro,-5991.06589542088
27,Andorra,NMC811,Pyro,-13264.996398347228
12,Angola,LFP,Pyro,0.0
17,Angola,NCA,Pyro,-204.87913497355524
13,Angola,NMC111,Pyro,-352.6435223702461
16,Angola,NMC523,Pyro,-391.3506109149631
14,Angola,NMC622,Pyro,-672.3313187217149
15,Angola,NMC811,Pyro,-2013.552096659256
36,Argentina,LFP,Pyro,-446.728349037962
41,Argentina,NCA,Pyro,-30.08003195149835
37,Argentina,NMC111,Pyro,-51.12859218193431
40,Argentina,NMC523,Pyro,-58.090781056651934
38,Argentina,NMC622,Pyro,-102.31753302248343
39,Argentina,NMC811,Pyro,-154.38654443880722
42,Armenia,LFP,Pyro,0.0
47,Armenia,NCA,Pyro,-252.64116146630522
43,Armenia,NMC111,Pyro,-518.4553311049898
46,Armenia,NMC523,Pyro,-492.3433413324465
44,Armenia,NMC622,Pyro,-795.2434481237168
45,Armenia,NMC811,Pyro,-1162.6960256318987
0,Aruba,LFP,Pyro,0.0
5,Aruba,NCA,Pyro,-414.5687650212707
1,Aruba,NMC111,Pyro,-794.2638400644039
4,Aruba,NMC523,Pyro,-815.2218331853683
2,Aruba,NMC622,Pyro,-1396.5216244559522
3,Aruba,NMC811,Pyro,-1761.659166390984
48,Australia,LFP,Pyro,-110.83656422195926
53,Australia,NCA,Pyro,-12.434198948115194
49,Australia,NMC111,Pyro,-33.67150188623966
52,Australia,NMC523,Pyro,-29.95555488215944
50,Australia,NMC622,Pyro,-47.7322362467876
51,Australia,NMC811,Pyro,-59.3606660809261
54,Austria,LFP,Pyro,-26.329059225711283
59,Austria,NCA,Pyro,-6.7846739963405
55,Austria,NMC111,Pyro,-11.525912189804048
58,Austria,NMC523,Pyro,-10.866640244309137
56,Austria,NMC622,Pyro,-18.585965360776324
57,Austria,NMC811,Pyro,-28.09265075190572
60,Azerbaijan,LFP,Pyro,-1014.3542518022583
65,Azerbaijan,NCA,Pyro,-114.90827055373423
61,Azerbaijan,NMC111,Pyro,-239.22731468685757
64,Azerbaijan,NMC523,Pyro,-226.78078290293823
62,Azerbaijan,NMC622,Pyro,-367.2734514255515
63,Azerbaijan,NMC811,Pyro,-504.2569057980808
108,Bahamas,LFP,Pyro,0.0
113,Bahamas,NCA,Pyro,-64773.4227349131
109,Bahamas,NMC111,Pyro,0.0
112,Bahamas,NMC523,Pyro,0.0
110,Bahamas,NMC622,Pyro,0.0
111,Bahamas,NMC811,Pyro,0.0
102,Bahrain,LFP,Pyro,0.0
107,Bahrain,NCA,Pyro,-326.0120252802009
103,Bahrain,NMC111,Pyro,-480.07289228374236
106,Bahrain,NMC523,Pyro,-562.6530288472153
104,Bahrain,NMC622,Pyro,-1044.7267138173927
105,Bahrain,NMC811,Pyro,-3471.513069522906
90,Bangladesh,LFP,Pyro,-33717.05118830753
95,Bangladesh,NCA,Pyro,-1956.9948000445459
91,Bangladesh,NMC111,Pyro,-2585.519379688511
94,Bangladesh,NMC523,Pyro,-8206.303466814516
92,Bangladesh,NMC622,Pyro,-22655.710498009095
93,Bangladesh,NMC811,Pyro,-26066.590125123737
144,Barbados,LFP,Pyro,0.0
149,Barbados,NCA,Pyro,-895.3468602893422
145,Barbados,NMC111,Pyro,-2218.677164274278
148,Barbados,NMC523,Pyro,-1925.0033939852426
146,Barbados,NMC622,Pyro,-3059.8360268978818
147,Barbados,NMC811,Pyro,-3641.0846993681466
120,Belarus,LFP,Pyro,-507.82547837320226
125,Belarus,NCA,Pyro,-53.00348762988738
121,Belarus,NMC111,Pyro,-117.96587986669998
124,Belarus,NMC523,Pyro,-107.93363589635833
122,Belarus,NMC622,Pyro,-172.93255305855843
123,Belarus,NMC811,Pyro,-228.7376005324495
72,Belgium,LFP,Pyro,-88.59430577871241
77,Belgium,NCA,Pyro,-31.683580060239525
73,Belgium,NMC111,Pyro,-45.30859844720815
76,Belgium,NMC523,Pyro,-42.62412011192622
74,Belgium,NMC622,Pyro,-67.2762003973979
75,Belgium,NMC811,Pyro,-96.42902930493418
78,Benin,LFP,Pyro,0.0
83,Benin,NCA,Pyro,-275.76042551196895
79,Benin,NMC111,Pyro,-631.2981327677139
82,Benin,NMC523,Pyro,-563.5143071214784
80,Benin,NMC622,Pyro,-877.7165106506673
81,Benin,NMC811,Pyro,-1393.685208904387
126,Bermuda,LFP,Pyro,0.0
131,Bermuda,NCA,Pyro,-430.17569405772196
127,Bermuda,NMC111,Pyro,-582.3258964765237
130,Bermuda,NMC523,Pyro,-739.8552292958249
128,Bermuda,NMC622,Pyro,-1515.326689412213
129,Bermuda,NMC811,Pyro,-5041.488064435166
132,Bolivia (Plurinational State of),LFP,Pyro,-789.8126176431833
137,Bolivia (Plurinational State of),NCA,Pyro,-63.77917176606649
133,Bolivia (Plurinational State of),NMC111,Pyro,-157.5039151764974
136,Bolivia (Plurinational State of),NMC523,Pyro,-135.5957217172202
134,Bolivia (Plurinational State of),NMC622,Pyro,-222.66055490843712
135,Bolivia (Plurinational State of),NMC811,Pyro,-318.6550003283553
114,Bosnia Herzegovina,LFP,Pyro,-2266.380430057347
119,Bosnia Herzegovina,NCA,Pyro,-214.61694898809446
115,Bosnia Herzegovina,NMC111,Pyro,-478.30424763740797
118,Bosnia Herzegovina,NMC523,Pyro,-423.0463430228835
116,Bosnia Herzegovina,NMC622,Pyro,-660.3768782929856
117,Bosnia Herzegovina,NMC811,Pyro,-862.9683337698799
156,Botswana,LFP,Pyro,-1327.619844008314
161,Botswana,NCA,Pyro,-120.05134832891314
157,Botswana,NMC111,Pyro,-244.7061841272345
160,Botswana,NMC523,Pyro,-237.37548358915421
158,Botswana,NMC622,Pyro,-387.5018740034038
159,Botswana,NMC811,Pyro,-573.559160447017
138,Brazil,LFP,Pyro,-39.53836643633817
143,Brazil,NCA,Pyro,-3.082329955454197
139,Brazil,NMC111,Pyro,-15.464972902474408
142,Brazil,NMC523,Pyro,-13.176080373770528
140,Brazil,NMC622,Pyro,-23.027132568280617
141,Brazil,NMC811,Pyro,-27.687850279379372
150,Brunei Darussalam,LFP,Pyro,-7456.7226449613945
155,Brunei Darussalam,NCA,Pyro,-539.6516957115423
151,Brunei Darussalam,NMC111,Pyro,-1090.2171184564443
154,Brunei Darussalam,NMC523,Pyro,-1041.0735182414478
152,Brunei Darussalam,NMC622,Pyro,-1678.173429905318
153,Brunei Darussalam,NMC811,Pyro,-2144.913794422264
96,Bulgaria,LFP,Pyro,-337.94469884884927
101,Bulgaria,NCA,Pyro,-191.78438980547705
97,Bulgaria,NMC111,Pyro,-270.08361623812493
100,Bulgaria,NMC523,Pyro,-251.98339042223546
98,Bulgaria,NMC622,Pyro,-390.292969103985
99,Bulgaria,NMC811,Pyro,-540.8919823655882
84,Burkina Faso,LFP,Pyro,-1210.5091370848631
89,Burkina Faso,NCA,Pyro,-136.74576473280484
85,Burkina Faso,NMC111,Pyro,-282.7174098372296
88,Burkina Faso,NMC523,Pyro,-270.9194543711864
86,Burkina Faso,NMC622,Pyro,-435.7104043089436
87,Burkina Faso,NMC811,Pyro,-540.8640127090468
66,Burundi,LFP,Pyro,-1990.379252252258
71,Burundi,NCA,Pyro,-268.9889182477591
67,Burundi,NMC111,Pyro,-328.00271754475983
70,Burundi,NMC523,Pyro,-408.4961001525497
68,Burundi,NMC622,Pyro,-836.634259568353
