,country,total_netprofits,scrap_sum,net_profit
0,Australia,-5950728.089867849,11000.000000000002,-0.540975280897077
1,Belgium,-29726421.97150636,9000.000000000002,-3.302935774611817
2,Brazil,-7536375.7280042395,10000.0,-0.753637572800424
3,Canada,528957604.93895453,93999.5076671006,5.627238036312474
4,Czechia,-36112413.77373716,1000.0000000000001,-36.11241377373716
5,Finland,-35817264.58848598,7000.0,-5.116752084069425
6,France,398134806.86339307,89000.00000000001,4.473424796217899
7,Germany,1004914491.9185462,185000.0,5.431970226586737
8,Hungary,498394808.88274693,104999.05569981216,4.746659915758067
9,India,1658857554.3519273,259999.02587769332,6.380245267273708
10,Italy,399291083.445377,90000.0,4.436567593837522
11,Japan,289413442.90808314,53308.93061447758,5.428986092425658
12,Korea,4911142949.734823,711533.4430015389,6.90219553000575
13,Netherlands,53980377.18249668,28000.0,1.9278706136605959
14,Norway,839498746.8880501,147999.07990220515,5.672324094465818
15,Poland,298854392.2943933,71000.0,4.209216792878778
16,Romania,-36504160.02595999,1000.0,-36.50416002596
17,Russian Federation,181122638.47620016,47999.14588360227,3.7734554467994452
18,Serbia,-34963457.32305733,999.0382489039442,-34.997115837572906
19,Slovakia,-36260183.41125113,999.9999999999998,-36.260183411251134
20,Spain,421711556.59575105,92000.0,4.58382126734512
21,Sweden,660055017.3151217,134999.46505862233,4.889315798610747
22,Switzerland,256621907.63544714,64999.16524739065,3.9480800508549465
23,Thailand,225298116.49027517,47999.686414123156,4.693741424610322
24,Turkey,-10788497.669483468,10000.0,-1.0788497669483468
25,USA,3104183356.682172,538999.245167625,5.759160860636813
26,United Kingdom,774446862.615895,127000.0,6.098006792251142
27,Viet Nam,-30320198.35283812,5000.0,-6.064039670567624
