,country,total_netprofits,scrap_sum,net_profit
0,Argentina,-64418123.31915553,3164.0,-20.35971027786205
1,Australia,-80594333.80854438,12000.0,-6.716194484045365
2,Belgium,-93061390.69940428,9000.0,-10.340154522156032
3,Brazil,1452571721.9066591,410937.00000000006,3.534779593725216
4,Canada,200640889.13508782,107000.0,1.875148496589606
5,Czechia,-48995634.83866816,1000.0000000000002,-48.99563483866815
6,Finland,-87256025.06569383,6999.999999999998,-12.465146437956264
7,France,37504520.12595205,94000.0,0.3989842566590644
8,Germany,307259152.9515316,189000.0,1.6257098039763576
9,Hungary,107901211.76286104,114996.32824160451,0.9383013650328313
10,India,-33518379.49996162,37235.114960464285,-0.9001819797132614
11,Italy,45092425.01965264,96999.99999999999,0.4648703610273469
12,Japan,765454796.4052125,266008.343948259,2.8775593466124514
13,Korea,4004253528.020323,1115038.0028273887,3.5911363719144855
14,Netherlands,-89636063.69193155,30000.0,-2.9878687897310514
15,Norway,-78051603.23907378,14379.592248116498,-5.427942732471939
16,Paraguay,-38406257.10208586,439.00000000000006,-87.48577927582198
17,Poland,1255295.002633229,74000.00000000003,0.016963445981530115
18,Romania,-49245089.13793848,1000.0000000000001,-49.24508913793847
19,Russian Federation,-76743671.50910784,12679.441678934892,-6.052606530507306
20,Serbia,-35171821.8686336,474.0657880460117,-74.19185850471013
21,Slovakia,-49092898.32037178,1000.0000000000001,-49.09289832037177
22,Spain,71769817.31158897,103999.99999999999,0.6900943972268171
23,Sweden,242249609.71585009,164998.23617076772,1.468195147644668
24,Switzerland,-73364831.55352196,25678.321467911534,-2.8570727119060737
25,Thailand,-75208047.29764074,13309.08980309672,-5.650878340316072
26,Turkey,-77766733.49745256,10000.0,-7.776673349745256
27,USA,1746817255.7722414,606000.0,2.882536725696768
28,United Kingdom,291021323.5282365,143000.00000000003,2.035114150547108
29,Uruguay,-31465306.92456404,231.00000000000003,-136.2134498898876
30,Viet Nam,-70163456.76177618,5000.0,-14.032691352355236
