,country,total_netprofits,scrap_sum,net_profit
0,Angola,-5778590.812515664,89.0,-64.92798665747937
1,Argentina,-19256253.48225937,3850.9999999999995,-5.0003254952634055
2,Aruba,-1410941.2105526957,5.000000000000001,-282.18824211053914
3,Australia,-2858099.6409651306,12000.0,-0.23817497008042757
4,Barbados,-619681.7955496684,0.9999999999999158,-619.6817955497205
5,Belgium,-31573268.13004031,8999.999999999998,-3.508140903337813
6,Benin,-1097061.9420730374,3.9999999999999987,-274.2654855182595
7,Bermuda,-980424.4132753415,2.9999999999999996,-326.80813775844723
8,Bolivia (Plurinational State of),-19208380.22250758,1796.0,-10.695089210750323
9,Botswana,-11790465.060127676,425.00000000000006,-27.742270729712175
10,Brazil,5329955741.068567,799400.0,6.667445260280919
11,Burkina Faso,-14773673.854034439,754.0,-19.59373190190244
12,C?te d'Ivoire,-9638884.751193997,265.0,-36.373150004505646
13,Cabo Verde,-1600128.7223520975,7.000000000000002,-228.589817478871
14,Cameroon,-700481.7268406798,1.9999999999999993,-350.24086342034
15,Canada,597626352.8434007,119999.99999999997,4.98021960702834
16,Chile,-17224858.832607336,1100.0,-15.65896257509758
17,Colombia,-19646125.150199525,3587.0,-5.4770351687202465
18,Congo,-1357784.2382018003,6.0,-226.29737303363336
19,Costa Rica,-16893161.29596572,1048.9999999999998,-16.10406224591585
20,Czechia,-19393951.818308927,1000.0,-19.393951818308928
21,Dominican Rep.,-18865992.659626205,1606.9999999999998,-11.739883422293843
22,Ecuador,-17342954.01567906,1143.0000000000002,-15.173188115204775
23,El Salvador,-3067114.440943482,24.0,-127.79643503931175
24,Eswatini,-2455692.462107844,15.999999999999998,-153.4807788817403
25,Finland,-31526812.81626427,7000.0,-4.503830402323468
26,France,276148496.8628099,98000.00000000001,2.8178418047225495
27,Germany,718784633.9862566,194000.00000000003,3.705075432918848
28,Ghana,-3234567.829568974,36.0,-89.84910637691596
29,Grenada,-5203404.05572144,60.0,-86.72340092869067
30,Guatemala,-20100742.800848313,3021.9999999999995,-6.651470152497788
31,Guinea,-1310057.6260972572,4.999999999999998,-262.0115252194515
32,Guyana,-18779718.319203597,1546.9999999999998,-12.139442998838783
33,Honduras,-11874366.220365994,385.0,-30.842509663288297
34,Hungary,430261950.1729768,124991.63724927441,3.442325899891151
35,India,273223766.5520651,65468.56251612287,4.173358266187356
36,Italy,296900443.1809323,103000.0,2.882528574572158
37,Jamaica,-1927271.119515076,9.999999999999998,-192.72711195150762
38,Japan,1603612201.731628,306990.89219904266,5.223647484277479
39,Korea,9613135501.763666,1515991.7409366425,6.3411529510208755
40,Lesotho,-7562547.229809575,154.0,-49.10744954421802
41,Mali,-6010427.653956803,94.99999999999999,-63.26765951533477
42,Mozambique,-6476231.566104468,111.0,-58.34442852346368
43,Namibia,-13654117.918427372,608.9999999999999,-22.420554874264983
44,Netherlands,22189749.18248164,32000.000000000004,0.6934296619525511
45,Nicaragua,-16536634.621838933,968.0000000000001,-17.083300229172448
46,Niger,-10868152.600601383,346.00000000000006,-31.410845666477982
47,Nigeria,35470987.52172745,20583.0,1.7233147510920397
48,Norway,5423491.836023477,14506.86330267243,0.373856961554492
49,Panama,-3008031.573532072,23.0,-130.78398145791618
50,Paraguay,-13854782.19169138,575.0,-24.095273376854575
51,Peru,-18825984.477630578,4388.0,-4.290333746041608
52,Poland,201291806.15675256,77000.0,2.614179300737046
53,Romania,-19456247.950873367,999.9999999999998,-19.45624795087337
54,Russian Federation,15565241.88975875,15948.418904031016,0.9759739810837665
55,Saint Lucia,-2967490.3628936107,19.0,-156.18370331019003
56,Senegal,-20342872.372877993,3082.9999999999995,-6.598401677871553
57,Serbia,-13516920.56383778,596.1888564475104,-22.672212701828375
58,Slovakia,-19414646.153374854,1000.0000000000002,-19.41464615337485
59,South Africa,-9773759.161422063,272.0,-35.93293809346347
60,Spain,365603897.58943266,116000.0,3.151757737839937
61,Sweden,870337113.1197618,199993.75374731387,4.351821478481806
62,Switzerland,55962958.36175686,28068.153024730014,1.9938240436572212
63,Thailand,20869768.974766523,17053.77738231719,1.223762249670626
64,Togo,-10798711.376087192,342.0,-31.575179462243252
65,Trinidad and Tobago,-14030485.44693344,589.9999999999999,-23.78048380836177
66,Turkey,-7453530.72965466,10000.0,-0.745353072965466
67,USA,4238910597.4581337,672000.0000000002,6.307902674788887
68,United Kingdom,831158492.1501338,159000.0,5.227411900315308
69,Uruguay,-10847861.700331135,300.0000000000001,-36.15953900110377
70,Viet Nam,-18238336.883744836,5000.0,-3.647667376748967
