,country,total_netprofits,scrap_sum,net_profit
0,Afghanistan,-126833.90854166275,0.08073087117951024,-1571.0707278215725
1,Albania,-25231313.188330404,2114.849978344113,-11.930545167126247
2,Algeria,-15345058.852651596,853.887722026189,-17.970815666770953
3,Andorra,-1509571.4987902564,6.792226273414645,-222.24988362046307
4,Angola,-7232852.2079167375,140.87337464948737,-51.342932799850104
5,Argentina,-15410315.300280012,4556.248092226751,-3.3822379704412913
6,Armenia,-1091159.0861052466,4.051275135983344,-269.3371961863547
7,Aruba,-1104032.4596533037,3.100134383406845,-356.12406531875695
8,Australia,-134590399.41092685,48228.96543927098,-2.7906549142216326
9,Austria,110592664.05726457,35197.60124065408,3.142051167098494
10,Azerbaijan,-16912916.17970233,1143.6911426960287,-14.788010108947274
11,Bahamas,-71403.11337687155,0.023151280933359122,-3084.197093992559
12,Bahrain,-948177.6217530657,3.329520084133843,-284.77906659023176
13,Bangladesh,-1113829.1350000715,3.6115419451629807,-308.40819569930454
14,Barbados,-501544.243500089,0.6626544906357473,-756.8714172885329
15,Belarus,-18818938.842054352,3444.3327368455193,-5.463740085485938
16,Belgium,-292089859.6789996,44806.35280349746,-6.518938529988986
17,Benin,-891847.5173157556,2.708212879275889,-329.3121911281266
18,Bermuda,-830201.2628587151,2.1826055617909965,-380.3716426789781
19,Bolivia (Plurinational State of),-19901759.864505,2323.2451390904125,-8.56636242540331
20,Bosnia Herzegovina,-9250641.874825383,249.5644238807561,-37.06714976027759
21,Botswana,-12638610.644776333,503.8765031067958,-25.082754537767364
22,Brazil,430515069.1612987,1305927.8755053044,0.32966220971025595
23,Brunei Darussalam,-3394633.9826123673,30.295994601578744,-112.04893674081492
24,Bulgaria,-13404666.113341939,9241.658461087556,-1.4504611017365472
25,Burkina Faso,-16540507.272252921,1052.5885015318165,-15.714124986337742
26,Burundi,-10840796.103744375,344.6763250925163,-31.45210539434219
27,C?te d'Ivoire,-10591255.482454967,328.72060856760396,-32.21962726525189
28,Cabo Verde,-1940023.7586392404,10.123234912606708,-191.6406934529675
29,Cambodia,-17965721.525771543,1401.5962303264507,-12.818043554231794
30,Cameroon,-696471.5801036521,2.065448504808436,-337.2011349991259
31,Canada,1175650950.202849,244501.67706431774,4.808355363115101
32,Cayman Isds,-72670.16252116559,0.02393572424664795,-3036.054467052218
33,Chile,-19106950.398073602,1683.6332673528875,-11.34864151746938
34,Colombia,-16088836.981170475,4377.987658752108,-3.674938861238454
35,Comoros,-1206202.4911622554,4.07545722573149,-295.96740300611503
36,Congo,-1151749.3104475143,4.430525231531566,-259.95773644412174
37,Costa Rica,-17964349.703743853,1314.356317271598,-13.667792719279566
38,Croatia,-19608566.589545395,7411.989043009897,-2.645520180313522
39,Cyprus,-24844599.56098255,2011.4474779991383,-12.351602431944382
40,Czechia,-1326957456.8599446,56594.175684679656,-23.446890794085
41,Denmark,33683447.44940612,19805.440919034838,1.7007168680114184
42,Dominican Rep.,-19884093.985274743,2232.8889414279206,-8.90509761428572
43,Ecuador,-18611107.257965907,1513.4082394180941,-12.297479803018572
44,Egypt,-706367.2730527096,8509.63890181029,-0.08300790212172708
45,El Salvador,-2403871.7430309057,14.79125380154646,-162.51980902251677
46,Estonia,-25357542.160166137,2243.474721020936,-11.302798254230696
47,Eswatini,-2871190.2697049077,21.676118886183076,-132.4586880511658
48,Ethiopia,-15649267.060210124,897.7394860226731,-17.431857798237573
49,Fiji,-1409782.1401234085,6.384664223356155,-220.80756180821427
50,Finland,-207032618.72190368,16817.092618405193,-12.310844889759375
51,France,781839594.1857514,255832.50466479664,3.056060429890069
52,French Polynesia,-12684967.286424499,504.6477824338939,-25.13627866399306
53,Georgia,-6055825.856375922,98.43106300859192,-61.52352388846311
54,Germany,928705979.1801032,288515.19401674345,3.2189153238363155
55,Ghana,-2862832.66053633,28.942316708179366,-98.91511759068227
56,Greece,198482588.0497371,48776.695114174785,4.069209436702015
57,Greenland,-805217.1634855522,1.6950814474300138,-475.03154772083474
58,Grenada,-6211538.451588069,87.27690010272198,-71.17047516900001
59,Guatemala,-17193400.182592347,4028.4393835083783,-4.268005186568941
60,Guinea,-1466003.0945575307,6.183710955902923,-237.07497084062368
61,Guyana,-20030571.04579892,2328.4185819932914,-8.602650400020142
62,Honduras,-13043879.866102003,489.1506779169015,-26.666384112254956
63,Hungary,2608657.256647122,13667.695078252267,0.19086299787284247
64,Iceland,-16086862.465046747,1046.328638195636,-15.374579150187541
65,India,788475398.2113764,114850.50398783681,6.8652323745560535
66,Indonesia,284137179.0564538,50449.67139535542,5.632091769830884
67,Iran,-4827354.973182625,99.0615260592028,-48.73087630709041
68,Ireland,11502879.680870334,16236.319932807955,0.7084659410798512
69,Israel,180988869.55907038,36742.25324025729,4.925905560978682
70,Italy,782018032.5438464,249955.46683260807,3.1286294412898505
71,Jamaica,-1670509.2810923525,7.618447233151061,-219.2716218894666
72,Japan,187640067.0645673,34426.781169915885,5.4504098462896104
73,Jordan,-19359140.538601343,1977.427386732723,-9.790063932809282
74,Kazakhstan,-19360723.59708991,2961.8564160170413,-6.536685401895767
75,Kenya,35906379.6520103,15136.557992748518,2.3721627908545653
76,Kiribati,-1059174.0871075233,3.1928376491891175,-331.7344016462976
77,Korea,1149806088.4395766,151021.2283876432,7.613539505110102
78,Kuwait,-2249650.4925637967,16.915273484218595,-132.99521847297638
79,Kyrgyzstan,-1046617.3622917732,3.9642352133990504,-264.0149501609348
80,Lao People's Dem. Rep.,704060.7871845625,8831.547717476367,0.07972111001464977
81,Latvia,-26177323.68935048,2703.6627278570127,-9.682170567961059
82,Lebanon,11063828.192407474,10860.396713989388,1.0187314960747285
83,Lesotho,-8978287.061050808,223.7611343828818,-40.12442592326108
84,Lithuania,-26383749.190061193,4366.9476177379065,-6.041691245137505
85,Luxembourg,-25449035.81317424,2322.582649644118,-10.957214296366898
86,Madagascar,-12976320.735916955,532.8312165557347,-24.353529471859723
87,Malawi,-19572591.854333717,2089.3152921678693,-9.367945531105185
88,Malaysia,-4227089.282367225,47.34822776458135,-89.27661038095457
89,Maldives,-7386423.255847945,146.84703991577354,-50.300116775146066
90,Mali,-7069931.538553637,133.43374112731163,-52.9845860486523
91,Malta,-18994258.230324022,968.6097249666954,-19.609815739747113
92,Mauritania,-149716.28697783162,0.10949895959401523,-1367.2850183502064
