,country,type,recycling_m,net_profit
6,Afghanistan,LFP,Direct,0.0
11,Afghanistan,NCA,Direct,-1132.2012013589515
7,Afghanistan,NMC111,Direct,-2147.327909957633
10,Afghanistan,NMC523,Direct,-1948.9046310046856
8,Afghanistan,NMC622,Direct,-2686.7646203013956
9,Afghanistan,NMC811,Direct,0.0
18,Albania,LFP,Direct,-13.941146573544792
23,Albania,NCA,Direct,-3.762335978577449
19,Albania,NMC111,Direct,-13.17708603662792
22,Albania,NMC523,Direct,-17.4415538741416
20,Albania,NMC622,Direct,-15.577352925333766
21,Albania,NMC811,Direct,-19.65111439786835
258,Algeria,LFP,Direct,-51.16767116696211
263,Algeria,NCA,Direct,-6.174189145515619
259,Algeria,NMC111,Direct,-25.26121289508731
262,Algeria,NMC523,Direct,-28.48254280763061
260,Algeria,NMC622,Direct,-31.208805775862984
261,Algeria,NMC811,Direct,-34.160375161311215
24,Andorra,LFP,Direct,-500.85076021898567
29,Andorra,NCA,Direct,-140.4946045830451
25,Andorra,NMC111,Direct,-265.6576217877645
28,Andorra,NMC523,Direct,-258.0807184132832
26,Andorra,NMC622,Direct,-349.5346977682756
27,Andorra,NMC811,Direct,-389.8692510919662
12,Angola,LFP,Direct,-115.80452784290101
17,Angola,NCA,Direct,-27.85526376462619
13,Angola,NMC111,Direct,-65.41834372652885
16,Angola,NMC523,Direct,-65.85609957688514
14,Angola,NMC622,Direct,-83.02651647927657
15,Angola,NMC811,Direct,-92.71835332680143
36,Argentina,LFP,Direct,-22.524388899717163
41,Argentina,NCA,Direct,3.0757669644225163
37,Argentina,NMC111,Direct,-8.779885496175599
40,Argentina,NMC523,Direct,-12.970791563405715
38,Argentina,NMC622,Direct,-9.814603124406261
39,Argentina,NMC811,Direct,-10.312564607371753
42,Armenia,LFP,Direct,0.0
47,Armenia,NCA,Direct,-184.21744293781353
43,Armenia,NMC111,Direct,-298.24783510639315
46,Armenia,NMC523,Direct,-328.28260315597544
44,Armenia,NMC622,Direct,-469.66215467035875
45,Armenia,NMC811,Direct,-644.8714020158903
0,Aruba,LFP,Direct,0.0
5,Aruba,NCA,Direct,-243.9327066731718
1,Aruba,NMC111,Direct,-374.25108226020444
4,Aruba,NMC523,Direct,-424.38339215560035
2,Aruba,NMC622,Direct,-642.8556393359324
3,Aruba,NMC811,Direct,-786.9651573113919
48,Australia,LFP,Direct,-20.310206195801193
53,Australia,NCA,Direct,2.24364446927598
49,Australia,NMC111,Direct,-9.860614343403599
52,Australia,NMC523,Direct,-13.712938724189936
50,Australia,NMC622,Direct,-10.266589185559766
51,Australia,NMC811,Direct,-10.530896156047538
54,Austria,LFP,Direct,-1.9784597843080785
59,Austria,NCA,Direct,6.38537584367017
55,Austria,NMC111,Direct,0.015091581432617907
58,Austria,NMC523,Direct,-4.949526942668476
56,Austria,NMC622,Direct,1.701986482094936
57,Austria,NMC811,Direct,1.8401312066094249
60,Azerbaijan,LFP,Direct,-41.35469700858877
65,Azerbaijan,NCA,Direct,-4.087673450097457
61,Azerbaijan,NMC111,Direct,-22.09464840418331
64,Azerbaijan,NMC523,Direct,-24.785537439301088
62,Azerbaijan,NMC622,Direct,-25.8209288823952
63,Azerbaijan,NMC811,Direct,-27.93272179140397
108,Bahamas,LFP,Direct,0.0
113,Bahamas,NCA,Direct,-2362.23325384908
109,Bahamas,NMC111,Direct,-4381.227748272084
112,Bahamas,NMC523,Direct,-4362.7794968498165
110,Bahamas,NMC622,Direct,0.0
111,Bahamas,NMC811,Direct,0.0
102,Bahrain,LFP,Direct,0.0
107,Bahrain,NCA,Direct,-212.04406972322104
103,Bahrain,NMC111,Direct,-274.40840513810747
106,Bahrain,NMC523,Direct,-355.3340974855284
104,Bahrain,NMC622,Direct,-579.4365669571438
105,Bahrain,NMC811,Direct,-1581.2999979764409
90,Bangladesh,LFP,Direct,-751.5705851616856
95,Bangladesh,NCA,Direct,-196.03030576762515
91,Bangladesh,NMC111,Direct,-349.8071369728894
