,country,type,scrap_sum,year,Strategy type,recycling_m,CO2,CO2_em
0,India,LFP,0.5500682353155628,2023,Strategy 2,Direct,2.252335332,1.2389381214121322
1,India,NMC111,622.5231905862626,2023,Strategy 2,Direct,2.5573470780000003,1592.0078624330158
2,India,NMC622,122.32690928770788,2023,Strategy 2,Direct,2.478807863,303.224904598858
3,India,NMC811,30.105518510679477,2023,Strategy 2,Direct,2.397518212,72.17852891105717
4,India,NMC523,363.6371871037995,2023,Strategy 2,Direct,2.496014242,907.6435979319023
5,India,NCA,1050.9838454778624,2023,Strategy 2,Direct,2.452491446,2577.528890918643
6,Japan,LFP,0.39267696085916365,2023,Strategy 2,Direct,2.252335332,0.8844401930054753
7,Japan,NMC111,838.4227588363309,2023,Strategy 2,Direct,2.5573470780000003,2144.1379924387898
8,Japan,NMC622,145.78917286278863,2023,Strategy 2,Direct,2.478807863,361.3833480325467
9,Japan,NMC811,27.017023810428597,2023,Strategy 2,Direct,2.397518212,64.7738066195402
10,Japan,NMC523,480.91852038359184,2023,Strategy 2,Direct,2.496014242,1200.3794761190127
11,Japan,NCA,1237.8173389294136,2023,Strategy 2,Direct,2.452491446,3035.7364354348692
12,Korea,LFP,1.8431197305513423,2023,Strategy 2,Direct,2.252335332,4.151323690227108
13,Korea,NMC111,459.7457088403141,2023,Strategy 2,Direct,2.5573470780000003,1175.729345125816
14,Korea,NMC622,132.93301071924395,2023,Strategy 2,Direct,2.478807863,329.5153922231252
15,Korea,NMC811,46.85760584367299,2023,Strategy 2,Direct,2.397518212,112.34196338092363
16,Korea,NMC523,353.84397243685976,2023,Strategy 2,Direct,2.496014242,883.1995946482575
17,Korea,NCA,919.4560041601239,2023,Strategy 2,Direct,2.452491446,2254.957985176044
18,Thailand,LFP,2.0526184351984047,2023,Strategy 2,Direct,2.252335332,4.623185024711919
19,Thailand,NMC111,2513.9218036565935,2023,Strategy 2,Direct,2.5573470780000003,6428.97057890168
20,Thailand,NMC622,528.6296549286125,2023,Strategy 2,Direct,2.478807863,1310.3713452520215
21,Thailand,NMC811,131.56000166993647,2023,Strategy 2,Direct,2.397518212,315.4174999744231
22,Thailand,NMC523,1557.996114043831,2023,Strategy 2,Direct,2.496014242,3888.780489634059
23,Thailand,NCA,4171.514966767775,2023,Strategy 2,Direct,2.452491446,10230.604772858942
24,Viet Nam,LFP,0.3043063680273929,2023,Strategy 2,Direct,2.252335332,0.6853999844606922
25,Viet Nam,NMC111,867.613338323516,2023,Strategy 2,Direct,2.5573470780000003,2218.7884355954693
26,Viet Nam,NMC622,169.58133644348143,2023,Strategy 2,Direct,2.478807863,420.35955019415024
27,Viet Nam,NMC811,36.4267486233314,2023,Strategy 2,Direct,2.397518212,87.33379322838296
28,Viet Nam,NMC523,510.639165255263,2023,Strategy 2,Direct,2.496014242,1274.562629000128
29,Viet Nam,NCA,1415.4351049863808,2023,Strategy 2,Direct,2.452491446,3471.3424873472104
30,France,LFP,30.82865907948463,2023,Strategy 2,Direct,2.252335332,69.43647808290582
31,France,NMC111,1934.5415240208572,2023,Strategy 2,Direct,2.5573470780000003,4947.294113724406
32,France,NMC622,572.422007215759,2023,Strategy 2,Direct,2.478807863,1418.924172440666
33,France,NMC811,191.58947696609516,2023,Strategy 2,Direct,2.397518212,459.3392602537677
34,France,NMC523,1461.4590501316059,2023,Strategy 2,Direct,2.496014242,3647.8226032282805
35,France,NCA,2396.6135226315027,2023,Strategy 2,Direct,2.452491446,5877.6741636216875
36,Germany,LFP,64.03424586812926,2023,Strategy 2,Direct,2.252335332,144.22659442676255
37,Germany,NMC111,2952.52905590908,2023,Strategy 2,Direct,2.5573470780000003,7550.641553839185
38,Germany,NMC622,1059.283188919846,2023,Strategy 2,Direct,2.478807863,2625.759497838229
39,Germany,NMC811,418.48384338318425,2023,Strategy 2,Direct,2.397518212,1003.3226359389399
40,Germany,NMC523,2552.22145298083,2023,Strategy 2,Direct,2.496014242,6370.381095378085
41,Germany,NCA,3957.488166384406,2023,Strategy 2,Direct,2.452491446,9705.70587570398
42,Hungary,LFP,6.591016806710752,2023,Strategy 2,Direct,2.252335332,14.845180027560442
43,Hungary,NMC111,930.3574307845996,2023,Strategy 2,Direct,2.5573470780000003,2379.2468571125833
44,Hungary,NMC622,218.75772452851845,2023,Strategy 2,Direct,2.478807863,542.2583676532795
45,Hungary,NMC811,64.96141772885846,2023,Strategy 2,Direct,2.397518212,155.74618208227784
46,Hungary,NMC523,600.3590053751325,2023,Strategy 2,Direct,2.496014242,1498.5046277292854
47,Hungary,NCA,1439.4030339539156,2023,Strategy 2,Direct,2.452491446,3530.123628118425
48,Italy,LFP,32.01686295673592,2023,Strategy 2,Direct,2.252335332,72.1127116572583
49,Italy,NMC111,592.7072182065572,2023,Strategy 2,Direct,2.5573470780000003,1515.7580725900475
50,Italy,NMC622,214.09514235160853,2023,Strategy 2,Direct,2.478807863,530.7007222912715
51,Italy,NMC811,85.87215056596494,2023,Strategy 2,Direct,2.397518212,205.88004488550706
52,Italy,NMC523,504.42043358982556,2023,Strategy 2,Direct,2.496014242,1259.0405861960198
