,country,type,scrap_sum,year,Strategy type,recycling_m,CO2,CO2_em
0,India,LFP,0.5500682353155628,2023,Strategy 2,Hydro,0.8018847791000001,0.44109134536594696
1,India,NMC111,622.5231905862626,2023,Strategy 2,Hydro,2.414310695,1502.9643969179372
2,India,NMC622,122.32690928770788,2023,Strategy 2,Hydro,2.337983546,285.9983011476956
3,India,NMC811,30.105518510679477,2023,Strategy 2,Hydro,2.2614716749999997,68.08277737308981
4,India,NMC523,363.6371871037995,2023,Strategy 2,Hydro,2.357900841,857.4204292909233
5,India,NCA,1050.9838454778624,2023,Strategy 2,Hydro,2.249491865,2364.179610648868
6,Japan,LFP,0.39267696085916365,2023,Strategy 2,Hydro,0.8018847791000001,0.3148816780162098
7,Japan,NMC111,838.4227588363309,2023,Strategy 2,Hydro,2.414310695,2024.2130335899597
8,Japan,NMC622,145.78917286278863,2023,Strategy 2,Hydro,2.337983546,340.8526873381495
9,Japan,NMC811,27.017023810428597,2023,Strategy 2,Hydro,2.2614716749999997,61.09823409008483
10,Japan,NMC523,480.91852038359184,2023,Strategy 2,Hydro,2.357900841,1133.958183664947
11,Japan,NCA,1237.8173389294136,2023,Strategy 2,Hydro,2.249491865,2784.460034277664
12,Korea,LFP,1.8431197305513423,2023,Strategy 2,Hydro,0.8018847791000001,1.4779696579880148
13,Korea,NMC111,459.7457088403141,2023,Strategy 2,Hydro,2.414310695,1109.9689818335264
14,Korea,NMC622,132.93301071924395,2023,Strategy 2,Hydro,2.337983546,310.795191781834
15,Korea,NMC811,46.85760584367299,2023,Strategy 2,Hydro,2.2614716749999997,105.96714837378093
16,Korea,NMC523,353.84397243685976,2023,Strategy 2,Hydro,2.357900841,834.3290001916525
17,Korea,NCA,919.4560041601239,2023,Strategy 2,Hydro,2.249491865,2068.308801583605
18,Thailand,LFP,2.0526184351984047,2023,Strategy 2,Hydro,0.8018847791000001,1.6459634804856607
19,Thailand,NMC111,2513.9218036565935,2023,Strategy 2,Hydro,2.414310695,6069.388296961804
20,Thailand,NMC622,528.6296549286125,2023,Strategy 2,Hydro,2.337983546,1235.9274351507536
21,Thailand,NMC811,131.56000166993647,2023,Strategy 2,Hydro,2.2614716749999997,297.519217339514
22,Thailand,NMC523,1557.996114043831,2023,Strategy 2,Hydro,2.357900841,3673.6003475786815
23,Thailand,NCA,4171.514966767775,2023,Strategy 2,Hydro,2.249491865,9383.788982469856
24,Viet Nam,LFP,0.3043063680273929,2023,Strategy 2,Hydro,0.8018847791000001,0.2440186447043693
25,Viet Nam,NMC111,867.613338323516,2023,Strategy 2,Hydro,2.414310695,2094.688161839118
26,Viet Nam,NMC622,169.58133644348143,2023,Strategy 2,Hydro,2.337983546,396.4783743135497
27,Viet Nam,NMC811,36.4267486233314,2023,Strategy 2,Hydro,2.2614716749999997,82.37806022400919
28,Viet Nam,NMC523,510.639165255263,2023,Strategy 2,Hydro,2.357900841,1204.0365172029226
29,Viet Nam,NCA,1415.4351049863808,2023,Strategy 2,Hydro,2.249491865,3184.0097541022847
30,France,LFP,30.82865907948463,2023,Strategy 2,Hydro,0.8018847791000001,24.721032475901744
31,France,NMC111,1934.5415240208572,2023,Strategy 2,Hydro,2.414310695,4670.584291365155
32,France,NMC622,572.422007215759,2023,Strategy 2,Hydro,2.337983546,1338.3132342387376
33,France,NMC811,191.58947696609516,2023,Strategy 2,Hydro,2.2614716749999997,433.2741753868891
34,France,NMC523,1461.4590501316059,2023,Strategy 2,Hydro,2.357900841,3445.9755233923747
35,France,NCA,2396.6135226315027,2023,Strategy 2,Hydro,2.249491865,5391.162622708559
36,Germany,LFP,64.03424586812926,2023,Strategy 2,Hydro,0.8018847791000001,51.34808710279993
37,Germany,NMC111,2952.52905590908,2023,Strategy 2,Hydro,2.414310695,7128.322476979545
38,Germany,NMC622,1059.283188919846,2023,Strategy 2,Hydro,2.337983546,2476.5866662490093
39,Germany,NMC811,418.48384338318425,2023,Strategy 2,Hydro,2.2614716749999997,946.3893582562072
40,Germany,NMC523,2552.22145298083,2023,Strategy 2,Hydro,2.357900841,6017.885110401741
41,Germany,NCA,3957.488166384406,2023,Strategy 2,Hydro,2.249491865,8902.337436115487
42,Hungary,LFP,6.591016806710752,2023,Strategy 2,Hydro,0.8018847791000001,5.285236056093639
43,Hungary,NMC111,930.3574307845996,2023,Strategy 2,Hydro,2.414310695,2246.171895315981
44,Hungary,NMC622,218.75772452851845,2023,Strategy 2,Hydro,2.337983546,511.4519605080767
45,Hungary,NMC811,64.96141772885846,2023,Strategy 2,Hydro,2.2614716749999997,146.90840616165622
46,Hungary,NMC523,600.3590053751325,2023,Strategy 2,Hydro,2.357900841,1415.5870036759486
47,Hungary,NCA,1439.4030339539156,2023,Strategy 2,Hydro,2.249491865,3237.925415335652
48,Italy,LFP,32.01686295673592,2023,Strategy 2,Hydro,0.8018847791000001,25.67383507953716
49,Italy,NMC111,592.7072182065572,2023,Strategy 2,Hydro,2.414310695,1430.9793759197898
50,Italy,NMC622,214.09514235160853,2023,Strategy 2,Hydro,2.337983546,500.55092009658847
51,Italy,NMC811,85.87215056596494,2023,Strategy 2,Hydro,2.2614716749999997,194.19743617626492
52,Italy,NMC523,504.42043358982556,2023,Strategy 2,Hydro,2.357900841,1189.3733645790344
53,Italy,NCA,939.6628804152809,2023,Strategy 2,Hydro,2.249491865,2113.764005336642
54,Poland,LFP,4.886604257436245,2023,Strategy 2,Hydro,0.8018847791000001,3.9184935755233834
55,Poland,NMC111,228.7335084456388,2023,Strategy 2,Hydro,2.414310695,552.2337557451785
56,Poland,NMC622,58.218085914423085,2023,Strategy 2,Hydro,2.337983546,136.11292694753553
57,Poland,NMC811,16.6145312057403,2023,Strategy 2,Hydro,2.2614716749999997,37.57329171518528
58,Poland,NMC523,160.34800723315337,2023,Strategy 2,Hydro,2.357900841,378.08470110772646
59,Poland,NCA,347.64899758167905,2023,Strategy 2,Hydro,2.249491865,782.0335919353917
60,Slovakia,LFP,0.4928715649001103,2023,Strategy 2,Hydro,0.8018847791000001,0.39522620594459634
61,Slovakia,NMC111,9.998370575050227,2023,Strategy 2,Hydro,2.414310695,24.139173011917066
62,Slovakia,NMC622,3.8351376232863075,2023,Strategy 2,Hydro,2.337983546,8.966488659888933
63,Slovakia,NMC811,1.4023424002149287,2023,Strategy 2,Hydro,2.2614716749999997,3.1713576167375748
64,Slovakia,NMC523,9.159649184727083,2023,Strategy 2,Hydro,2.357900841,21.597544515932956
65,Slovakia,NCA,13.548869890896187,2023,Strategy 2,Hydro,2.249491865,30.47807259951441
66,Spain,LFP,15.083492237198392,2023,Strategy 2,Hydro,0.8018847791000001,12.0952228406824
67,Spain,NMC111,741.340420913219,2023,Strategy 2,Hydro,2.414310695,1789.8261068465863
68,Spain,NMC622,239.68850843874802,2023,Strategy 2,Hydro,2.337983546,560.387788895075
69,Spain,NMC811,76.20261668746745,2023,Strategy 2,Hydro,2.2614716749999997,172.33005919958995
70,Spain,NMC523,604.8268894266007,2023,Strategy 2,Hydro,2.357900841,1426.121831238396
71,Spain,NCA,1038.0291713436736,2023,Strategy 2,Hydro,2.249491865,2335.038176570285
72,Sweden,LFP,7.760562923606021,2023,Strategy 2,Hydro,0.8018847791000001,6.223077285687466
73,Sweden,NMC111,904.5428374098277,2023,Strategy 2,Hydro,2.414310695,2183.8474464441933
74,Sweden,NMC622,290.1082675524963,2023,Strategy 2,Hydro,2.337983546,678.2683560963019
75,Sweden,NMC811,93.33611014241305,2023,Strategy 2,Hydro,2.2614716749999997,211.0769693417473
76,Sweden,NMC523,734.1833800204485,2023,Strategy 2,Hydro,2.357900841,1731.1316091984381
77,Sweden,NCA,1127.1993396197854,2023,Strategy 2,Hydro,2.249491865,2535.6257447080793
78,United Kingdom,LFP,4.201071419150403,2023,Strategy 2,Hydro,0.8018847791000001,3.368775226928745
79,United Kingdom,NMC111,1227.4916995687183,2023,Strategy 2,Hydro,2.414310695,2963.5463382924836
80,United Kingdom,NMC622,308.40833551480756,2023,Strategy 2,Hydro,2.337983546,721.0536138828675
81,United Kingdom,NMC811,126.716611221046,2023,Strategy 2,Hydro,2.2614716749999997,286.5660270283826
