,source_point,dest_point,quantity,distcap,CO2,year,Strategy type
0,FJI,AUS,15.0,3460.5690000000004,882.4450950000002,2023,Strategy 2
1,NZL,AUS,257.0,2397.488,10474.625072,2023,Strategy 2
2,PYF,AUS,14.0,6319.975,1504.1540500000003,2023,Strategy 2
3,LUX,BEL,4.0,187.8091,12.7710188,2023,Strategy 2
4,EST,FIN,2.0,80.98481,2.75348354,2023,Strategy 2
5,LVA,FIN,2.0,358.1294,12.1763996,2023,Strategy 2
6,DNK,DEU,807.0,352.9857,4842.610818300001,2023,Strategy 2
7,CZE,DEU,38.0,279.8608,180.7900768,2023,Strategy 2
8,AUT,HUN,1007.0,215.6626,3691.9280494,2023,Strategy 2
9,BGR,HUN,4.0,632.9641,43.041558800000004,2023,Strategy 2
10,BIH,HUN,10.0,407.2162,69.22675400000001,2023,Strategy 2
11,CYP,HUN,1.0,1815.5739999999998,30.864758,2023,Strategy 2
12,HRV,HUN,3.0,302.1079,15.407502899999999,2023,Strategy 2
13,ISR,HUN,201.0,2170.795,7417.606515000001,2023,Strategy 2
14,JOR,HUN,75.0,2244.623,2861.894325,2023,Strategy 2
15,LBN,HUN,10.0,2048.187,348.19179,2023,Strategy 2
16,MDA,HUN,12.0,740.7287,151.1086548,2023,Strategy 2
17,MKD,HUN,18.0,641.169,196.19771400000002,2023,Strategy 2
18,PAL,HUN,2.0,2206.055,75.00587,2023,Strategy 2
19,SVN,HUN,3.0,381.6249,19.4628699,2023,Strategy 2
20,ROM,HUN,16.0,645.1553,175.4822416,2023,Strategy 2
21,YUG,HUN,54.0,317.1298,291.12515640000004,2023,Strategy 2
22,SVK,HUN,38.0,159.0699,102.7591554,2023,Strategy 2
23,TUR,HUN,1796.0,1390.226,42446.380232,2023,Strategy 2
24,ARE,IND,1220.0,2312.871,47968.944540000004,2023,Strategy 2
25,BGD,IND,1.0,1421.9379999999999,24.172946,2023,Strategy 2
26,BHR,IND,15.0,2634.9190000000003,671.9043450000001,2023,Strategy 2
27,KGZ,IND,19.0,1606.963,519.049049,2023,Strategy 2
28,KWT,IND,73.0,2838.48,3522.5536800000004,2023,Strategy 2
29,MDG,IND,7.0,6175.918000000001,734.9342420000002,2023,Strategy 2
30,MDV,IND,6.0,2750.0040000000004,280.50040800000005,2023,Strategy 2
31,MOZ,IND,3.0,7723.632,393.905232,2023,Strategy 2
32,MUS,IND,16.0,5828.435,1585.3343200000002,2023,Strategy 2
33,NPL,IND,30.0,801.1843,408.603993,2023,Strategy 2
34,OMN,IND,26.0,1936.2220000000002,855.8101240000001,2023,Strategy 2
35,PAK,IND,99.0,683.3699,1150.1115417,2023,Strategy 2
36,QAT,IND,51.0,2570.834,2228.913078,2023,Strategy 2
37,SAU,IND,428.0,3053.153,22214.741228,2023,Strategy 2
38,TJK,IND,2.0,1356.5479999999998,46.122631999999996,2023,Strategy 2
39,UZB,IND,15.0,1584.1029999999998,403.946265,2023,Strategy 2
40,YEM,IND,12.0,3691.113,752.9870520000001,2023,Strategy 2
41,AGO,ITA,32.0,5645.243,3071.0121920000006,2023,Strategy 2
42,ALB,ITA,1.0,611.7626,10.399964200000001,2023,Strategy 2
43,BDI,ITA,20.0,5315.705,1807.3397000000002,2023,Strategy 2
44,BWA,ITA,33.0,7543.876,4232.114436,2023,Strategy 2
45,CMR,ITA,8.0,4234.210999999999,575.8526959999999,2023,Strategy 2
46,COG,ITA,14.0,5140.217000000001,1223.371646,2023,Strategy 2
47,EGY,ITA,76.0,2133.612,2756.6267040000007,2023,Strategy 2
48,ETH,ITA,60.0,4472.661,4562.114220000001,2023,Strategy 2
49,GRC,ITA,66.0,1050.411,1178.5611420000002,2023,Strategy 2
50,KEN,ITA,75.0,5392.694,6875.6848500000015,2023,Strategy 2
51,LSO,ITA,2.0,8072.605,274.46857,2023,Strategy 2
52,MWI,ITA,48.0,6589.733,5377.222128,2023,Strategy 2
53,NAM,ITA,14.0,7188.876,1710.9524880000001,2023,Strategy 2
54,RWA,ITA,33.0,5188.542,2910.772062,2023,Strategy 2
55,SDN,ITA,2.0,3503.6079999999997,119.122672,2023,Strategy 2
56,TUN,ITA,13.0,595.3532,131.5730572,2023,Strategy 2
57,TZA,ITA,64.0,5846.278,6360.750464000001,2023,Strategy 2
58,UGA,ITA,115.0,5044.428,9861.856740000001,2023,Strategy 2
59,ZAF,ITA,17.0,7697.383000000001,2224.5436870000003,2023,Strategy 2
60,ZMB,ITA,28.0,6585.451,3134.674676,2023,Strategy 2
61,ZWE,ITA,35.0,6915.104,4114.48688,2023,Strategy 2
62,SWZ,ITA,1.0,7830.920999999999,133.125657,2023,Strategy 2
63,MNG,KOR,11.0,2003.1029999999998,374.580261,2023,Strategy 2
64,ISL,NOR,182.0,1749.596,5413.250024000001,2023,Strategy 2
65,BLR,POL,82.0,469.7038,654.7670972000001,2023,Strategy 2
66,LTU,POL,3.0,393.7521,20.0813571,2023,Strategy 2
67,UKR,POL,495.0,690.8161,5813.217481500001,2023,Strategy 2
68,ARM,RUS,11.0,1803.035,337.1675450000001,2023,Strategy 2
69,AZE,RUS,30.0,1930.747,984.6809700000001,2023,Strategy 2
70,GEO,RUS,5.0,1644.856,139.81276000000003,2023,Strategy 2
71,IRN,RUS,381.0,2466.589,15976.096953,2023,Strategy 2
72,KAZ,RUS,320.0,2270.788,12353.086720000001,2023,Strategy 2
73,AND,ESP,1.0,492.9274,8.3797658,2023,Strategy 2
74,BEN,ESP,5.0,3830.115,325.559775,2023,Strategy 2
75,BFA,ESP,16.0,3132.095,851.92984,2023,Strategy 2
76,CIV,ESP,34.0,3742.5229999999997,2163.178294,2023,Strategy 2
77,DZA,ESP,158.0,706.8757,1898.6681302000004,2023,Strategy 2
78,GHA,ESP,107.0,3896.073,7086.956787,2023,Strategy 2
79,GIN,ESP,2.0,3637.762,123.68390800000002,2023,Strategy 2
