,country,type,recycling_m,scrap_sum,year,Strategy type
378,Australia,LFP,Direct,0.4556539479806317,2023,Strategy 2
393,Australia,NCA,Direct,273.8644055752438,2023,Strategy 2
381,Australia,NMC111,Direct,139.32007765308379,2023,Strategy 2
390,Australia,NMC523,Direct,99.11879738336108,2023,Strategy 2
384,Australia,NMC622,Direct,37.25592911304248,2023,Strategy 2
387,Australia,NMC811,Direct,12.206000755032893,2023,Strategy 2
432,Belgium,LFP,Direct,6.510830101648675,2023,Strategy 2
447,Belgium,NCA,Direct,603.7566892892808,2023,Strategy 2
435,Belgium,NMC111,Direct,488.47985945987506,2023,Strategy 2
444,Belgium,NMC523,Direct,383.7429299203142,2023,Strategy 2
438,Belgium,NMC622,Direct,146.7014665525706,2023,Strategy 2
441,Belgium,NMC811,Direct,46.34652010844001,2023,Strategy 2
360,Brazil,LFP,Direct,1.4229203475426893,2023,Strategy 2
375,Brazil,NCA,Direct,50.4550385578365,2023,Strategy 2
363,Brazil,NMC111,Direct,15.905190283314633,2023,Strategy 2
372,Brazil,NMC523,Direct,16.600186517818152,2023,Strategy 2
366,Brazil,NMC622,Direct,7.675899848056379,2023,Strategy 2
369,Brazil,NMC811,Direct,4.777010401029409,2023,Strategy 2
342,Canada,LFP,Direct,1.479902374069103,2023,Strategy 2
357,Canada,NCA,Direct,948.7503487236388,2023,Strategy 2
345,Canada,NMC111,Direct,475.87351833346827,2023,Strategy 2
354,Canada,NMC523,Direct,343.0089614010258,2023,Strategy 2
348,Canada,NMC622,Direct,129.9374654866231,2023,Strategy 2
351,Canada,NMC811,Direct,43.02047123609268,2023,Strategy 2
396,Czechia,LFP,Direct,0.44587484266791455,2023,Strategy 2
411,Czechia,NCA,Direct,13.540259415845606,2023,Strategy 2
399,Czechia,NMC111,Direct,9.943073340664807,2023,Strategy 2
408,Czechia,NMC523,Direct,9.176726471973627,2023,Strategy 2
402,Czechia,NMC622,Direct,3.854963436444261,2023,Strategy 2
405,Czechia,NMC811,Direct,1.4120081301101546,2023,Strategy 2
450,Finland,LFP,Direct,1.6304813980311421,2023,Strategy 2
465,Finland,NCA,Direct,191.19824214559398,2023,Strategy 2
453,Finland,NMC111,Direct,148.27710158676558,2023,Strategy 2
462,Finland,NMC523,Direct,133.29143619002528,2023,Strategy 2
456,Finland,NMC622,Direct,54.00554971795156,2023,Strategy 2
459,Finland,NMC811,Direct,18.185576498945398,2023,Strategy 2
90,France,LFP,Direct,30.82865907948463,2023,Strategy 2
105,France,NCA,Direct,2396.6135226315027,2023,Strategy 2
94,France,NMC111,Hydro,1934.5415240208572,2023,Strategy 2
103,France,NMC523,Hydro,1461.4590501316059,2023,Strategy 2
96,France,NMC622,Direct,572.422007215759,2023,Strategy 2
99,France,NMC811,Direct,191.58947696609516,2023,Strategy 2
108,Germany,LFP,Direct,64.03424586812926,2023,Strategy 2
123,Germany,NCA,Direct,3957.488166384406,2023,Strategy 2
112,Germany,NMC111,Hydro,2952.52905590908,2023,Strategy 2
121,Germany,NMC523,Hydro,2552.22145298083,2023,Strategy 2
114,Germany,NMC622,Direct,1059.283188919846,2023,Strategy 2
117,Germany,NMC811,Direct,418.48384338318425,2023,Strategy 2
126,Hungary,LFP,Direct,6.591016806710752,2023,Strategy 2
141,Hungary,NCA,Direct,1439.4030339539156,2023,Strategy 2
130,Hungary,NMC111,Hydro,930.3574307845996,2023,Strategy 2
139,Hungary,NMC523,Hydro,600.3590053751325,2023,Strategy 2
132,Hungary,NMC622,Direct,218.75772452851845,2023,Strategy 2
135,Hungary,NMC811,Direct,64.96141772885846,2023,Strategy 2
0,India,LFP,Direct,0.5500682353155628,2023,Strategy 2
15,India,NCA,Direct,1050.9838454778624,2023,Strategy 2
3,India,NMC111,Direct,622.5231905862626,2023,Strategy 2
12,India,NMC523,Direct,363.6371871037995,2023,Strategy 2
6,India,NMC622,Direct,122.32690928770788,2023,Strategy 2
9,India,NMC811,Direct,30.105518510679477,2023,Strategy 2
144,Italy,LFP,Direct,32.01686295673592,2023,Strategy 2
159,Italy,NCA,Direct,939.6628804152809,2023,Strategy 2
147,Italy,NMC111,Direct,592.7072182065572,2023,Strategy 2
157,Italy,NMC523,Hydro,504.42043358982556,2023,Strategy 2
150,Italy,NMC622,Direct,214.09514235160853,2023,Strategy 2
153,Italy,NMC811,Direct,85.87215056596494,2023,Strategy 2
18,Japan,LFP,Direct,0.39267696085916365,2023,Strategy 2
33,Japan,NCA,Direct,1237.8173389294136,2023,Strategy 2
21,Japan,NMC111,Direct,838.4227588363309,2023,Strategy 2
31,Japan,NMC523,Hydro,480.91852038359184,2023,Strategy 2
24,Japan,NMC622,Direct,145.78917286278863,2023,Strategy 2
27,Japan,NMC811,Direct,27.017023810428597,2023,Strategy 2
36,Korea,LFP,Direct,1.8431197305513423,2023,Strategy 2
51,Korea,NCA,Direct,919.4560041601239,2023,Strategy 2
39,Korea,NMC111,Direct,459.7457088403141,2023,Strategy 2
48,Korea,NMC523,Direct,353.84397243685976,2023,Strategy 2
42,Korea,NMC622,Direct,132.93301071924395,2023,Strategy 2
45,Korea,NMC811,Direct,46.85760584367299,2023,Strategy 2
414,Netherlands,LFP,Direct,9.383732719553086,2023,Strategy 2
429,Netherlands,NCA,Direct,1547.6056990039028,2023,Strategy 2
418,Netherlands,NMC111,Hydro,1296.649774993484,2023,Strategy 2
427,Netherlands,NMC523,Hydro,801.3651007706793,2023,Strategy 2
420,Netherlands,NMC622,Direct,320.0912188813738,2023,Strategy 2
423,Netherlands,NMC811,Direct,93.2991513594621,2023,Strategy 2
252,Norway,LFP,Direct,0.15982236544698558,2023,Strategy 2
267,Norway,NCA,Direct,2243.473724100714,2023,Strategy 2
256,Norway,NMC111,Hydro,1336.5268500905245,2023,Strategy 2
265,Norway,NMC523,Hydro,801.178521160136,2023,Strategy 2
258,Norway,NMC622,Direct,274.28833509299784,2023,Strategy 2
261,Norway,NMC811,Direct,78.09819000287145,2023,Strategy 2
162,Poland,LFP,Direct,4.886604257436245,2023,Strategy 2
177,Poland,NCA,Direct,347.64899758167905,2023,Strategy 2
165,Poland,NMC111,Direct,228.7335084456388,2023,Strategy 2
174,Poland,NMC523,Direct,160.34800723315337,2023,Strategy 2
168,Poland,NMC622,Direct,58.218085914423085,2023,Strategy 2
171,Poland,NMC811,Direct,16.6145312057403,2023,Strategy 2
486,Romania,LFP,Direct,0.21001907051125548,2023,Strategy 2
501,Romania,NCA,Direct,5.901307530680433,2023,Strategy 2
489,Romania,NMC111,Direct,4.329400859148668,2023,Strategy 2
498,Romania,NMC523,Direct,3.998550420447996,2023,Strategy 2
492,Romania,NMC622,Direct,1.6809038890632193,2023,Strategy 2
495,Romania,NMC811,Direct,0.6176955017386859,2023,Strategy 2
270,Russian Federation,LFP,Direct,0.24724030033696848,2023,Strategy 2
285,Russian Federation,NCA,Direct,967.8367845372354,2023,Strategy 2
273,Russian Federation,NMC111,Direct,615.176495494838,2023,Strategy 2
282,Russian Federation,NMC523,Direct,313.6565899898164,2023,Strategy 2
276,Russian Federation,NMC622,Direct,98.8867680554965,2023,Strategy 2
279,Russian Federation,NMC811,Direct,17.74494422823665,2023,Strategy 2
288,Serbia,LFP,Direct,0.007413689333023927,2023,Strategy 2
303,Serbia,NCA,Direct,26.566859935496048,2023,Strategy 2
291,Serbia,NMC111,Direct,16.765545349481396,2023,Strategy 2
300,Serbia,NMC523,Direct,7.7051284813585745,2023,Strategy 2
294,Serbia,NMC622,Direct,2.656190337144038,2023,Strategy 2
297,Serbia,NMC811,Direct,0.5055875309878543,2023,Strategy 2
180,Slovakia,LFP,Direct,0.4928715649001103,2023,Strategy 2
195,Slovakia,NCA,Direct,13.548869890896187,2023,Strategy 2
183,Slovakia,NMC111,Direct,9.998370575050227,2023,Strategy 2
192,Slovakia,NMC523,Direct,9.159649184727083,2023,Strategy 2
186,Slovakia,NMC622,Direct,3.8351376232863075,2023,Strategy 2
189,Slovakia,NMC811,Direct,1.4023424002149287,2023,Strategy 2
198,Spain,LFP,Direct,15.083492237198392,2023,Strategy 2
213,Spain,NCA,Direct,1038.0291713436736,2023,Strategy 2
201,Spain,NMC111,Direct,741.340420913219,2023,Strategy 2
211,Spain,NMC523,Hydro,604.8268894266007,2023,Strategy 2
204,Spain,NMC622,Direct,239.68850843874802,2023,Strategy 2
207,Spain,NMC811,Direct,76.20261668746745,2023,Strategy 2
216,Sweden,LFP,Direct,7.760562923606021,2023,Strategy 2
231,Sweden,NCA,Direct,1127.1993396197854,2023,Strategy 2
220,Sweden,NMC111,Hydro,904.5428374098277,2023,Strategy 2
229,Sweden,NMC523,Hydro,734.1833800204485,2023,Strategy 2
222,Sweden,NMC622,Direct,290.1082675524963,2023,Strategy 2
225,Sweden,NMC811,Direct,93.33611014241305,2023,Strategy 2
468,Switzerland,LFP,Direct,0.6092355996996099,2023,Strategy 2
483,Switzerland,NCA,Direct,427.6442908322617,2023,Strategy 2
471,Switzerland,NMC111,Direct,211.85973449341603,2023,Strategy 2
480,Switzerland,NMC523,Direct,144.6889801148194,2023,Strategy 2
474,Switzerland,NMC622,Direct,55.45067657893915,2023,Strategy 2
477,Switzerland,NMC811,Direct,23.12911873031292,2023,Strategy 2
54,Thailand,LFP,Direct,2.0526184351984047,2023,Strategy 2
69,Thailand,NCA,Direct,4171.514966767775,2023,Strategy 2
58,Thailand,NMC111,Hydro,2513.9218036565935,2023,Strategy 2
67,Thailand,NMC523,Hydro,1557.996114043831,2023,Strategy 2
60,Thailand,NMC622,Direct,528.6296549286125,2023,Strategy 2
63,Thailand,NMC811,Direct,131.56000166993647,2023,Strategy 2
306,Turkey,LFP,Direct,0.34976318270456824,2023,Strategy 2
321,Turkey,NCA,Direct,871.7200772957652,2023,Strategy 2
309,Turkey,NMC111,Direct,520.1434446678104,2023,Strategy 2
318,Turkey,NMC523,Direct,282.68988972657735,2023,Strategy 2
312,Turkey,NMC622,Direct,96.34370161870154,2023,Strategy 2
315,Turkey,NMC811,Direct,25.561555986754293,2023,Strategy 2
324,USA,LFP,Direct,72.67105443111456,2023,Strategy 2
339,USA,NCA,Direct,21752.362470683718,2023,Strategy 2
328,USA,NMC111,Hydro,4402.3260298815,2023,Strategy 2
337,USA,NMC523,Hydro,2817.436444018835,2023,Strategy 2
330,USA,NMC622,Direct,948.4664024691829,2023,Strategy 2
333,USA,NMC811,Direct,278.55530164344793,2023,Strategy 2
234,United Kingdom,LFP,Direct,4.201071419150403,2023,Strategy 2
249,United Kingdom,NCA,Direct,2380.020437700341,2023,Strategy 2
238,United Kingdom,NMC111,Hydro,1227.4916995687183,2023,Strategy 2
247,United Kingdom,NMC523,Hydro,819.0385068110843,2023,Strategy 2
240,United Kingdom,NMC622,Direct,308.40833551480756,2023,Strategy 2
243,United Kingdom,NMC811,Direct,126.716611221046,2023,Strategy 2
72,Viet Nam,LFP,Direct,0.3043063680273929,2023,Strategy 2
87,Viet Nam,NCA,Direct,1415.4351049863808,2023,Strategy 2
76,Viet Nam,NMC111,Hydro,867.613338323516,2023,Strategy 2
85,Viet Nam,NMC523,Hydro,510.639165255263,2023,Strategy 2
78,Viet Nam,NMC622,Direct,169.58133644348143,2023,Strategy 2
81,Viet Nam,NMC811,Direct,36.4267486233314,2023,Strategy 2
378,Australia,LFP,Direct,0.3074850591695931,2023,Strategy 3
393,Australia,NCA,Direct,139.2256597115855,2023,Strategy 3
381,Australia,NMC111,Direct,64.68960957252327,2023,Strategy 3
390,Australia,NMC523,Direct,46.72953051060813,2023,Strategy 3
384,Australia,NMC622,Direct,18.41597867148812,2023,Strategy 3
387,Australia,NMC811,Direct,6.852600902370068,2023,Strategy 3
432,Belgium,LFP,Direct,12.86400646517126,2023,Strategy 3
447,Belgium,NCA,Direct,2228.951854313867,2023,Strategy 3
436,Belgium,NMC111,Hydro,1512.8914911599009,2023,Strategy 3
445,Belgium,NMC523,Hydro,1033.7053916299665,2023,Strategy 3
438,Belgium,NMC622,Direct,380.90482938732794,2023,Strategy 3
441,Belgium,NMC811,Direct,108.22072247589557,2023,Strategy 3
360,Brazil,LFP,Direct,1.4229203475426893,2023,Strategy 3
375,Brazil,NCA,Direct,50.4550385578365,2023,Strategy 3
363,Brazil,NMC111,Direct,15.905190283314633,2023,Strategy 3
372,Brazil,NMC523,Direct,16.600186517818152,2023,Strategy 3
366,Brazil,NMC622,Direct,7.675899848056379,2023,Strategy 3
369,Brazil,NMC811,Direct,4.777010401029409,2023,Strategy 3
342,Canada,LFP,Direct,1.479902374069103,2023,Strategy 3
357,Canada,NCA,Direct,948.7503487236388,2023,Strategy 3
345,Canada,NMC111,Direct,475.87351833346827,2023,Strategy 3
354,Canada,NMC523,Direct,343.0089614010258,2023,Strategy 3
348,Canada,NMC622,Direct,129.9374654866231,2023,Strategy 3
351,Canada,NMC811,Direct,43.02047123609268,2023,Strategy 3
396,Czechia,LFP,Direct,0.44587484266791455,2023,Strategy 3
411,Czechia,NCA,Direct,13.540259415845606,2023,Strategy 3
399,Czechia,NMC111,Direct,9.943073340664807,2023,Strategy 3
408,Czechia,NMC523,Direct,9.176726471973627,2023,Strategy 3
402,Czechia,NMC622,Direct,3.854963436444261,2023,Strategy 3
405,Czechia,NMC811,Direct,1.4120081301101546,2023,Strategy 3
450,Finland,LFP,Direct,1.5834094231089357,2023,Strategy 3
465,Finland,NCA,Direct,189.78695976659733,2023,Strategy 3
453,Finland,NMC111,Direct,147.23449602972622,2023,Strategy 3
462,Finland,NMC523,Direct,132.33708930131948,2023,Strategy 3
456,Finland,NMC622,Direct,53.60629645581775,2023,Strategy 3
459,Finland,NMC811,Direct,18.040136560743242,2023,Strategy 3
90,France,LFP,Direct,30.82865907948463,2023,Strategy 3
105,France,NCA,Direct,2396.6135226315027,2023,Strategy 3
94,France,NMC111,Hydro,1934.5415240208572,2023,Strategy 3
103,France,NMC523,Hydro,1461.4590501316059,2023,Strategy 3
96,France,NMC622,Direct,572.422007215759,2023,Strategy 3
99,France,NMC811,Direct,191.58947696609516,2023,Strategy 3
108,Germany,LFP,Direct,73.31202966394625,2023,Strategy 3
123,Germany,NCA,Direct,7211.423187736689,2023,Strategy 3
112,Germany,NMC111,Hydro,4970.940427383997,2023,Strategy 3
121,Germany,NMC523,Hydro,3766.128224571796,2023,Strategy 3
114,Germany,NMC622,Direct,1482.2550478394137,2023,Strategy 3
117,Germany,NMC811,Direct,527.9810362496346,2023,Strategy 3
126,Hungary,LFP,Direct,0.1360482157713156,2023,Strategy 3
141,Hungary,NCA,Direct,3.6756574167508846,2023,Strategy 3
129,Hungary,NMC111,Direct,2.7118136486623126,2023,Strategy 3
138,Hungary,NMC523,Direct,2.484769990468736,2023,Strategy 3
132,Hungary,NMC622,Direct,1.0405530667633878,2023,Strategy 3
135,Hungary,NMC811,Direct,0.38078683931865287,2023,Strategy 3
0,India,LFP,Direct,0.2774006172682399,2023,Strategy 3
15,India,NCA,Direct,80.76258156931486,2023,Strategy 3
3,India,NMC111,Direct,39.85269195425063,2023,Strategy 3
12,India,NMC523,Direct,30.0651296506344,2023,Strategy 3
6,India,NMC622,Direct,11.19896132404273,2023,Strategy 3
9,India,NMC811,Direct,4.969954086116613,2023,Strategy 3
144,Italy,LFP,Direct,28.81573232112863,2023,Strategy 3
159,Italy,NCA,Direct,571.0030973657052,2023,Strategy 3
147,Italy,NMC111,Direct,404.0327715229658,2023,Strategy 3
156,Italy,NMC523,Direct,374.3371386354456,2023,Strategy 3
150,Italy,NMC622,Direct,163.2829751500727,2023,Strategy 3
153,Italy,NMC811,Direct,70.30297309065507,2023,Strategy 3
18,Japan,LFP,Direct,0.39267696085916365,2023,Strategy 3
33,Japan,NCA,Direct,1237.8173389294136,2023,Strategy 3
21,Japan,NMC111,Direct,838.4227588363309,2023,Strategy 3
31,Japan,NMC523,Hydro,480.91852038359184,2023,Strategy 3
24,Japan,NMC622,Direct,145.78917286278863,2023,Strategy 3
27,Japan,NMC811,Direct,27.017023810428597,2023,Strategy 3
36,Korea,LFP,Direct,4.342182466608213,2023,Strategy 3
51,Korea,NCA,Direct,4707.126719304735,2023,Strategy 3
40,Korea,NMC111,Hydro,2709.201327178395,2023,Strategy 3
49,Korea,NMC523,Hydro,1781.4498145512598,2023,Strategy 3
42,Korea,NMC622,Direct,622.5232867866337,2023,Strategy 3
45,Korea,NMC811,Direct,168.03609144313896,2023,Strategy 3
414,Netherlands,LFP,Direct,9.383732719553086,2023,Strategy 3
429,Netherlands,NCA,Direct,1547.6056990039028,2023,Strategy 3
418,Netherlands,NMC111,Hydro,1296.649774993484,2023,Strategy 3
427,Netherlands,NMC523,Hydro,801.3651007706793,2023,Strategy 3
420,Netherlands,NMC622,Direct,320.0912188813738,2023,Strategy 3
423,Netherlands,NMC811,Direct,93.2991513594621,2023,Strategy 3
252,Norway,LFP,Direct,0.1428908903500856,2023,Strategy 3
267,Norway,NCA,Direct,2160.663870072808,2023,Strategy 3
256,Norway,NMC111,Hydro,1286.2061790245186,2023,Strategy 3
265,Norway,NMC523,Hydro,767.3790115375862,2023,Strategy 3
258,Norway,NMC622,Direct,262.83088980241456,2023,Strategy 3
261,Norway,NMC811,Direct,74.5026014850135,2023,Strategy 3
162,Poland,LFP,Direct,4.824105237398018,2023,Strategy 3
177,Poland,NCA,Direct,83.36455446513465,2023,Strategy 3
165,Poland,NMC111,Direct,59.38606312645838,2023,Strategy 3
174,Poland,NMC523,Direct,55.34542703540138,2023,Strategy 3
168,Poland,NMC622,Direct,23.718762179365708,2023,Strategy 3
171,Poland,NMC811,Direct,9.810822594312693,2023,Strategy 3
486,Romania,LFP,Direct,0.21001907051125548,2023,Strategy 3
501,Romania,NCA,Direct,5.901307530680433,2023,Strategy 3
489,Romania,NMC111,Direct,4.329400859148668,2023,Strategy 3
498,Romania,NMC523,Direct,3.998550420447996,2023,Strategy 3
492,Romania,NMC622,Direct,1.6809038890632193,2023,Strategy 3
495,Romania,NMC811,Direct,0.6176955017386859,2023,Strategy 3
270,Russian Federation,LFP,Direct,0.20513004660703463,2023,Strategy 3
285,Russian Federation,NCA,Direct,599.1340571622897,2023,Strategy 3
273,Russian Federation,NMC111,Direct,375.6087518856816,2023,Strategy 3
282,Russian Federation,NMC523,Direct,208.66502797671168,2023,Strategy 3
276,Russian Federation,NMC622,Direct,68.5264323459787,2023,Strategy 3
279,Russian Federation,NMC811,Direct,14.409423188691186,2023,Strategy 3
288,Serbia,LFP,Direct,0.007413689333023927,2023,Strategy 3
303,Serbia,NCA,Direct,26.566859935496048,2023,Strategy 3
291,Serbia,NMC111,Direct,16.765545349481396,2023,Strategy 3
300,Serbia,NMC523,Direct,7.7051284813585745,2023,Strategy 3
294,Serbia,NMC622,Direct,2.656190337144038,2023,Strategy 3
297,Serbia,NMC811,Direct,0.5055875309878543,2023,Strategy 3
180,Slovakia,LFP,Direct,0.4928715649001103,2023,Strategy 3
195,Slovakia,NCA,Direct,13.548869890896187,2023,Strategy 3
183,Slovakia,NMC111,Direct,9.998370575050227,2023,Strategy 3
192,Slovakia,NMC523,Direct,9.159649184727083,2023,Strategy 3
186,Slovakia,NMC622,Direct,3.8351376232863075,2023,Strategy 3
189,Slovakia,NMC811,Direct,1.4023424002149287,2023,Strategy 3
198,Spain,LFP,Direct,10.826955053572878,2023,Strategy 3
213,Spain,NCA,Direct,493.27793144006574,2023,Strategy 3
201,Spain,NMC111,Direct,383.19773385974963,2023,Strategy 3
210,Spain,NMC523,Direct,331.8741375457232,2023,Strategy 3
204,Spain,NMC622,Direct,134.1568494241995,2023,Strategy 3
207,Spain,NMC811,Direct,45.83749172359635,2023,Strategy 3
216,Sweden,LFP,Direct,7.760562923606021,2023,Strategy 3
