Variable,Coefficient,Sensitivity,Strategy type
Australia,531299251.4232764,0.11531243708664031,Strategy 3
Belgium,169693833.73705915,0.03683010934868816,Strategy 3
Brazil,113571000.62183185,0.024649289132233895,Strategy 3
Canada,323099473.48428583,0.07012505214166213,Strategy 3
Czechia,66998548.17186622,0.01454127000982651,Strategy 3
Finland,101021764.18077604,0.021925620627680036,Strategy 3
France,26129911.300205383,0.005671198942616126,Strategy 3
Germany,142592058.61034116,0.030947978457549045,Strategy 3
Hungary,14482106.152503885,0.0031431758093372853,Strategy 3
India,76106656.08048627,0.016518080851132103,Strategy 3
Italy,-162593838.26346612,0.03528913638633051,Strategy 3
Japan,560048221.4233732,0.12155207282028975,Strategy 3
Korea,-145452341.44705546,0.03156877019360938,Strategy 3
Netherlands,-24976437.31310161,0.005420850582040302,Strategy 3
Norway,-213128095.79883948,0.04625702007364513,Strategy 3
Poland,-173561478.94086954,0.037669537586245604,Strategy 3
Romania,-106071575.61399764,0.02302162454944888,Strategy 3
Russia,-100017670.94441938,0.02170769365368877,Strategy 3
Serbia,-184983171.45095348,0.04014848555288358,Strategy 3
Slovakia,-141418270.3997436,0.030693221126675753,Strategy 3
Spain,-42978262.96121949,0.00932794132597113,Strategy 3
Sweden,162134675.73081222,0.035189480400523346,Strategy 3
Switzerland,283223883.8504311,0.061470510640561284,Strategy 3
Thailand,-127980747.74357705,0.027776760240012393,Strategy 3
Turkey,254444653.03385022,0.05522430714215844,Strategy 3
UK,12544197.437526025,0.002722574846364149,Strategy 3
USA,27875650.236258015,0.006050091648928056,Strategy 3
Viet Nam,319047920.5155351,0.06924570882325784,Strategy 3
Australia,127634780.03368343,0.03411257208309014,Strategy 2
Belgium,131624922.65512359,0.03517900576017852,Strategy 2
Brazil,-59923915.953704394,0.016015688685578594,Strategy 2
Canada,-141921211.5837487,0.03793086460440072,Strategy 2
Czechia,107384770.77055533,0.02870041169475868,Strategy 2
Finland,124343210.96576297,0.03323284410403714,Strategy 2
France,-133483376.77565679,0.0356757093243095,Strategy 2
Germany,-52512900.194433235,0.014034968311160766,Strategy 2
Hungary,-73947712.20900616,0.01976378744448508,Strategy 2
India,-246553321.32917267,0.06589558068691856,Strategy 2
Italy,-163918384.3704436,0.04380998424649428,Strategy 2
Japan,128301544.11642425,0.0342907761574726,Strategy 2
Korea,-10547306.877254866,0.00281894767271019,Strategy 2
Netherlands,-389534633.8837932,0.10410977535836428,Strategy 2
Norway,-78468254.84996983,0.020971979574043023,Strategy 2
Poland,100276140.25562993,0.026800508934802094,Strategy 2
Romania,-36447841.06375305,0.00974130723014658,Strategy 2
Russia,178063671.3793199,0.04759055348161145,Strategy 2
Serbia,-26356976.80760576,0.007044351633657444,Strategy 2
Slovakia,61137884.21967318,0.016340142411816187,Strategy 2
Spain,-271121291.096168,0.07246178967314186,Strategy 2
Sweden,-250078045.08081284,0.06683762323221126,Strategy 2
Switzerland,-69748056.04106578,0.018641357698335533,Strategy 2
Thailand,-352025666.2942898,0.09408486396413811,Strategy 2
Turkey,68365956.2199521,0.018271967946096184,Strategy 2
UK,-233288218.63187224,0.062350255722736884,Strategy 2
USA,-66540151.79412324,0.017783990569794243,Strategy 2
Viet Nam,-58025826.0919016,0.015508391793510124,Strategy 2
Australia,171652490.71983105,0.021693700988150582,Strategy 1
Belgium,-309243889.90277404,0.03908270979250223,Strategy 1
Brazil,210941859.99404448,0.02665915080757081,Strategy 1
Canada,-186819638.74534315,0.023610548059397097,Strategy 1
Czechia,-86876586.61141469,0.01097959420755122,Strategy 1
Finland,-542862279.1076933,0.06860775460537888,Strategy 1
France,49831755.70976076,0.006297812537113528,Strategy 1
Germany,453243431.80197,0.05728158935021619,Strategy 1
Hungary,133250591.95762318,0.016840411032199354,Strategy 1
India,-218167387.8504832,0.027572323929276204,Strategy 1
Italy,226190346.7229607,0.028586277586982428,Strategy 1
Japan,-290694961.72330886,0.03673846823860144,Strategy 1
Korea,8341335.196221011,0.0010541905382783314,Strategy 1
Netherlands,-68863081.704461,0.008703020255368597,Strategy 1
Norway,-272425360.2616497,0.03442952841710589,Strategy 1
Poland,59604352.35011231,0.007532888058036911,Strategy 1
Romania,-83964149.1575952,0.01061151596409028,Strategy 1
Russia,-525636794.13138914,0.066430771802014,Strategy 1
Serbia,-3134226.343515843,0.00039610825826229615,Strategy 1
Slovakia,-4889870.741694722,0.0006179892484879396,Strategy 1
Spain,-224444860.89752832,0.028365680452520862,Strategy 1
Sweden,82616045.00747274,0.010441140525837098,Strategy 1
Switzerland,76754219.51274428,0.00970031416792008,Strategy 1
Thailand,-506262439.0121397,0.063982211544993,Strategy 1
Turkey,-388538085.65879446,0.04910402999364425,Strategy 1
UK,630189593.7419347,0.07964431250109551,Strategy 1
USA,-192640380.35253695,0.024346182173567054,Strategy 1
Viet Nam,-1904469845.2285883,0.24068977496383792,Strategy 1
