source_iso3,destination_iso3,route_access_open_li_t,policy_accessible_li_t,route_access_delta_li_t,route_access_loss_li_t,year,policy_scenario
IND,CHN,647492.4188860843,0.0,-647492.4188860843,647492.4188860843,2050,strict_policy
PAK,CHN,95018.99952239209,0.0,-95018.99952239209,95018.99952239209,2050,strict_policy
NGA,CHN,94999.04543675702,0.0,-94999.04543675702,94999.04543675702,2050,strict_policy
PHL,CHN,39242.10581791444,0.0,-39242.10581791444,39242.10581791444,2050,strict_policy
EGY,CHN,25496.682760074127,0.0,-25496.682760074127,25496.682760074127,2050,strict_policy
UGA,CHN,21538.84498046028,0.0,-21538.84498046028,21538.84498046028,2050,strict_policy
KEN,CHN,21355.136148626658,0.0,-21355.136148626658,21355.136148626658,2050,strict_policy
BRA,CHN,14559.437644820113,0.0,-14559.437644820113,14559.437644820113,2050,strict_policy
MMR,CHN,11907.230887605208,0.0,-11907.230887605208,11907.230887605208,2050,strict_policy
MEX,CHN,11602.502127123887,0.0,-11602.502127123887,11602.502127123887,2050,strict_policy
TZA,CHN,6350.711956072315,0.0,-6350.711956072315,6350.711956072315,2050,strict_policy
SEN,CHN,6334.7338829780765,0.0,-6334.7338829780765,6334.7338829780765,2050,strict_policy
UZB,CHN,6264.967800264369,0.0,-6264.967800264369,6264.967800264369,2050,strict_policy
BEN,CHN,6133.070760599016,0.0,-6133.070760599016,6133.070760599016,2050,strict_policy
