country,Potential by source,Captured by source,Open-access by destination,strict_policy by destination,year
India,0.7059783900073552,0.5993735893323848,3.704857821057555,4.05319295017041,2030
China,57.57286775265644,48.574173923639684,33.3195683157446,30.732050206555346,2030
United States,10.971484227633917,9.840614669657931,6.375031433711351,6.681001051362366,2030
Republic of Korea,1.5381609250180506,1.383193015433446,6.768373270699577,11.068677514009629,2030
European Union,22.945317609516874,20.340405759440035,10.763403992977373,7.755631754657471,2030
Other,19.181641377115987,15.319086350584328,5.559940234285807,6.200621591721041,2030
India,92.20987495800958,88.617163193616,76.82420603473557,75.43048010740048,2040
China,382.5467116089643,368.0623410838315,418.4535249063227,323.74995218006893,2040
United States,105.30906612601993,105.17182374509369,85.89681685445076,85.02875419973746,2040
Republic of Korea,2.760467682997122,2.755425584914652,16.113429335481534,114.3288072734223,2040
European Union,43.31328720315226,41.859172926030624,19.575421326880196,19.324304147468766,2040
Other,168.70891321758546,140.67415575514,42.51184147562358,41.5129420253964,2040
India,707.1029714201081,698.6722465145642,299.78080752249735,299.78080752249735,2050
China,379.04381733488174,374.56865125631407,1087.6276889602743,330.42013203993065,2050
United States,164.5824825524796,164.44683698190144,146.42280931347085,146.42280931347082,2050
Republic of Korea,2.9766096475396027,2.9713850999022826,19.088893922250598,604.4870666618132,2050
European Union,43.56466785977256,42.885765177571535,21.52745193742413,38.99725084762008,2050
Other,595.7802231824335,525.2518622464365,70.47724110227546,224.81682637286045,2050
