year,manufacturing_production_scrap_gwh,eol_and_other_recycling_availability_gwh,total_recycling_availability_gwh,data_status
2015,0.7905897904757748,3.284857021390586e-06,0.7905930753327962,BNEF_observed
2016,3.5466681442947157,0.00021655931129194173,3.5468847036060076,BNEF_observed
2017,5.28600383812606,0.005799038418915714,5.291802876544976,BNEF_observed
2018,7.139708285351301,0.0663917153932072,7.206100000744509,BNEF_observed
2019,12.270908752671879,0.40419655832388024,12.67510531099576,BNEF_observed
2020,13.88330972834528,1.5622736001242092,15.445583328469489,BNEF_observed
2021,17.32190344679102,4.208942663109763,21.530846109900782,BNEF_observed
2022,34.36869405902976,8.626825566763706,42.99551962579346,BNEF_observed
2023,56.331170699545396,14.410549452133296,70.74172015167869,BNEF_observed
2024,77.89215702219822,20.557945597034717,98.45010261923294,BNEF_observed
2025,100.69780417891741,26.767948573636346,127.46575275255375,BNEF_observed
2026,132.6358994182768,35.21053723044892,167.84643664872573,BNEF_observed
2027,145.40999914351693,49.05895069871306,194.46894984223,BNEF_observed
2028,172.270294792141,68.04772139204641,240.3180161841874,BNEF_observed
2029,197.42388363943226,92.43400383094857,289.85788747038083,BNEF_observed
2030,201.23366594900273,127.5150380886721,328.7487040376748,BNEF_observed
2031,223.66305523807222,176.7982135107922,400.4612687488644,BNEF_observed
2032,228.8559110529844,233.16633163458553,462.0222426875699,BNEF_observed
2033,220.22749158777012,294.30424254064894,514.5317341284191,BNEF_observed
2034,234.21824086357933,382.1931135079619,616.4113543715413,BNEF_observed
2035,251.24557481599751,515.9103629339369,767.1559377499344,BNEF_observed
2036,261.2479565893965,593.5894279029899,854.8373844923864,linear_forecast_from_2030_2035_trend
2037,271.25033836279545,671.2684928720428,942.5188312348382,linear_forecast_from_2030_2035_trend
2038,281.2527201361944,748.9475578410958,1030.2002779772902,linear_forecast_from_2030_2035_trend
2039,291.25510190959335,826.6266228101488,1117.8817247197421,linear_forecast_from_2030_2035_trend
2040,301.2574836829923,904.3056877792017,1205.563171462194,linear_forecast_from_2030_2035_trend
2041,311.25986545639125,981.9847527482547,1293.244618204646,linear_forecast_from_2030_2035_trend
2042,321.2622472297902,1059.6638177173077,1380.926064947098,linear_forecast_from_2030_2035_trend
2043,331.26462900318916,1137.3428826863606,1468.60751168955,linear_forecast_from_2030_2035_trend
2044,341.2670107765881,1215.0219476554134,1556.288958432002,linear_forecast_from_2030_2035_trend
2045,351.26939254998706,1292.7010126244663,1643.9704051744538,linear_forecast_from_2030_2035_trend
2046,361.271774323386,1370.3800775935194,1731.6518519169056,linear_forecast_from_2030_2035_trend
2047,371.27415609678496,1448.0591425625726,1819.3332986593573,linear_forecast_from_2030_2035_trend
2048,381.2765378701839,1525.7382075316254,1907.0147454018093,linear_forecast_from_2030_2035_trend
2049,391.2789196435829,1603.4172725006783,1994.6961921442612,linear_forecast_from_2030_2035_trend
2050,401.2813014169819,1681.0963374697312,2082.377638886713,linear_forecast_from_2030_2035_trend
