Year,country,scenario,eol_available_lithium_t,eol_captured_lithium_t,eol_capture_loss_lithium_t,manufacturing_available_lithium_t,manufacturing_captured_lithium_t,manufacturing_capture_loss_lithium_t,total_available_lithium_t,total_captured_lithium_t,total_capture_loss_lithium_t,capture_loss_rate
2010,China,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,Germany,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,Japan,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,Korea,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,USA,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,China,baseline,0.005655016267205265,0.002837687162883602,0.0028173291043216628,0.0,0.0,0.0,0.005655016267205265,0.002837687162883602,0.0028173291043216628,0.4981999999999999
2011,Germany,baseline,0.000199346947713195,0.0001199271237442581,7.941982396893688e-05,0.0,0.0,0.0,0.000199346947713195,0.0001199271237442581,7.941982396893688e-05,0.3984
2011,Japan,baseline,0.0010947919216654461,0.0006586268200739324,0.0004361651015915137,0.0,0.0,0.0,0.0010947919216654461,0.0006586268200739324,0.0004361651015915137,0.3984
2011,Korea,baseline,3.2396262543547496e-05,1.9489591546198174e-05,1.2906670997349322e-05,0.0,0.0,0.0,3.2396262543547496e-05,1.9489591546198174e-05,1.2906670997349322e-05,0.3984
2011,USA,baseline,0.002670669604523775,0.001606674834081503,0.0010639947704422718,0.0,0.0,0.0,0.002670669604523775,0.001606674834081503,0.0010639947704422718,0.3984
2012,China,baseline,0.0572771419658817,0.028764580695265787,0.02851256127061591,0.0,0.0,0.0,0.0572771419658817,0.028764580695265787,0.02851256127061591,0.4978
2012,Germany,baseline,0.0026626282138619978,0.0016029021847449225,0.0010597260291170753,0.0,0.0,0.0,0.0026626282138619978,0.0016029021847449225,0.0010597260291170753,0.3980000000000001
2012,Japan,baseline,0.01228521762027985,0.007395701007408469,0.00488951661287138,0.0,0.0,0.0,0.01228521762027985,0.007395701007408469,0.00488951661287138,0.398
2012,Korea,baseline,0.0003372613915803937,0.000203031357731397,0.00013423003384899673,0.0,0.0,0.0,0.0003372613915803937,0.000203031357731397,0.00013423003384899673,0.39800000000000013
2012,USA,baseline,0.03409541559049571,0.020525440185478416,0.013569975405017292,0.0,0.0,0.0,0.03409541559049571,0.020525440185478416,0.013569975405017292,0.39799999999999996
2013,China,baseline,0.265782269747481,0.13360874700205871,0.13217352274542227,0.0,0.0,0.0,0.265782269747481,0.13360874700205871,0.13217352274542227,0.4972999999999999
2013,Germany,baseline,0.017038172036103937,0.010267202468956233,0.006770969567147703,0.0,0.0,0.0,0.017038172036103937,0.010267202468956233,0.006770969567147703,0.3973999999999999
2013,Japan,baseline,0.07445466873340119,0.04486638337874756,0.02958828535465363,0.0,0.0,0.0,0.07445466873340119,0.04486638337874756,0.02958828535465363,0.3973999999999999
2013,Korea,baseline,0.0018225084150294188,0.0010982435708967277,0.000724264844132691,0.0,0.0,0.0,0.0018225084150294188,0.0010982435708967277,0.000724264844132691,0.3974
2013,USA,baseline,0.2307436643301776,0.13904613212536504,0.09169753220481255,0.0,0.0,0.0,0.2307436643301776,0.13904613212536504,0.09169753220481255,0.3973999999999999
2014,China,baseline,0.8759682615128923,0.44096242284558995,0.43500583866730236,0.0,0.0,0.0,0.8759682615128923,0.44096242284558995,0.43500583866730236,0.49660000000000004
2014,Germany,baseline,0.07843424977643676,0.0473193828901243,0.031114866886312466,0.0,0.0,0.0,0.07843424977643676,0.0473193828901243,0.031114866886312466,0.39670000000000005
2014,Japan,baseline,0.323113089274218,0.19493412675913568,0.1281789625150823,0.0,0.0,0.0,0.323113089274218,0.19493412675913568,0.1281789625150823,0.39670000000000005
2014,Korea,baseline,0.007307794916555304,0.004408792673157814,0.002899002243397489,0.0,0.0,0.0,0.007307794916555304,0.004408792673157814,0.002899002243397489,0.3967
2014,USA,baseline,1.1223278295891637,0.6771003795911424,0.4452274499980212,0.0,0.0,0.0,1.1223278295891637,0.6771003795911424,0.4452274499980212,0.3967
2015,China,baseline,2.455721737369265,1.2381748999815831,1.2175468373876814,61.89629903621679,59.91561746705784,1.9806815691589401,64.35202077358605,61.15379236703942,3.1982284065466215,0.04969895844917068
2015,Germany,baseline,0.29920284906433037,0.1807783614046684,0.118424487659662,0.0,0.0,0.0,0.29920284906433037,0.1807783614046684,0.118424487659662,0.39580000000000015
2015,Japan,baseline,0.9950695591028793,0.6012210276099597,0.39384853149291965,6.291387301807437,6.127811231960443,0.16357606984699377,7.286456860910317,6.729032259570403,0.5574246013399135,0.07650146181888914
2015,Korea,baseline,0.02211166388175803,0.013359867317358203,0.00875179656439983,4.561255793810391,4.442663143171321,0.11859265063907007,4.583367457692149,4.456023010488678,0.1273444472034699,0.0277840361653201
2015,USA,baseline,4.022032707938703,2.4301121621365644,1.5919205458021386,5.400138987329575,5.130132037963096,0.2700069493664795,9.422171695268277,7.56024420009966,1.8619274951686182,0.19761128913662868
2016,China,baseline,6.615590268464595,3.342857762655159,3.272732505809435,246.31324814937275,238.43122420859282,7.882023940779937,252.92883841783734,241.774081971248,11.154756446589372,0.04410235114495629
2016,Germany,baseline,0.9580641884988852,0.5800120597172251,0.37805212878166,0.0,0.0,0.0,0.9580641884988852,0.5800120597172251,0.37805212878166,0.3945999999999999
2016,Japan,baseline,2.3966643988176926,1.4509406270442313,0.9457237717734612,26.130049899316354,25.450668601934126,0.6793812973822256,28.526714298134046,26.90160922897836,1.625105069155687,0.05696783205284831
2016,Korea,baseline,0.06000097761659031,0.03632459184908378,0.02367638576750653,19.597524897433967,19.087989250100687,0.5095356473332843,19.657525875050556,19.12431384194977,0.5332120331007908,0.02712508361886714
2016,USA,baseline,11.01752424503038,6.670009177941393,4.347515067088987,34.40567884950969,32.6853949070342,1.7202839424754846,45.42320309454007,39.355404084975596,6.067799009564472,0.13358368842759635
2017,China,baseline,17.182543618197723,8.702958342617146,8.479585275580577,372.10836846257325,361.3172257771585,10.79114268541465,389.29091208077097,370.02018411977565,19.270727960995227,0.049502126463709724
2017,Germany,baseline,2.5660205064576926,1.5573178453691738,1.008702661088519,0.0,0.0,0.0,2.5660205064576926,1.5573178453691738,1.008702661088519,0.3931
2017,Japan,baseline,4.790050216749346,2.9070814765451782,1.882968740204168,27.85112794029603,27.12699861384833,0.7241293264476962,32.641178157045374,30.03408009039351,2.607098066651864,0.0798714450228611
2017,Korea,baseline,0.1608514873142199,0.09762076765100003,0.06323071966321983,21.584202313778608,21.023013053620367,0.5611892601582434,21.745053801092826,21.12063382127137,0.6244199798214632,0.028715494821635355
2017,USA,baseline,24.741757505886714,15.015772630322648,9.725984875564068,64.31443665471356,61.09871482197788,3.215721832735681,89.05619416060027,76.11448745230052,12.94170670829975,0.14532068016471947
2018,China,baseline,42.2444612084139,21.464410739995103,20.780050468418796,518.3004761469551,503.26976233869345,15.030713808261716,560.544937355369,524.7341730786885,35.810764276680516,0.0638856260938408
2018,Germany,baseline,5.913294300963258,3.6000135704264316,2.3132807305368264,0.0,0.0,0.0,5.913294300963258,3.6000135704264316,2.3132807305368264,0.39119999999999994
2018,Japan,baseline,8.361488405874582,5.090474141496445,3.2710142643781364,28.25819231988109,27.523479319564178,0.7347130003169106,36.61968072575567,32.613953461060625,4.005727264695047,0.10938727988083478
2018,Korea,baseline,0.42219496412069896,0.2570322941566815,0.1651626699640174,21.892711062531028,21.323500574905218,0.5692104876258065,22.314906026651727,21.580532869061898,0.7343731575898239,0.03290953395513869
2018,USA,baseline,47.95319366713923,29.193904304554366,18.759289362584866,65.53315665729019,62.25649882442569,3.2766578328645113,113.48635032442942,91.45040312898006,22.035947195449378,0.19417266598541633
2019,China,baseline,98.57332660738994,50.28225390242961,48.291072704960335,877.2291883780392,851.7895419150761,25.439646462963097,975.8025149854292,902.0717958175057,73.73071916792344,0.0755590583500642
2019,Germany,baseline,12.203127852501474,7.458551743448901,4.7445761090525735,0.0,0.0,0.0,12.203127852501474,7.458551743448901,4.7445761090525735,0.38880000000000003
2019,Japan,baseline,13.148043077271836,8.036083928828546,5.111959148443291,38.10805832828168,37.11724881174636,0.990809516535322,51.256101405553515,45.1533327405749,6.102768664978613,0.11906423816145696
2019,Korea,baseline,1.1568684568109293,0.70707800080284,0.4497904560080894,40.84333581514458,39.78140908395081,1.0619267311937604,42.0002042719555,40.48848708475365,1.5117171872018498,0.03599309130530248
2019,USA,baseline,84.24967545897502,51.49340164052553,32.75627381844949,107.08789663326023,101.7335018015972,5.354394831663023,191.33757209223523,153.22690344212273,38.110668650112515,0.1991802667577546
2020,China,baseline,215.26510880692393,110.30184175266781,104.96326705425611,1006.7308531120156,979.549120077991,27.18173303402441,1221.9959619189394,1089.850961830659,132.1450000882805,0.10813865528718195
2020,Germany,baseline,23.448273838571463,14.401929791650591,9.046344046920872,0.0,0.0,0.0,23.448273838571463,14.401929791650591,9.046344046920872,0.3858000000000001
2020,Japan,baseline,19.163045988328527,11.769942846031382,7.3931031422971465,31.41945098031546,30.602545254827263,0.8169057254882024,50.58249696864399,42.37248810085865,8.21000886778535,0.1623092840370202
2020,Korea,baseline,3.182287666302226,1.9545610846428272,1.2277265816593987,38.03637745791008,37.04743164400441,0.9889458139056615,41.2186651242123,39.00199272864724,2.2166723955650602,0.05377836445904121
2020,USA,baseline,137.01936781197844,84.15729571011715,52.862072101861294,125.35643958585757,119.08861760656467,6.267821979292886,262.375807397836,203.24591331668182,59.12989408115418,0.22536336207056054
2021,China,baseline,429.02448367470015,221.11921888594043,207.9052647887597,1364.2340715056052,1327.3997515749536,36.83431993065132,1793.2585551803054,1548.518970460894,244.73958471941103,0.13647757821225248
2021,Germany,baseline,44.464241445729755,27.478901213460986,16.98534023226877,26.108186374310655,24.019531464365805,2.0886549099448506,70.57242782004042,51.49843267782679,19.07399514221362,0.2702754564552077
2021,Japan,baseline,26.49694691953102,16.37511319627017,10.121833723260849,25.021398769412954,24.370842401408215,0.6505563680047378,51.518345688943974,40.74595559767839,10.772390091265587,0.20909813673573338
2021,Korea,baseline,7.722941199294839,4.772777661164211,2.950163538130629,29.527763296125265,28.760041450426005,0.767721845699257,37.2507044954201,33.532819111590214,3.717885383829886,0.09980711597781976
2021,USA,baseline,211.38791910421153,130.63773400640272,80.75018509780881,130.38703338981696,123.8676817203261,6.5193516694908515,341.7749524940285,254.5054157267288,87.26953676729966,0.2553421078123752
