Year,scenario,recovery_efficiency_scenario,recycling_m,retired_lithium,collected_lithium,uncollected_lithium,recycled_lithium,primary_lithium_offset,primary_lithium_gap,technology_loss,collection_loss,recycled_share_of_collected,recycled_share_of_embedded,gap_share_of_collected,gap_share_of_embedded
2025,baseline,baseline,Direct,8859.997099826278,5149.963360461226,3710.033739365052,3216.6671149440817,3216.6671149440817,5643.329984882196,1933.2962455171446,3710.033739365052,0.6245999999999999,0.3630550979533788,1.0958000261145129,0.6369449020466211
2025,baseline,baseline,Hydro,8859.997099826278,5149.963360461226,3710.033739365052,4458.838277487329,4458.838277487329,4401.158822338949,691.1250829738974,3710.033739365052,0.8657999999999998,0.5032550493244242,0.854600026114513,0.4967449506755758
2025,baseline,baseline,Pyro,8859.997099826278,5149.963360461226,3710.033739365052,321.87271002882665,321.87271002882665,8538.124389797451,4828.090650432399,3710.033739365052,0.0625,0.03632876020186708,1.6579000261145127,0.9636712397981329
2030,baseline,baseline,Direct,91632.03333686558,60366.12544234583,31265.90789451975,39455.29958911723,39455.29958911723,52176.73374774835,20910.825853228598,31265.90789451975,0.6536,0.4305841325605889,0.8643379604937713,0.5694158674394111
2030,baseline,baseline,Hydro,91632.03333686558,60366.12544234583,31265.90789451975,53248.95925269325,53248.95925269325,38383.07408417234,7117.166189652584,31265.90789451975,0.8820999999999998,0.5811172939591424,0.6358379604937714,0.4188827060408577
2030,baseline,baseline,Pyro,91632.03333686558,60366.12544234583,31265.90789451975,4539.532633264406,4539.532633264406,87092.50070360118,55826.59280908143,31265.90789451975,0.0752,0.04954089162875809,1.4427379604937713,0.9504591083712419
2035,baseline,baseline,Direct,358389.7949348645,256689.80684283853,101699.98809202596,180478.60319119977,180478.60319119977,177911.19174366473,76211.20365163876,101699.98809202596,0.7031,0.5035818701924837,0.6930980000019753,0.4964181298075164
2035,baseline,baseline,Hydro,358389.7949348645,256689.80684283853,101699.98809202596,231457.1988301875,231457.1988301875,126932.59610467701,25232.608012651035,101699.98809202596,0.9017,0.6458253055789539,0.4944980000019753,0.3541746944210461
2035,baseline,baseline,Pyro,358389.7949348645,256689.80684283853,101699.98809202596,24770.56636033392,24770.56636033392,333619.22857453057,231919.2404825046,101699.98809202596,0.0965,0.06911627147429196,1.2996980000019753,0.930883728525708
2040,baseline,baseline,Direct,766490.0623872235,592934.208831693,173555.85355553046,453535.376335362,453535.376335362,312954.6860518615,139398.83249633107,173555.85355553046,0.7648999999999999,0.5917041832516808,0.5278067640396424,0.40829581674831916
2040,baseline,baseline,Hydro,766490.0623872235,592934.208831693,173555.85355553046,543483.4958151297,543483.4958151297,223006.56657209375,49450.71301656333,173555.85355553046,0.9165999999999997,0.7090548494816193,0.3761067640396426,0.2909451505183807
2040,baseline,baseline,Pyro,766490.0623872235,592934.208831693,173555.85355553046,74116.77610396163,74116.77610396163,692373.2862832618,518817.4327277314,173555.85355553046,0.125,0.09669633011695661,1.1677067640396424,0.9033036698830433
2045,baseline,baseline,Direct,1414282.8844574655,1135686.204896523,278596.6795609424,929104.8842258456,929104.8842258456,485178.0002316199,206581.32067067735,278596.6795609424,0.8181000000000002,0.6569441619045404,0.4272113178268521,0.34305583809545964
2045,baseline,baseline,Hydro,1414282.8844574655,1135686.204896523,278596.6795609424,1049941.8964268356,1049941.8964268356,364340.98803062993,85744.30846968736,278596.6795609424,0.9245000000000001,0.7423846445186989,0.3208113178268521,0.25761535548130116
2045,baseline,baseline,Pyro,1414282.8844574655,1135686.204896523,278596.6795609424,174327.83245161627,174327.83245161627,1239955.0520058493,961358.3724449066,278596.6795609424,0.1535,0.12326235038790725,1.0918113178268523,0.8767376496120928
2050,baseline,baseline,Direct,1856501.841004832,1518186.159769138,338315.68123569374,1291976.4219635364,1291976.4219635364,564525.4190412955,226209.73780560168,338315.68123569374,0.851,0.6959198172754054,0.37184202701936087,0.3040801827245946
2050,baseline,baseline,Hydro,1856501.841004832,1518186.159769138,338315.68123569374,1408724.9376497832,1408724.9376497832,447776.90335504874,109461.22211935488,338315.68123569374,0.9279,0.75880610863672,0.2949420270193608,0.24119389136327998
2050,baseline,baseline,Pyro,1856501.841004832,1518186.159769138,338315.68123569374,265378.94072764536,265378.94072764536,1591122.9002771867,1252807.2190414928,338315.68123569374,0.1748,0.1429456921971103,1.0480420270193609,0.8570543078028897
2025,high_collection,baseline,Direct,8859.997099826278,6282.786976202022,2577.210123624256,3924.228745335783,3924.228745335783,4935.768354490495,2358.558230866239,2577.210123624256,0.6246,0.44291535325815484,0.7856017358516575,0.5570846467418452
2025,high_collection,baseline,Hydro,8859.997099826278,6282.786976202022,2577.210123624256,5439.63696399571,5439.63696399571,3420.3601358305677,843.1500122063117,2577.210123624256,0.8657999999999999,0.6139547115768659,0.5444017358516576,0.3860452884231342
2025,high_collection,baseline,Pyro,8859.997099826278,6282.786976202022,2577.210123624256,392.6741860126264,392.6741860126264,8467.322913813652,5890.112790189395,2577.210123624256,0.06250000000000001,0.04431990006185507,1.3477017358516576,0.955680099938145
2030,high_collection,baseline,Direct,91632.03333686558,75378.62862563446,16253.404711231118,49267.47166971468,49267.47166971468,42364.561667150905,26111.15695591978,16253.404711231118,0.6536,0.5376664674524175,0.5620235130245357,0.46233353254758247
2030,high_collection,baseline,Hydro,91632.03333686558,75378.62862563446,16253.404711231118,66491.48831067215,66491.48831067215,25140.54502619343,8887.140314962307,16253.404711231118,0.8821,0.7256358490510673,0.33352351302453564,0.2743641509489328
2030,high_collection,baseline,Pyro,91632.03333686558,75378.62862563446,16253.404711231118,5668.472872647712,5668.472872647712,85963.56046421787,69710.15575298674,16253.404711231118,0.07520000000000002,0.06186125818913986,1.1404235130245355,0.9381387418108601
2035,high_collection,baseline,Direct,358389.7949348645,322205.8869121947,36183.9080226698,226542.9590879641,226542.9590879641,131846.83584690042,95662.92782423063,36183.9080226698,0.7031,0.6321133087205708,0.40920058013350447,0.36788669127942913
2035,high_collection,baseline,Hydro,358389.7949348645,322205.8869121947,36183.9080226698,290533.048228726,290533.048228726,67856.74670613848,31672.838683468697,36183.9080226698,0.9017000000000002,0.8106621682169519,0.21060058013350427,0.1893378317830481
2035,high_collection,baseline,Pyro,358389.7949348645,322205.8869121947,36183.9080226698,31092.86808702679,31092.86808702679,327296.9268478377,291113.0188251679,36183.9080226698,0.09649999999999999,0.08675712457905715,1.0158005801335044,0.9132428754209427
2040,high_collection,baseline,Direct,766490.0623872235,719377.7605188858,47112.30186833763,550252.0490208957,550252.0490208957,216238.01336632774,169125.71149799007,47112.30186833763,0.7649,0.7178854312959294,0.3005903507641878,0.28211456870407065
2040,high_collection,baseline,Hydro,766490.0623872235,719377.7605188858,47112.30186833763,659381.6552916107,659381.6552916107,107108.40709561273,59996.10522727505,47112.30186833763,0.9166000000000001,0.8602611927387226,0.1488903507641877,0.1397388072612774
2040,high_collection,baseline,Pyro,766490.0623872235,719377.7605188858,47112.30186833763,89922.22006486072,89922.22006486072,676567.8423223627,629455.540454025,47112.30186833763,0.125,0.11731687660085131,0.9404903507641876,0.8826831233991487
2045,high_collection,baseline,Direct,1414282.8844574655,1345147.5713615508,69135.31309591467,1100465.2281308847,1100465.2281308847,313817.6563265808,244682.34323066613,69135.31309591467,0.8180999999999999,0.7781082838692737,0.2332960806738374,0.22189171613072636
2045,high_collection,baseline,Hydro,1414282.8844574655,1345147.5713615508,69135.31309591467,1243588.9297237536,1243588.9297237536,170693.9547337119,101558.64163779723,69135.31309591467,0.9244999999999999,0.8793070632406105,0.12689608067383748,0.12069293675938954
2045,high_collection,baseline,Pyro,1414282.8844574655,1345147.5713615508,69135.31309591467,206480.15220399803,206480.15220399803,1207802.7322534674,1138667.4191575528,69135.31309591467,0.1535,0.145996359337408,0.8978960806738373,0.8540036406625919
2050,high_collection,baseline,Direct,1856501.841004832,1772802.5202866702,83699.3207181615,1508654.9447639564,1508654.9447639564,347846.8962408756,264147.5755227138,83699.3207181615,0.851,0.8126331530850498,0.19621299736454975,0.1873668469149502
2050,high_collection,baseline,Hydro,1856501.841004832,1772802.5202866702,83699.3207181615,1644983.4585740014,1644983.4585740014,211518.3824308305,127819.06171266874,83699.3207181615,0.9279000000000001,0.8860661606905027,0.11931299736454967,0.11393383930949734
2050,high_collection,baseline,Pyro,1856501.841004832,1772802.5202866702,83699.3207181615,309885.88054611,309885.88054611,1546615.960458722,1462916.6397405602,83699.3207181615,0.1748,0.16691924225530755,0.8724129973645498,0.8330807577446925
2025,low_collection,baseline,Direct,8859.997099826278,3845.902966592365,5014.0941332339125,2402.150992933591,2402.150992933591,6457.846106892686,1443.7519736587737,5014.0941332339125,0.6246,0.27112322564763497,1.6791495165086328,0.728876774352365
2025,low_collection,baseline,Hydro,8859.997099826278,3845.902966592365,5014.0941332339125,3329.782788475669,3329.782788475669,5530.214311350609,516.120178116696,5014.0941332339125,0.8657999999999998,0.37582210817438727,1.4379495165086331,0.6241778918256128
2025,low_collection,baseline,Pyro,8859.997099826278,3845.902966592365,5014.0941332339125,240.3689354120228,240.3689354120228,8619.628164414255,3605.534031180342,5014.0941332339125,0.0625,0.027129685563524148,2.241249516508633,0.9728703144364758
2030,low_collection,baseline,Direct,91632.03333686558,44291.62897088525,47340.40436598033,28949.0086953706,28949.0086953706,62683.02464149498,15342.620275514648,47340.40436598033,0.6536000000000001,0.3159267304365686,1.4152341220662525,0.6840732695634314
2030,low_collection,baseline,Hydro,91632.03333686558,44291.62897088525,47340.40436598033,39069.64591521788,39069.64591521788,52562.387421647705,5221.98305566737,47340.40436598033,0.8821,0.4263754114413971,1.1867341220662526,0.5736245885586029
2030,low_collection,baseline,Pyro,91632.03333686558,44291.62897088525,47340.40436598033,3330.730498610571,3330.730498610571,88301.30283825501,40960.898472274675,47340.40436598033,0.0752,0.036348975105308996,1.9936341220662526,0.963651024894691
2035,low_collection,baseline,Direct,358389.7949348645,185032.0480646075,173357.74687025702,130096.0329942255,130096.0329942255,228293.761940639,54936.01507038198,173357.74687025702,0.7031,0.36300149957637545,1.2338065990650757,0.6369985004236245
2035,low_collection,baseline,Hydro,358389.7949348645,185032.0480646075,173357.74687025702,166843.39773985656,166843.39773985656,191546.39719500794,18188.650324750924,173357.74687025702,0.9017,0.4655361288124275,1.0352065990650756,0.5344638711875724
2035,low_collection,baseline,Pyro,358389.7949348645,185032.0480646075,173357.74687025702,17855.59263823462,17855.59263823462,340534.2022966299,167176.45542637288,173357.74687025702,0.09649999999999997,0.0498217105804583,1.8404065990650758,0.9501782894195417
2040,low_collection,baseline,Direct,766490.0623872235,431411.4384559251,335078.6239312984,329986.60927493713,329986.60927493713,436503.45311228634,101424.82918098796,335078.6239312984,0.7649,0.4305164873856265,1.0118031517073034,0.5694835126143736
2040,low_collection,baseline,Hydro,766490.0623872235,431411.4384559251,335078.6239312984,395431.7244887009,395431.7244887009,371058.33789852256,35979.713967224176,335078.6239312984,0.9166,0.5158993493759513,0.8601031517073034,0.48410065062404867
2040,low_collection,baseline,Pyro,766490.0623872235,431411.4384559251,335078.6239312984,53926.42980699064,53926.42980699064,712563.6325802328,377485.0086489344,335078.6239312984,0.12500000000000003,0.07035502800784849,1.6517031517073033,0.9296449719921515
2045,low_collection,baseline,Direct,1414282.8844574655,846825.4979264721,567457.3865309933,692787.9398536469,692787.9398536469,721494.9446038186,154037.5580728252,567457.3865309933,0.8181,0.48985103861976526,0.8519995517027574,0.5101489613802348
2045,low_collection,baseline,Hydro,1414282.8844574655,846825.4979264721,567457.3865309933,782890.1728330235,782890.1728330235,631392.711624442,63935.32509344863,567457.3865309933,0.9245,0.5535598156753122,0.7455995517027575,0.4464401843246878
2045,low_collection,baseline,Pyro,1414282.8844574655,846825.4979264721,567457.3865309933,129987.71393171349,129987.71393171349,1284295.170525752,716837.7839947586,567457.3865309933,0.15350000000000003,0.09191068870325629,1.5165995517027575,0.9080893112967438
2050,low_collection,baseline,Direct,1856501.841004832,1161682.4808214155,694819.3601834162,988591.7911790246,988591.7911790246,867910.0498258073,173090.68964239093,694819.3601834162,0.851,0.5325024566870071,0.7471146928307946,0.4674975433129928
2050,low_collection,baseline,Hydro,1856501.841004832,1161682.4808214155,694819.3601834162,1077925.1739541914,1077925.1739541914,778576.6670506406,83757.30686722416,694819.3601834162,0.9279,0.5806216563570786,0.6702146928307947,0.41937834364292137
2050,low_collection,baseline,Pyro,1856501.841004832,1161682.4808214155,694819.3601834162,203062.09764758343,203062.09764758343,1653439.7433572486,958620.3831738321,694819.3601834162,0.17479999999999998,0.10937888299516904,1.4233146928307947,0.890621117004831
