policy_scenario,source_iso3,destination_iso3,baseline_policy,comparison_policy,delta_route_value
reference_policy,AUS,KOR,164.85762827236297,0.0,-164.85762827236297
reference_policy,AUS,THA,0.0,166.0588228622082,166.0588228622082
reference_policy,AUT,KOR,362.46238374822406,0.0,-362.46238374822406
reference_policy,AUT,RUS,0.0,362.46238374822406,362.46238374822406
reference_policy,BEL,CHN,0.0,301.38812092587796,301.38812092587796
reference_policy,BEL,KOR,316.9950631953592,0.0,-316.9950631953592
reference_policy,BRA,CHN,757.2867604208968,5707.371815477163,4950.085055056266
reference_policy,BRA,IND,5016.242555056266,0.0,-5016.242555056266
reference_policy,CZE,CHN,0.0,56.3207039351924,56.3207039351924
reference_policy,CZE,KOR,95.71985310498101,0.0,-95.71985310498101
reference_policy,CZE,RUS,0.0,37.499954659436085,37.499954659436085
reference_policy,DEU,CHN,0.0,1195.8137147075938,1195.8137147075938
reference_policy,DEU,KOR,2265.729079347825,0.0,-2265.729079347825
reference_policy,DNK,CHN,0.0,273.17207555968423,273.17207555968423
reference_policy,DNK,KOR,273.17207555968423,0.0,-273.17207555968423
reference_policy,DZA,CHN,0.0,3.0453173696255633,3.0453173696255633
reference_policy,DZA,RUS,3.0453173696255633,0.0,-3.0453173696255633
reference_policy,ESP,KOR,1.306971244290011,0.0,-1.306971244290011
reference_policy,FIN,CHN,0.0,96.81260945113854,96.81260945113854
reference_policy,FIN,KOR,92.19535340652624,0.0,-92.19535340652624
reference_policy,FRA,CHN,0.0,966.5581930640845,966.5581930640845
reference_policy,FRA,KOR,2678.764342431822,0.0,-2678.764342431822
reference_policy,GBR,CHN,0.0,575.4248451924013,575.4248451924013
reference_policy,GRC,CHN,0.0,478.01148893521037,478.01148893521037
reference_policy,GRC,KOR,478.01148893521037,0.0,-478.01148893521037
reference_policy,HRV,CHN,0.0,7.649814937825724,7.649814937825724
reference_policy,HRV,RUS,7.649814937825724,0.0,-7.649814937825724
reference_policy,IRL,CHN,0.0,63.44407231868116,63.44407231868116
reference_policy,IRL,KOR,63.44407231868116,0.0,-63.44407231868116
reference_policy,ISL,CHN,0.0,11.894165126848897,11.894165126848897
reference_policy,ISL,KOR,11.894165126848897,0.0,-11.894165126848897
reference_policy,ITA,CHN,0.0,258.3490454471139,258.3490454471139
reference_policy,ITA,KOR,1957.7133765726062,0.0,-1957.7133765726062
reference_policy,LTU,CHN,0.0,11.04089346742371,11.04089346742371
reference_policy,LTU,RUS,11.04089346742371,0.0,-11.04089346742371
reference_policy,LUX,CHN,0.0,10.014340877890717,10.014340877890717
reference_policy,LUX,KOR,10.014340877890717,0.0,-10.014340877890717
reference_policy,NLD,CHN,0.0,412.32568563184645,412.32568563184645
reference_policy,NLD,KOR,0.5509948080982303,0.0,-0.5509948080982303
reference_policy,NZL,CHN,0.0,73.27291754140177,73.27291754140177
reference_policy,NZL,KOR,73.27291754140177,0.0,-73.27291754140177
reference_policy,POL,RUS,0.0,47.56355063357886,47.56355063357886
reference_policy,PRT,CHN,0.0,351.17687551020856,351.17687551020856
reference_policy,PRT,KOR,351.17687551020856,0.0,-351.17687551020856
reference_policy,ROM,CHN,59.930365809095555,35.8445896944627,-24.085776114632857
reference_policy,SEN,CHN,0.0,7.1218705609696755,7.1218705609696755
reference_policy,SEN,RUS,7.1218705609696755,0.0,-7.1218705609696755
reference_policy,SVK,KOR,63.8076766432216,0.0,-63.8076766432216
reference_policy,SVK,RUS,0.0,65.24485674895135,65.24485674895135
reference_policy,SVN,CHN,0.0,10.162359760187881,10.162359760187881
reference_policy,SVN,RUS,10.162359760187881,0.0,-10.162359760187881
reference_policy,TUR,CHN,0.0,165.33375644419127,165.33375644419127
reference_policy,TUR,KOR,179.2869875772429,0.0,-179.2869875772429
reference_policy,USA,CHN,0.0,336.56657941611684,336.56657941611684
reference_policy,USA,KOR,336.56657941611684,0.0,-336.56657941611684
reference_policy,VNM,CHN,233.55032601971737,323.98333138938494,90.43300536966757
reference_policy,VNM,THA,86.05958099753863,105.8890756278711,19.829494630332462
strict_policy,ABW,CHN,0.4878850819194059,0.0,-0.4878850819194059
strict_policy,ABW,JPN,0.0,0.4878850819194059,0.4878850819194059
strict_policy,ALB,CHN,2.030775683062248,0.0,-2.030775683062248
strict_policy,ALB,RUS,0.0,2.030775683062248,2.030775683062248
strict_policy,ARG,JPN,0.0,17.613694607852427,17.613694607852427
strict_policy,ARG,THA,17.613694607852427,0.0,-17.613694607852427
strict_policy,AUS,JPN,0.0,122.13802995944286,122.13802995944286
strict_policy,AUS,KOR,164.85762827236297,0.0,-164.85762827236297
strict_policy,BEL,KOR,316.9950631953592,517.7979446068717,200.80288141151254
strict_policy,BGR,CHN,9.26140940476798,0.0,-9.26140940476798
strict_policy,BGR,RUS,0.0,9.26140940476798,9.26140940476798
strict_policy,BHS,CHN,0.00010368152360900374,0.0,-0.00010368152360900374
strict_policy,BHS,JPN,0.0,0.00010368152360900374,0.00010368152360900374
strict_policy,BIH,CHN,0.8031935169001737,0.0,-0.8031935169001737
strict_policy,BIH,RUS,0.0,0.8031935169001737,0.8031935169001737
strict_policy,BMU,CHN,0.0313021886130075,0.0,-0.0313021886130075
strict_policy,BMU,JPN,0.0,0.0313021886130075,0.0313021886130075
strict_policy,BOL,CHN,6.980888541360299,0.0,-6.980888541360299
strict_policy,BOL,JPN,0.0,6.980888541360299,6.980888541360299
strict_policy,BRA,CHN,757.2867604208968,0.0,-757.2867604208968
strict_policy,BRA,IND,5016.242555056266,3132.912405983576,-1883.33014907269
strict_policy,BRA,JPN,0.0,564.2876021839685,564.2876021839685
strict_policy,BRA,KOR,0.0,1439.819922656028,1439.819922656028
strict_policy,BRA,RUS,0.0,658.561884653591,658.561884653591
strict_policy,BRB,CHN,0.9015332460551002,0.0,-0.9015332460551002
strict_policy,BRB,JPN,0.0,0.9015332460551002,0.9015332460551002
strict_policy,CHL,JPN,0.0,3.1928906471147047,3.1928906471147047
strict_policy,CHL,THA,3.1928906471147047,0.0,-3.1928906471147047
strict_policy,COL,CHN,16.127960708705885,0.0,-16.127960708705885
strict_policy,COL,JPN,0.0,16.127960708705885,16.127960708705885
strict_policy,CRI,CHN,4.2128399714384654,0.0,-4.2128399714384654
strict_policy,CRI,JPN,0.0,4.2128399714384654,4.2128399714384654
strict_policy,CYM,CHN,0.0518973526927976,0.0,-0.0518973526927976
strict_policy,CYM,JPN,0.0,0.0518973526927976,0.0518973526927976
strict_policy,CZE,KOR,95.71985310498101,104.54085310498101,8.820999999999998
