policy_scenario,source_iso3,destination_iso3,baseline_policy,comparison_policy,delta_scrap_t
reference_policy,AUT,KOR,34814.87184929932,0.0,-34814.87184929932
reference_policy,AUT,RUS,0.0,34814.87184929932,34814.87184929932
reference_policy,BRA,CHN,1021934.1233970777,1257057.1174737012,235122.99407662358
reference_policy,BRA,RUS,235122.9940766236,0.0,-235122.9940766236
reference_policy,CZE,KOR,245843.05253047816,0.0,-245843.05253047816
reference_policy,CZE,RUS,0.0,245843.05253047816,245843.05253047816
reference_policy,DNK,CHN,0.0,25063.11447540082,25063.11447540082
reference_policy,DNK,KOR,25063.11447540082,0.0,-25063.11447540082
reference_policy,GRC,CHN,0.0,35865.257458429136,35865.257458429136
reference_policy,GRC,KOR,35865.257458429136,0.0,-35865.257458429136
reference_policy,HRV,CHN,0.0,46757.99974145143,46757.99974145143
reference_policy,HRV,RUS,70085.0374100328,23327.037668581375,-46757.99974145143
reference_policy,IRL,CHN,0.0,20945.3901764388,20945.3901764388
reference_policy,IRL,KOR,20945.3901764388,0.0,-20945.3901764388
reference_policy,ISL,CHN,0.0,1437.5812455455332,1437.5812455455332
reference_policy,ISL,KOR,1437.5812455455332,0.0,-1437.5812455455332
reference_policy,LTU,CHN,0.0,10475.134847293135,10475.134847293135
reference_policy,LTU,RUS,10475.134847293135,0.0,-10475.134847293135
reference_policy,LUX,CHN,0.0,2779.875117623761,2779.875117623761
reference_policy,LUX,KOR,2779.875117623761,0.0,-2779.875117623761
reference_policy,NZL,CHN,0.0,19799.43467577252,19799.43467577252
reference_policy,NZL,KOR,19799.43467577252,0.0,-19799.43467577252
reference_policy,PRT,CHN,0.0,37247.25744511005,37247.25744511005
reference_policy,PRT,KOR,37247.25744511005,0.0,-37247.25744511005
reference_policy,SVK,KOR,11698.204285590424,0.0,-11698.204285590424
reference_policy,SVK,RUS,0.0,11698.204285590424,11698.204285590424
reference_policy,TUR,CHN,0.0,68816.0353350344,68816.0353350344
reference_policy,TUR,KOR,68816.0353350344,0.0,-68816.0353350344
reference_policy,USA,CHN,0.0,264887.34976566234,264887.34976566234
reference_policy,USA,KOR,264887.34976566164,0.0,-264887.34976566164
strict_policy,ABW,CHN,0.4855871662009492,0.0,-0.4855871662009492
strict_policy,ABW,KOR,0.0,0.4855871662009492,0.4855871662009492
strict_policy,AFG,CHN,0.2096041601099202,0.0,-0.2096041601099202
strict_policy,AFG,KOR,0.0,0.2096041601099202,0.2096041601099202
strict_policy,AGO,CHN,630.4213987978466,0.0,-630.4213987978466
strict_policy,AGO,KOR,0.0,630.4213987978466,630.4213987978466
strict_policy,ALB,CHN,42640.43394011791,0.0,-42640.43394011791
strict_policy,ALB,RUS,0.0,42640.43394011791,42640.43394011791
strict_policy,ARE,CHN,77.28220563249056,0.0,-77.28220563249056
strict_policy,ARE,KOR,0.0,77.28220563249056,77.28220563249056
strict_policy,ARG,KOR,0.0,8251.041278538765,8251.041278538765
strict_policy,ARG,RUS,8251.041278538765,0.0,-8251.041278538765
strict_policy,ARM,CHN,0.871355174932799,0.0,-0.871355174932799
strict_policy,ARM,KOR,0.0,0.871355174932799,0.871355174932799
strict_policy,AZE,CHN,6049.754617535088,0.0,-6049.754617535088
strict_policy,AZE,KOR,0.0,6049.754617535088,6049.754617535088
strict_policy,BDI,CHN,1297.3577768016014,0.0,-1297.3577768016014
strict_policy,BDI,KOR,0.0,1297.3577768016014,1297.3577768016014
strict_policy,BEN,CHN,31493.315245903497,0.0,-31493.315245903497
strict_policy,BEN,KOR,0.0,31493.315245903497,31493.315245903497
strict_policy,BFA,CHN,7633.477551074691,0.0,-7633.477551074691
strict_policy,BFA,KOR,0.0,7633.477551074691,7633.477551074691
strict_policy,BGD,CHN,4.399002125062478,0.0,-4.399002125062478
strict_policy,BGD,KOR,0.0,4.399002125062478,4.399002125062478
strict_policy,BGR,CHN,109275.25359599524,0.0,-109275.25359599524
strict_policy,BGR,RUS,0.0,109275.25359599524,109275.25359599524
strict_policy,BHR,CHN,5.194984669645688,0.0,-5.194984669645688
strict_policy,BHR,KOR,0.0,5.194984669645688,5.194984669645688
strict_policy,BHS,CHN,0.036133222713237004,0.0,-0.036133222713237004
strict_policy,BHS,KOR,0.0,0.036133222713237004,0.036133222713237004
strict_policy,BIH,CHN,925.2419781081256,0.0,-925.2419781081256
strict_policy,BIH,RUS,0.0,925.2419781081256,925.2419781081256
strict_policy,BMU,CHN,4.15779845113057,0.0,-4.15779845113057
strict_policy,BMU,KOR,0.0,4.15779845113057,4.15779845113057
strict_policy,BOL,CHN,8778.006935232492,0.0,-8778.006935232492
strict_policy,BOL,KOR,0.0,8778.006935232492,8778.006935232492
strict_policy,BRA,CHN,1021934.1233970777,0.0,-1021934.1233970777
strict_policy,BRA,KOR,0.0,1257057.1174737015,1257057.1174737015
strict_policy,BRA,RUS,235122.9940766236,0.0,-235122.9940766236
strict_policy,BRN,CHN,47.83575540894145,0.0,-47.83575540894145
strict_policy,BRN,KOR,0.0,47.83575540894145,47.83575540894145
strict_policy,BWA,CHN,923.7090117741013,0.0,-923.7090117741013
strict_policy,BWA,THA,0.0,923.7090117741013,923.7090117741013
strict_policy,CHL,CHN,20060.60194454601,0.0,-20060.60194454601
strict_policy,CHL,KOR,0.0,20060.60194454601,20060.60194454601
strict_policy,CIV,CHN,850.6214165658038,0.0,-850.6214165658038
strict_policy,CIV,KOR,0.0,850.6214165658038,850.6214165658038
strict_policy,CMR,CHN,2.1849501833758422,0.0,-2.1849501833758422
strict_policy,CMR,KOR,0.0,2.1849501833758422,2.1849501833758422
strict_policy,COG,CHN,7.560560978397966,0.0,-7.560560978397966
strict_policy,COG,KOR,0.0,7.560560978397966,7.560560978397966
strict_policy,COL,CHN,11278.141995266356,0.0,-11278.141995266356
strict_policy,COL,KOR,0.0,11278.141995266356,11278.141995266356
strict_policy,COM,CHN,44.615179467416326,0.0,-44.615179467416326
strict_policy,COM,THA,0.0,44.615179467416326,44.615179467416326
strict_policy,CRI,CHN,3714.7125167681966,0.0,-3714.7125167681966
strict_policy,CRI,KOR,0.0,3714.7125167681966,3714.7125167681966
strict_policy,CYP,CHN,5931.367417318917,0.0,-5931.367417318917
strict_policy,CYP,KOR,0.0,5931.367417318917,5931.367417318917
strict_policy,DOM,CHN,13134.398558452234,0.0,-13134.398558452234
strict_policy,DOM,KOR,0.0,13134.398558452234,13134.398558452234
strict_policy,ECU,CHN,6980.848428711333,0.0,-6980.848428711333
strict_policy,ECU,KOR,0.0,6980.848428711333,6980.848428711333
strict_policy,EGY,CHN,88809.91654358381,0.0,-88809.91654358381
strict_policy,EGY,KOR,0.0,88809.91654358381,88809.91654358381
strict_policy,EST,CHN,5382.888959212431,0.0,-5382.888959212431
strict_policy,EST,KOR,0.0,5382.888959212431,5382.888959212431
strict_policy,ETH,CHN,2699.699125582313,0.0,-2699.699125582313
strict_policy,ETH,KOR,0.0,2699.699125582313,2699.699125582313
strict_policy,FJI,CHN,0.0833888726360945,0.0,-0.0833888726360945
strict_policy,FJI,KOR,0.0,0.0833888726360945,0.0833888726360945
strict_policy,GEO,CHN,276.09206858854805,0.0,-276.09206858854805
strict_policy,GEO,KOR,0.0,276.09206858854805,276.09206858854805
strict_policy,GHA,CHN,38.92240563641306,0.0,-38.92240563641306
strict_policy,GHA,KOR,0.0,38.92240563641306,38.92240563641306
strict_policy,GIN,CHN,7.435422372123817,0.0,-7.435422372123817
strict_policy,GIN,RUS,0.0,7.435422372123817,7.435422372123817
strict_policy,GRD,CHN,436.4620420886608,0.0,-436.4620420886608
strict_policy,GRD,KOR,0.0,436.4620420886608,436.4620420886608
strict_policy,GRL,CHN,2.7171108711917586,0.0,-2.7171108711917586
strict_policy,GRL,KOR,0.0,2.7171108711917586,2.7171108711917586
strict_policy,GTM,CHN,18170.93383454622,0.0,-18170.93383454622
strict_policy,GTM,KOR,0.0,18170.93383454622,18170.93383454622
strict_policy,GUY,CHN,4209.3911272660935,0.0,-4209.3911272660935
strict_policy,GUY,KOR,0.0,4209.3911272660935,4209.3911272660935
strict_policy,HND,CHN,1579.612971237696,0.0,-1579.612971237696
strict_policy,HND,KOR,0.0,1579.612971237696,1579.612971237696
strict_policy,IDN,KOR,0.0,93315.24115487341,93315.24115487341
strict_policy,IDN,THA,93315.24115487341,0.0,-93315.24115487341
strict_policy,IND,CHN,152053.88690105866,0.0,-152053.88690105866
strict_policy,IND,KOR,0.0,152053.88690105866,152053.88690105866
strict_policy,IRN,CHN,88.65133099848848,0.0,-88.65133099848848
strict_policy,IRN,KOR,0.0,88.65133099848848,88.65133099848848
