source_iso3,battery_type,destination_iso3,technology,scrap_t,unit_cost,transport_unit_cost,recycling_unit_cost,carbon_unit_cost,policy_unit_cost,transport_cost,recycling_cost,carbon_cost,policy_cost,is_unprocessed,domestic_priority_reserved,li_content,contained_lithium_t,li_recovery_efficiency,recovered_lithium_t,battery_embedded_secondary_li_t,CO2_new_g_per_kg,recycling_CO2_t,year,policy_scenario,strategy
ABW,NCA,CHN,Hydro,2.659617083163304,1.4375654857160498,0.4246605,1.0011359999999998,0.011768985716050055,0.0,1.1294343203446704,2.662638408169777,0.03130099546191164,0.0,False,False,0.025,0.0664904270790826,0.8821,0.058651205726458766,0.058651205726458766,930.4787808,2.4747172609366435,2030,route_access_open,Strategy 3
ABW,NMC111,CHN,Hydro,0.7182619752066727,1.4375654857160498,0.4246605,1.0011359999999998,0.011768985716050055,0.0,0.3050174895222532,0.7190779208105074,0.00845321492658923,0.0,False,False,0.0375,0.026934824070250225,0.8821,0.023759208312367722,0.023759208312367722,939.1747405,0.6745735041757442,2030,route_access_open,Strategy 3
ABW,NMC523,CHN,Hydro,0.8502186858718813,1.4375654857160498,0.4246605,1.0011359999999998,0.011768985716050055,0.0,0.36105429225169605,0.8511845342990316,0.01000621156954502,0.0,False,False,0.035,0.02975765400551585,0.8821,0.02624922659826553,0.02624922659826553,939.3492076,0.798652248860465,2030,route_access_open,Strategy 3
ABW,NMC811,CHN,Hydro,15.633166360536904,1.4375654857160498,0.4246605,1.0011359999999998,0.011768985716050055,0.0,6.638788243248782,15.650925637522471,0.18398651159379306,0.0,False,False,0.0275,0.42991207491476485,0.8821,0.37922544128231406,0.37922544128231406,1063.116435,16.619876088975918,2030,route_access_open,Strategy 3
ABW,TLB,CHN,Hydro,4.958075285350548,1.4375654857160498,0.4246605,1.0011359999999998,0.011768985716050055,0.0,2.1054987297146064,4.963707658874705,0.058351517212391395,0.0,False,False,0.0,0.0,0.8821,0.0,0.0,0.0,0.0,2030,route_access_open,Strategy 3
AGO,NCA,IND,Hydro,5.341864530784914,1.2378830399999998,0.24077903999999997,0.9971039999999998,0.0,0.0,1.286209013532442,5.32639449110376,0.0,0.0,False,False,0.025,0.13354661326962286,0.8821,0.11780146756513432,0.11780146756513432,930.4787808,4.9704915958035105,2030,route_access_open,Strategy 3
AGO,NMC111,IND,Hydro,1.8362186310254047,1.2378830399999998,0.24077903999999997,0.9971039999999998,0.0,0.0,0.4421229592084111,1.8309009418699547,0.0,0.0,False,False,0.0375,0.06885819866345268,0.8821,0.0607398170410316,0.0607398170410316,939.1747405,1.7245301562945496,2030,route_access_open,Strategy 3
AGO,NMC523,IND,Hydro,1.61600573949616,1.2378830399999998,0.24077903999999997,0.9971039999999998,0.0,0.0,0.3891003105903754,1.6113257868745787,0.0,0.0,False,False,0.035,0.0565602008823656,0.8821,0.0498917531983347,0.0498917531983347,939.3492076,1.51799371087277,2030,route_access_open,Strategy 3
AGO,NMC622,IND,Hydro,0.7383713979363656,1.2378830399999998,0.24077903999999997,0.9971039999999998,0.0,0.0,0.1777843563585761,0.7362330743679417,0.0,0.0,False,False,0.0325,0.023997070432931884,0.8821,0.021167815828889214,0.021167815828889214,970.9704299,0.716936793680137,2030,route_access_open,Strategy 3
AGO,NMC811,IND,Hydro,0.4128092349247139,1.2378830399999998,0.24077903999999997,0.9971039999999998,0.0,0.0,0.09939581128830707,0.4116137393803718,0.0,0.0,False,False,0.0275,0.011352253960429631,0.8821,0.010013823218494977,0.010013823218494977,1063.116435,0.4388642821682393,2030,route_access_open,Strategy 3
AGO,TLB,IND,Hydro,9.942936027006754,1.2378830399999998,0.24077903999999997,0.9971039999999998,0.0,0.0,2.3940505913641,9.91414128427254,0.0,0.0,False,False,0.0,0.0,0.8821,0.0,0.0,0.0,0.0,2030,route_access_open,Strategy 3
ALB,LFP,CHN,Hydro,0.0903579687343035,1.24348735571605,0.23058236999999998,1.0011359999999998,0.011768985716050055,0.0,0.020834954579141602,0.09046061538678565,0.0010634216433653154,0.0,False,False,0.025,0.0022589492183575878,0.8821,0.001992619105513228,0.001992619105513228,773.1888943,0.0698637779368701,2030,route_access_open,Strategy 3
ALB,NCA,CHN,Hydro,27.27853655626183,1.24348735571605,0.23058236999999998,1.0011359999999998,0.011768985716050055,0.0,6.28994960927449,27.30952497378974,0.3210407070853947,0.0,False,False,0.025,0.6819634139065458,0.8821,0.6015599274069641,0.6015599274069641,930.4787808,25.38209943687874,2030,route_access_open,Strategy 3
ALB,NMC111,CHN,Hydro,15.485810302411531,1.24348735571605,0.23058236999999998,1.0011359999999998,0.011768985716050055,0.0,3.5707548409004675,15.503402182915067,0.1822522802505421,0.0,False,False,0.0375,0.5807178863404324,0.8821,0.5122512475408955,0.5122512475408955,939.1747405,14.543881872199576,2030,route_access_open,Strategy 3
ALB,NMC523,CHN,Hydro,17.409879584780956,1.24348735571605,0.23058236999999998,1.0011359999999998,0.011768985716050055,0.0,4.014411296073408,17.429657207989266,0.20489662415143853,0.0,False,False,0.035,0.6093457854673335,0.8821,0.5375039173607349,0.5375039173607349,939.3492076,16.353956592375408,2030,route_access_open,Strategy 3
ALB,NMC622,CHN,Hydro,8.62460606804277,1.24348735571605,0.23058236999999998,1.0011359999999998,0.011768985716050055,0.0,1.9886821074856829,8.634403620536064,0.10150286562135398,0.0,False,False,0.0325,0.28029969721139003,0.8821,0.24725236291016714,0.24725236291016714,970.9704299,8.374237461605636,2030,route_access_open,Strategy 3
ALB,NMC811,CHN,Hydro,5.368000277765796,1.24348735571605,0.23058236999999998,1.0011359999999998,0.011768985716050055,0.0,1.2377662262078954,5.374098326081336,0.06317591859277838,0.0,False,False,0.0275,0.14762000763855937,0.8821,0.13021560873797322,0.13021560873797322,1063.116435,5.706809318377382,2030,route_access_open,Strategy 3
ALB,TLB,CHN,Hydro,74.16683278926288,1.24348735571605,0.23058236999999998,1.0011359999999998,0.011768985716050055,0.0,17.101564079941944,74.25108631131147,0.8728683957015078,0.0,False,False,0.0,0.0,0.8821,0.0,0.0,0.0,0.0,2030,route_access_open,Strategy 3
AND,NCA,RUS,Hydro,0.5321249493037986,1.0760700899999998,0.08919009,0.9868799999999998,0.0,0.0,0.04746027211965124,0.5251434699689327,0.0,0.0,False,False,0.025,0.013303123732594966,0.8821,0.01173468544452202,0.01173468544452202,930.4787808,0.49513097406146034,2030,route_access_open,Strategy 3
AND,NMC111,RUS,Hydro,0.1728536353407034,1.0760700899999998,0.08919009,0.9868799999999998,0.0,0.0,0.015416831292864516,0.17058579564503332,0.0,0.0,False,False,0.0375,0.006482011325276377,0.8821,0.005717782190026293,0.005717782190026293,939.1747405,0.16233976811558673,2030,route_access_open,Strategy 3
AND,NMC523,RUS,Hydro,0.1630977024843326,1.0760700899999998,0.08919009,0.9868799999999998,0.0,0.0,0.01454669876337085,0.16095786062773812,0.0,0.0,False,False,0.035,0.005708419586951642,0.8821,0.005035396917650044,0.005035396917650044,939.3492076,0.1532056975900384,2030,route_access_open,Strategy 3
AND,NMC622,RUS,Hydro,0.076211808336009,1.0760700899999998,0.08919009,0.9868799999999998,0.0,0.0,0.006797338044551393,0.07521190941064054,0.0,0.0,False,False,0.0325,0.002476883770920293,0.8821,0.0021848591743287905,0.0021848591743287905,970.9704299,0.07399941230347105,2030,route_access_open,Strategy 3
AND,NMC811,RUS,Hydro,0.056687727885922,1.0760700899999998,0.08919009,0.9868799999999998,0.0,0.0,0.005055983552040893,0.055943984896058695,0.0,0.0,False,False,0.0275,0.001558912516862855,0.8821,0.0013751167311247244,0.0013751167311247244,1063.116435,0.060265655178331476,2030,route_access_open,Strategy 3
AND,TLB,RUS,Hydro,1.0009758233507664,1.0760700899999998,0.08919009,0.9868799999999998,0.0,0.0,0.08927712377247896,0.9878430205484041,0.0,0.0,False,False,0.0,0.0,0.8821,0.0,0.0,0.0,0.0,2030,route_access_open,Strategy 3
ARE,NCA,IND,Hydro,196.4055658369264,1.0664901299999998,0.06938612999999999,0.9971039999999998,0.0,0.0,13.627822123884531,195.83677531826262,0.0,0.0,False,False,0.025,4.910139145923161,0.8821,4.33123374061882,4.33123374061882,930.4787808,182.75121144227742,2030,route_access_open,Strategy 3
ARE,NMC111,IND,Hydro,54.411925408150864,1.0664901299999998,0.06938612999999999,0.9971039999999998,0.0,0.0,3.7754329299202585,54.25434847216885,0.0,0.0,False,False,0.0375,2.0404472028056575,0.8821,1.7998784775948704,1.7998784775948704,939.1747405,51.102305925305444,2030,route_access_open,Strategy 3
ARE,NMC811,IND,Hydro,575.5261879457659,1.0664901299999998,0.06938612999999999,0.9971039999999998,0.0,0.0,39.933534895209334,573.8594641054748,0.0,0.0,False,False,0.0275,15.826970168508561,0.8821,13.960970385641401,13.960970385641401,1063.116435,611.8513491780425,2030,route_access_open,Strategy 3
ARE,TLB,IND,Hydro,364.4801954132681,1.0664901299999998,0.06938612999999999,0.9971039999999998,0.0,0.0,25.28987022137042,363.4246607673512,0.0,0.0,False,False,0.0,0.0,0.8821,0.0,0.0,0.0,0.0,2030,route_access_open,Strategy 3
ARG,NCA,THA,Hydro,363.43456977919976,1.5015533999999997,0.5067054,0.9948479999999996,0.0,0.0,184.15425905379732,361.56215487569716,0.0,0.0,False,False,0.025,9.085864244479994,0.8821,8.014640850055804,8.014640850055804,930.4787808,338.1681553887223,2030,route_access_open,Strategy 3
ARG,NMC111,THA,Hydro,102.70509070587876,1.5015533999999997,0.5067054,0.9948479999999996,0.0,0.0,52.04122406815858,102.17595407856203,0.0,0.0,False,False,0.0375,3.851440901470453,0.8821,3.397356019187087,3.397356019187087,939.1747405,96.45802691172264,2030,route_access_open,Strategy 3
ARG,NMC523,THA,Hydro,114.15348300528814,1.5015533999999997,0.5067054,0.9948479999999996,0.0,0.0,57.84218626758773,113.56536426084485,0.0,0.0,False,False,0.035,3.995371905185085,0.8821,3.5243175575637635,3.5243175575637635,939.3492076,107.22998380579749,2030,route_access_open,Strategy 3
