year,policy_scenario,target_region,target_share_of_max,scope,technology,recovered_lithium_t,technology_share_pct
2030,reference_policy,United States,0.0,global,Direct,0.0,0.0
2030,reference_policy,United States,0.0,global,Hydro,71609.35984021363,100.0
2030,reference_policy,United States,0.0,global,Pyro,0.0,0.0
2030,reference_policy,United States,0.0,target_region,Direct,0.0,0.0
2030,reference_policy,United States,0.0,target_region,Hydro,7195.273777116253,100.0
2030,reference_policy,United States,0.0,target_region,Pyro,0.0,0.0
2030,reference_policy,United States,0.75,global,Direct,0.0,0.0
2030,reference_policy,United States,0.75,global,Hydro,71609.35984021363,100.0
2030,reference_policy,United States,0.75,global,Pyro,0.0,0.0
2030,reference_policy,United States,0.75,target_region,Direct,0.0,0.0
2030,reference_policy,United States,0.75,target_region,Hydro,7195.273777116255,100.0
2030,reference_policy,United States,0.75,target_region,Pyro,0.0,0.0
2030,reference_policy,United States,0.9,global,Direct,0.0,0.0
2030,reference_policy,United States,0.9,global,Hydro,71609.35984021363,100.0
2030,reference_policy,United States,0.9,global,Pyro,0.0,0.0
2030,reference_policy,United States,0.9,target_region,Direct,0.0,0.0
2030,reference_policy,United States,0.9,target_region,Hydro,7195.273777116255,100.0
2030,reference_policy,United States,0.9,target_region,Pyro,0.0,0.0
2030,reference_policy,United States,0.95,global,Direct,0.0,0.0
2030,reference_policy,United States,0.95,global,Hydro,71609.35984021363,100.0
2030,reference_policy,United States,0.95,global,Pyro,0.0,0.0
2030,reference_policy,United States,0.95,target_region,Direct,0.0,0.0
2030,reference_policy,United States,0.95,target_region,Hydro,7195.273777116255,100.0
2030,reference_policy,United States,0.95,target_region,Pyro,0.0,0.0
2030,reference_policy,United States,0.99,global,Direct,3783.5779109036266,5.277886213748807
2030,reference_policy,United States,0.99,global,Hydro,67903.79384499874,94.7221137862512
2030,reference_policy,United States,0.99,global,Pyro,0.0,0.0
2030,reference_policy,United States,0.99,target_region,Direct,3783.5779109036266,52.02020202020232
2030,reference_policy,United States,0.99,target_region,Hydro,3489.7077819013616,47.97979797979768
2030,reference_policy,United States,0.99,target_region,Pyro,0.0,0.0
2030,reference_policy,United States,1.0,global,Direct,7346.753225055583,10.237830685835448
2030,reference_policy,United States,1.0,global,Hydro,64414.08606309738,89.76216931416455
2030,reference_policy,United States,1.0,global,Pyro,0.0,0.0
2030,reference_policy,United States,1.0,target_region,Direct,7346.753225055583,100.0
2030,reference_policy,United States,1.0,target_region,Hydro,0.0,0.0
2030,reference_policy,United States,1.0,target_region,Pyro,0.0,0.0
2030,reference_policy,European Union,0.0,global,Direct,0.0,0.0
