year,policy_scenario,target_region,target_share_of_max,scope,technology,recovered_lithium_t,technology_share_pct,draw_id,random_seed
2050,strict_policy,China,0.95,global,Direct,1432289.289423555,83.05992541925438,1,43
2050,strict_policy,China,0.95,global,Hydro,292115.44871449703,16.94007458074561,1,43
2050,strict_policy,China,0.95,global,Pyro,0.0,0.0,1,43
2050,strict_policy,China,0.95,target_region,Direct,1432289.289423555,100.0,1,43
2050,strict_policy,China,0.95,target_region,Hydro,0.0,0.0,1,43
2050,strict_policy,China,0.95,target_region,Pyro,0.0,0.0,1,43
2050,strict_policy,China,0.99,global,Direct,1492596.2068729687,86.52062850587777,1,43
2050,strict_policy,China,0.99,global,Hydro,232537.131440182,13.479371494122228,1,43
2050,strict_policy,China,0.99,global,Pyro,0.0,0.0,1,43
2050,strict_policy,China,0.99,target_region,Direct,1492596.2068729687,99.99999999999999,1,43
2050,strict_policy,China,0.99,target_region,Hydro,0.0,0.0,1,43
2050,strict_policy,China,0.99,target_region,Pyro,0.0,0.0,1,43
2050,strict_policy,China,0.95,global,Direct,0.0,0.0,2,44
2050,strict_policy,China,0.95,global,Hydro,1687551.8079580935,100.0,2,44
2050,strict_policy,China,0.95,global,Pyro,0.0,0.0,2,44
2050,strict_policy,China,0.95,target_region,Direct,0.0,0.0,2,44
2050,strict_policy,China,0.95,target_region,Hydro,338982.7059366566,100.0,2,44
2050,strict_policy,China,0.95,target_region,Pyro,0.0,0.0,2,44
2050,strict_policy,China,0.99,global,Direct,272422.57529141783,16.03108415655687,2,44
2050,strict_policy,China,0.99,global,Hydro,1426917.1114757701,83.96891584344311,2,44
2050,strict_policy,China,0.99,global,Pyro,0.0,0.0,2,44
2050,strict_policy,China,0.99,target_region,Direct,272422.57529141783,77.66403089041164,2,44
2050,strict_policy,China,0.99,target_region,Hydro,78348.00945433347,22.335969109588362,2,44
2050,strict_policy,China,0.99,target_region,Pyro,0.0,0.0,2,44
