year,policy_scenario,target_region,target_share_of_max,scope,technology,recovered_lithium_t,technology_share_pct
2030,reference_policy,China,0.0,global,Direct,0.0,0.0
2030,reference_policy,China,0.0,global,Hydro,71609.35984021363,100.0
2030,reference_policy,China,0.0,global,Pyro,0.0,0.0
2030,reference_policy,China,0.0,target_region,Direct,0.0,0.0
2030,reference_policy,China,0.0,target_region,Hydro,35884.35540183354,100.0
2030,reference_policy,China,0.0,target_region,Pyro,0.0,0.0
2030,reference_policy,China,0.75,global,Direct,0.0,0.0
2030,reference_policy,China,0.75,global,Hydro,71609.35984021364,100.00000000000003
2030,reference_policy,China,0.75,global,Pyro,0.0,0.0
2030,reference_policy,China,0.75,target_region,Direct,0.0,0.0
2030,reference_policy,China,0.75,target_region,Hydro,38939.47977586689,100.00000000000003
2030,reference_policy,China,0.75,target_region,Pyro,0.0,0.0
2030,reference_policy,China,0.9,global,Direct,0.0,0.0
2030,reference_policy,China,0.9,global,Hydro,71609.35984021363,100.0
2030,reference_policy,China,0.9,global,Pyro,0.0,0.0
2030,reference_policy,China,0.9,target_region,Direct,0.0,0.0
2030,reference_policy,China,0.9,target_region,Hydro,38939.47977586688,100.0
2030,reference_policy,China,0.9,target_region,Pyro,0.0,0.0
2030,reference_policy,China,0.95,global,Direct,0.0,0.0
2030,reference_policy,China,0.95,global,Hydro,71609.35984021363,100.0
2030,reference_policy,China,0.95,global,Pyro,0.0,0.0
2030,reference_policy,China,0.95,target_region,Direct,0.0,0.0
2030,reference_policy,China,0.95,target_region,Hydro,40496.5361297864,100.00000000000003
2030,reference_policy,China,0.95,target_region,Pyro,0.0,0.0
2030,reference_policy,China,0.99,global,Direct,21951.360546790314,30.461784496323634
2030,reference_policy,China,0.99,global,Hydro,50110.604665522085,69.53821550367635
2030,reference_policy,China,0.99,global,Pyro,0.0,0.0
2030,reference_policy,China,0.99,target_region,Direct,21951.360546790314,52.0154040356075
