indicator,policy_scenario,target_region,value_2030,value_2050,delta_2030_2050,ratio_2030_2050,cagr_2030_2050_pct
cost_delta_95_to_100,critical_route_policy,China,923197.657597026,11815346.216360748,10892148.558763722,12.798284440099959,13.594574183748097
cost_delta_95_to_100,critical_route_policy,European Union,696161.7193767857,26241694.25549465,25545532.536117867,37.694825103262794,19.898592975516483
cost_delta_95_to_100,critical_route_policy,United States,289652.20722390804,6034209.47347036,5744557.266246452,20.83260311151633,16.39576445931681
cost_delta_95_to_100,current_policy,China,1134504.5406024083,38369391.54248822,37234887.00188581,33.820394867802406,19.250149917413005
cost_delta_95_to_100,current_policy,European Union,694034.4835557006,26271830.14148125,25577795.65792555,37.85378214477836,19.923822770742696
cost_delta_95_to_100,current_policy,United States,289652.2072239015,6034209.473470271,5744557.266246369,20.83260311151649,16.39576445931685
cost_delta_95_to_100,reference_policy,China,1123437.9046672909,38369391.54248828,37245953.63782099,34.153549015111324,19.30861163896371
cost_delta_95_to_100,reference_policy,European Union,701931.4323741812,26461046.79962933,25759115.36725515,37.69748094928401,19.899015343233817
cost_delta_95_to_100,reference_policy,United States,289652.20722390804,6034209.473470271,5744557.266246363,20.832603111516022,16.39576445931672
cost_delta_95_to_100,strict_policy,China,883076.8258548444,8898866.197867543,8015789.372012698,10.077114399704893,12.244949644338554
cost_delta_95_to_100,strict_policy,European Union,691468.1057537384,26135239.020753056,25443770.914999317,37.79673827799216,19.9147803187973
cost_delta_95_to_100,strict_policy,United States,289652.2072239164,6034209.473470241,5744557.266246324,20.83260311151532,16.39576445931652
new_route_count,critical_route_policy,Global routes,90.0,41.0,-49.0,0.45555555555555555,-3.8549195069643605
net_recovered_li_delta_vs_reference,critical_route_policy,Global routes,13313.85323118032,600834.7318374257,587520.8786062454,45.12853802761649,20.982502405296554
new_route_count,current_policy,Global routes,27.0,10.0,-17.0,0.37037037037037035,-4.844956574237247
net_recovered_li_delta_vs_reference,current_policy,Global routes,6343.729014833913,14737.575361683635,8393.846346849721,2.3231722741028027,4.3047462317582275
new_route_count,reference_policy,Global routes,0.0,0.0,0.0,,
net_recovered_li_delta_vs_reference,reference_policy,Global routes,0.0,0.0,0.0,,
new_route_count,route_access_open,Global routes,3.0,0.0,-3.0,0.0,
net_recovered_li_delta_vs_reference,route_access_open,Global routes,-7.105427357601002e-13,5.5479176808148616e-11,5.6189719543908716e-11,,
new_route_count,strict_policy,Global routes,85.0,133.0,48.0,1.5647058823529412,2.26373152758772
net_recovered_li_delta_vs_reference,strict_policy,Global routes,12938.73012660723,673943.3992806412,661004.669154034,52.08729084585687,21.853101729032055
