policy_scenario,technology_allowed,max_accessible_recovered_lithium_t_2030,max_accessible_recovered_lithium_t_2040,max_accessible_recovered_lithium_t_2050,max_accessible_recovered_lithium_t_delta_2030_2040,max_accessible_recovered_lithium_t_ratio_2030_2040,max_accessible_recovered_lithium_t_cagr_2030_2040_pct,max_accessible_recovered_lithium_t_delta_2040_2050,max_accessible_recovered_lithium_t_ratio_2040_2050,max_accessible_recovered_lithium_t_cagr_2040_2050_pct,max_accessible_recovered_lithium_t_delta_2030_2050,max_accessible_recovered_lithium_t_ratio_2030_2050,max_accessible_recovered_lithium_t_cagr_2030_2050_pct,potential_recovery_pct_2030,potential_recovery_pct_2040,potential_recovery_pct_2050,potential_recovery_pct_delta_2030_2040,potential_recovery_pct_ratio_2030_2040,potential_recovery_pct_cagr_2030_2040_pct,potential_recovery_pct_delta_2040_2050,potential_recovery_pct_ratio_2040_2050,potential_recovery_pct_cagr_2040_2050_pct,potential_recovery_pct_delta_2030_2050,potential_recovery_pct_ratio_2030_2050,potential_recovery_pct_cagr_2030_2050_pct,max_accessible_li_delta_vs_reference_t_2030,max_accessible_li_delta_vs_reference_t_2040,max_accessible_li_delta_vs_reference_t_2050,max_accessible_li_delta_vs_reference_t_delta_2030_2040,max_accessible_li_delta_vs_reference_t_ratio_2030_2040,max_accessible_li_delta_vs_reference_t_cagr_2030_2040_pct,max_accessible_li_delta_vs_reference_t_delta_2040_2050,max_accessible_li_delta_vs_reference_t_ratio_2040_2050,max_accessible_li_delta_vs_reference_t_cagr_2040_2050_pct,max_accessible_li_delta_vs_reference_t_delta_2030_2050,max_accessible_li_delta_vs_reference_t_ratio_2030_2050,max_accessible_li_delta_vs_reference_t_cagr_2030_2050_pct,route_modeled_cost_2030,route_modeled_cost_2040,route_modeled_cost_2050,route_modeled_cost_delta_2030_2040,route_modeled_cost_ratio_2030_2040,route_modeled_cost_cagr_2030_2040_pct,route_modeled_cost_delta_2040_2050,route_modeled_cost_ratio_2040_2050,route_modeled_cost_cagr_2040_2050_pct,route_modeled_cost_delta_2030_2050,route_modeled_cost_ratio_2030_2050,route_modeled_cost_cagr_2030_2050_pct
critical_route_policy,Direct,73116.92531053392,697789.6385942501,1719557.2216569097,624672.7132837161,9.54347622839277,25.30565171474841,1021767.5830626596,2.4642917099214707,9.438268110045245,1646440.2963463757,23.51790935346093,17.103516207083167,96.999543031841,96.99905625257804,96.9965465402683,-0.00048677926295681573,0.9999949816334414,-5.018377891019554e-05,-0.0025097123097452823,0.9999741264254859,-0.00025873875767468135,-0.002996491572702098,0.9999691081887704,-0.00015446132266561108,-1.4551915228366852e-11,1.1641532182693479e-10,-2.3283064365386963e-10,1.3096723705530164e-10,-7.999999999999998,,-3.4924596548080444e-10,-2.0000000000000004,,-2.1827872842550278e-10,16.0,,11423125.1741783,99847986.22393522,284873422.45399314,88424861.04975691,8.74086422948767,24.20967843552255,185025436.23005792,2.853071285935502,11.053247312758362,273450297.27981484,24.93830874741202,17.447384551288646
critical_route_policy,Hydro,71609.35984021363,683402.2233655027,1684102.4335815096,611792.863525289,9.54347622839277,25.30565171474841,1000700.210216007,2.464291709921471,9.438268110045268,1612493.073741296,23.517909353460933,17.103516207083167,94.9995524538649,94.99907571128776,94.9966177456236,-0.0004767425771348144,0.9999949816334412,-5.018377892129777e-05,-0.002457965664163453,0.9999741264254861,-0.00025873875767468135,-0.0029347082412982672,0.9999691081887704,-0.00015446132266561108,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,7471076.157113247,63180339.07940394,181335200.27050245,55709262.92229069,8.45665841851306,23.79978170334556,118154861.19109851,2.8701207197163594,11.119432921927519,173864124.1133892,24.271630546538113,17.28836915369818
critical_route_policy,Pyro,26382.39573060502,251779.7665030799,620458.7913195037,225397.37077247488,9.54347622839277,25.30565171474841,368679.0248164238,2.4642917099214716,9.438268110045268,594076.3955888987,23.517909353460936,17.103516207083167,34.999835114581806,34.9996594725797,34.99875390628239,-0.0001756420021052918,0.9999949816334411,-5.018377892129777e-05,-0.0009055662973125322,0.9999741264254864,-0.00025873875767468135,-0.001081208299417824,0.9999691081887706,-0.00015446132266561108,0.0,-2.9103830456733704e-11,1.1641532182693479e-10,-2.9103830456733704e-11,,,1.455191522836685e-10,-3.999999999999999,,1.1641532182693479e-10,,,11444930.392076408,97590065.62723587,278986642.2125917,86145135.23515947,8.526925222262578,23.90226495887553,181396576.58535582,2.8587606783485024,11.075372916388183,267541711.8205153,24.376438532622327,17.313640662508778
current_policy,Direct,73116.92531053392,697789.6385942502,1719557.22165691,624672.7132837162,9.543476228392771,25.30565171474841,1021767.5830626597,2.4642917099214707,9.438268110045245,1646440.296346376,23.517909353460933,17.103516207083167,96.999543031841,96.99905625257806,96.99654654026833,-0.0004867792629426049,0.9999949816334415,-5.018377891019554e-05,-0.0025097123097310714,0.9999741264254861,-0.00025873875767468135,-0.0029964915726736763,0.9999691081887706,-0.00015446132266561108,-1.4551915228366852e-11,2.3283064365386963e-10,0.0,2.473825588822365e-10,-16.0,,-2.3283064365386963e-10,0.0,,1.4551915228366852e-11,-0.0,,11462853.090890242,99377932.03021368,269631916.39865243,87915078.93932344,8.669563436103994,24.107984527065106,170253984.36843875,2.7131970940658814,10.496401397985732,258169063.3077622,23.52223432165717,17.10459288600763
current_policy,Hydro,71609.35984021363,683402.2233655025,1684102.4335815096,611792.8635252889,9.54347622839277,25.30565171474841,1000700.2102160071,2.4642917099214716,9.438268110045268,1612493.073741296,23.517909353460933,17.103516207083167,94.9995524538649,94.99907571128776,94.9966177456236,-0.0004767425771348144,0.9999949816334412,-5.018377892129777e-05,-0.002457965664163453,0.9999741264254861,-0.00025873875767468135,-0.0029347082412982672,0.9999691081887704,-0.00015446132266561108,0.0,-1.1641532182693479e-10,0.0,-1.1641532182693479e-10,,,1.1641532182693479e-10,-0.0,,0.0,,,7541686.070601147,63614351.875352666,178824526.04197478,56072665.804751515,8.435030479899302,23.768083360348214,115210174.16662212,2.8110720422392643,10.888675876100917,171282839.97137365,23.71147835748097,17.15152102961315
current_policy,Pyro,26382.39573060502,251779.7665030799,620458.7913195036,225397.37077247488,9.54347622839277,25.30565171474841,368679.02481642365,2.464291709921471,9.438268110045268,594076.3955888986,23.51790935346093,17.103516207083167,34.999835114581806,34.9996594725797,34.99875390628238,-0.0001756420021052918,0.9999949816334411,-5.018377892129777e-05,-0.0009055662973196377,0.9999741264254862,-0.00025873875767468135,-0.0010812082994249295,0.9999691081887705,-0.00015446132266561108,0.0,-2.9103830456733704e-11,0.0,-2.9103830456733704e-11,,,2.9103830456733704e-11,-0.0,,0.0,,,11475857.085615624,96864083.81454812,260146285.43811515,85388226.7289325,8.44068404580971,23.776376395696076,163282201.62356704,2.6856836424136343,10.38383677330501,248670428.3524995,22.669007072612875,16.888456780187155
reference_policy,Direct,73116.92531053393,697789.63859425,1719557.22165691,624672.713283716,9.543476228392766,25.30565171474841,1021767.58306266,2.4642917099214716,9.438268110045268,1646440.296346376,23.517909353460926,17.103516207083167,96.999543031841,96.99905625257804,96.99654654026833,-0.00048677926295681573,0.9999949816334414,-5.018377891019554e-05,-0.0025097123097168605,0.9999741264254862,-0.00025873875767468135,-0.0029964915726736763,0.9999691081887706,-0.00015446132266561108,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,11345847.364901088,97686852.99075869,253648818.7990455,86341005.62585759,8.609921308562422,24.022339157347172,155961965.80828682,2.596550211552429,10.011901810468027,242302971.4341444,22.356092995197525,16.807248908972426
reference_policy,Hydro,71609.35984021363,683402.2233655027,1684102.4335815096,611792.863525289,9.54347622839277,25.30565171474841,1000700.210216007,2.464291709921471,9.438268110045268,1612493.073741296,23.517909353460933,17.103516207083167,94.9995524538649,94.99907571128776,94.9966177456236,-0.0004767425771348144,0.9999949816334412,-5.018377892129777e-05,-0.002457965664163453,0.9999741264254861,-0.00025873875767468135,-0.0029347082412982672,0.9999691081887704,-0.00015446132266561108,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,7424680.344611991,61923272.83589764,162841428.4423679,54498592.49128565,8.340193780980035,23.62821938134143,100918155.60647027,2.62972903376591,10.151673624025381,155416748.0977559,21.932449733077082,16.695566633925417
reference_policy,Pyro,26382.39573060502,251779.76650307997,620458.7913195036,225397.37077247494,9.543476228392771,25.30565171474841,368679.0248164236,2.4642917099214707,9.438268110045245,594076.3955888986,23.51790935346093,17.103516207083167,34.999835114581806,34.99965947257971,34.99875390628238,-0.00017564200209818637,0.9999949816334414,-5.018377891019554e-05,-0.0009055662973267431,0.999974126425486,-0.00025873875767468135,-0.0010812082994249295,0.9999691081887705,-0.00015446132266561108,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,11358851.359626468,95173004.7750931,244163187.8385082,83814153.41546662,8.378752548287842,23.685257183518505,148990183.0634151,2.565466840261053,9.879491407011653,232804336.47888172,21.495411825385258,16.57818472540413
strict_policy,Direct,73116.92531053392,697789.6385942502,1719557.22165691,624672.7132837162,9.543476228392771,25.30565171474841,1021767.5830626597,2.4642917099214707,9.438268110045245,1646440.296346376,23.517909353460933,17.103516207083167,96.999543031841,96.99905625257806,96.99654654026833,-0.0004867792629426049,0.9999949816334415,-5.018377891019554e-05,-0.0025097123097310714,0.9999741264254861,-0.00025873875767468135,-0.0029964915726736763,0.9999691081887706,-0.00015446132266561108,-1.4551915228366852e-11,2.3283064365386963e-10,0.0,2.473825588822365e-10,-16.0,,-2.3283064365386963e-10,0.0,,1.4551915228366852e-11,-0.0,,11551800.253038067,101579194.63172697,293301192.2277851,90027394.3786889,8.793364878778277,24.28408217630369,191721997.59605813,2.8874140348438657,11.186204779269326,281749391.97474706,25.390085164487527,17.552862201045706
