source_iso3,destination_iso3,scrap_t,year,policy_scenario,method,strategy,cross_border
ABW,CHN,24.819339390129308,2030,reference_policy,Direct,Strategy 3,True
AGO,IND,19.88820556117431,2030,reference_policy,Direct,Strategy 3,True
ALB,CHN,148.42402354726005,2030,reference_policy,Direct,Strategy 3,True
AND,RUS,2.001951646701532,2030,reference_policy,Direct,Strategy 3,True
ARE,IND,1190.823874604111,2030,reference_policy,Direct,Strategy 3,True
ARG,THA,1353.5255744340511,2030,reference_policy,Direct,Strategy 3,True
ARM,IND,7.141582894956569,2030,reference_policy,Direct,Strategy 3,True
AUS,JPN,17646.687259594157,2030,reference_policy,Direct,Strategy 3,True
AUT,KOR,26486.995063529997,2030,reference_policy,Direct,Strategy 3,True
AZE,IND,237.88480877750376,2030,reference_policy,Direct,Strategy 3,True
BDI,IND,78.14964393436138,2030,reference_policy,Direct,Strategy 3,True
BEL,JPN,37841.79597544731,2030,reference_policy,Direct,Strategy 3,True
BEN,IND,214.1448733914073,2030,reference_policy,Direct,Strategy 3,True
BFA,IND,208.37547168791065,2030,reference_policy,Direct,Strategy 3,True
BGD,THA,1.057355941410688,2030,reference_policy,Direct,Strategy 3,True
BGR,CHN,676.8918418869739,2030,reference_policy,Direct,Strategy 3,True
BHR,IND,3.9431108908774446,2030,reference_policy,Direct,Strategy 3,True
BHS,CHN,0.0080356430415915,2030,reference_policy,Direct,Strategy 3,True
BIH,CHN,62.31948442184624,2030,reference_policy,Direct,Strategy 3,True
BLR,RUS,737.0331505967692,2030,reference_policy,Direct,Strategy 3,True
BMU,CHN,0.9462929709559008,2030,reference_policy,Direct,Strategy 3,True
BOL,CHN,541.589465913574,2030,reference_policy,Direct,Strategy 3,True
BRA,CHN,242752.9522530881,2030,reference_policy,Direct,Strategy 3,True
BRA,IND,189086.6187336621,2030,reference_policy,Direct,Strategy 3,True
BRA,RUS,35014.0537512584,2030,reference_policy,Direct,Strategy 3,True
BRB,CHN,69.96443951818505,2030,reference_policy,Direct,Strategy 3,True
BRN,THA,9.648582455127254,2030,reference_policy,Direct,Strategy 3,True
BWA,THA,149.2848677641601,2030,reference_policy,Direct,Strategy 3,True
CAN,CAN,80824.34208789561,2030,reference_policy,Direct,Strategy 3,False
CHE,KOR,20923.953559190428,2030,reference_policy,Direct,Strategy 3,True
CHL,THA,247.74467141147056,2030,reference_policy,Direct,Strategy 3,True
CHN,CHN,1815439.5866677614,2030,reference_policy,Direct,Strategy 3,False
CIV,IND,83.84733796275725,2030,reference_policy,Direct,Strategy 3,True
CMR,IND,1.89455515029836,2030,reference_policy,Direct,Strategy 3,True
COG,IND,3.5458555319440253,2030,reference_policy,Direct,Strategy 3,True
COL,CHN,1250.8845985223147,2030,reference_policy,Direct,Strategy 3,True
COM,THA,0.632384953677305,2030,reference_policy,Direct,Strategy 3,True
CPV,RUS,2.0859611473101696,2030,reference_policy,Direct,Strategy 3,True
CRI,CHN,325.90245982428337,2030,reference_policy,Direct,Strategy 3,True
CYM,CHN,4.02726612464818,2030,reference_policy,Direct,Strategy 3,True
CYP,IND,356.8651134868235,2030,reference_policy,Direct,Strategy 3,True
CZE,CZE,1000.0,2030,reference_policy,Direct,Strategy 3,False
CZE,KOR,8252.403041357735,2030,reference_policy,Direct,Strategy 3,True
DEU,KOR,295158.50131976756,2030,reference_policy,Direct,Strategy 3,True
DNK,KOR,19963.523429962253,2030,reference_policy,Direct,Strategy 3,True
DOM,CHN,419.58547213543864,2030,reference_policy,Direct,Strategy 3,True
DZA,RUS,234.28676272905244,2030,reference_policy,Direct,Strategy 3,True
ECU,CHN,332.8393765637618,2030,reference_policy,Direct,Strategy 3,True
EGY,IND,1343.234085757142,2030,reference_policy,Direct,Strategy 3,True
ESP,ESP,92000.0,2030,reference_policy,Direct,Strategy 3,False
ESP,KOR,7914.192987318485,2030,reference_policy,Direct,Strategy 3,True
EST,CHN,425.26727083277353,2030,reference_policy,Direct,Strategy 3,True
ETH,IND,220.68817122200392,2030,reference_policy,Direct,Strategy 3,True
FIN,KOR,10170.750723504174,2030,reference_policy,Direct,Strategy 3,True
FJI,CHN,14.391189121047427,2030,reference_policy,Direct,Strategy 3,True
FRA,JPN,3600.4504823180323,2030,reference_policy,Direct,Strategy 3,True
FRA,KOR,192162.11543112042,2030,reference_policy,Direct,Strategy 3,True
GBR,GBR,122740.0614978369,2030,reference_policy,Direct,Strategy 3,False
GBR,JPN,24124.616846649842,2030,reference_policy,Direct,Strategy 3,True
GEO,CHN,26.582079099728805,2030,reference_policy,Direct,Strategy 3,True
GHA,IND,28.977287655250336,2030,reference_policy,Direct,Strategy 3,True
GIN,IND,1.7305286119958816,2030,reference_policy,Direct,Strategy 3,True
GRC,KOR,34939.923521962424,2030,reference_policy,Direct,Strategy 3,True
GRD,CHN,14.913272196177994,2030,reference_policy,Direct,Strategy 3,True
GRL,CHN,0.49243228256680494,2030,reference_policy,Direct,Strategy 3,True
GTM,CHN,848.5417024292658,2030,reference_policy,Direct,Strategy 3,True
GUY,CHN,300.2424009192846,2030,reference_policy,Direct,Strategy 3,True
HND,CHN,117.05359251136369,2030,reference_policy,Direct,Strategy 3,True
HRV,RUS,559.1047819980948,2030,reference_policy,Direct,Strategy 3,True
HUN,HUN,2734.2804273124434,2030,reference_policy,Direct,Strategy 3,False
IDN,THA,15502.243124160617,2030,reference_policy,Direct,Strategy 3,True
IND,IND,22668.140457576126,2030,reference_policy,Direct,Strategy 3,False
IRL,JPN,4636.8974061317185,2030,reference_policy,Direct,Strategy 3,True
IRN,IND,79.80538365867403,2030,reference_policy,Direct,Strategy 3,True
ISL,JPN,921.4040388661083,2030,reference_policy,Direct,Strategy 3,True
ISR,IND,21799.260556010428,2030,reference_policy,Direct,Strategy 3,True
ITA,ITA,90000.0,2030,reference_policy,Direct,Strategy 3,False
ITA,KOR,113314.92554598386,2030,reference_policy,Direct,Strategy 3,True
JAM,CHN,0.9796723210896155,2030,reference_policy,Direct,Strategy 3,True
JOR,IND,420.19991180623344,2030,reference_policy,Direct,Strategy 3,True
JPN,JPN,16683.11381789768,2030,reference_policy,Direct,Strategy 3,False
KAZ,CHN,811.9780017382318,2030,reference_policy,Direct,Strategy 3,True
KEN,IND,2081.1795614135135,2030,reference_policy,Direct,Strategy 3,True
KGZ,CHN,4.345252243465452,2030,reference_policy,Direct,Strategy 3,True
KHM,THA,260.4821757065232,2030,reference_policy,Direct,Strategy 3,True
KIR,CHN,0.7759004111179528,2030,reference_policy,Direct,Strategy 3,True
KOR,KOR,75305.90842068812,2030,reference_policy,Direct,Strategy 3,False
KWT,IND,20.616943193814933,2030,reference_policy,Direct,Strategy 3,True
LAO,THA,754.9139779050738,2030,reference_policy,Direct,Strategy 3,True
LBN,IND,991.3807006660692,2030,reference_policy,Direct,Strategy 3,True
LCA,CHN,5.670065799300402,2030,reference_policy,Direct,Strategy 3,True
LKA,THA,6285.289199439168,2030,reference_policy,Direct,Strategy 3,True
LSO,THA,37.13568751887812,2030,reference_policy,Direct,Strategy 3,True
LTU,RUS,806.9423193972799,2030,reference_policy,Direct,Strategy 3,True
LUX,KOR,731.9105790113268,2030,reference_policy,Direct,Strategy 3,True
LVA,CHN,485.0974710262416,2030,reference_policy,Direct,Strategy 3,True
MAR,RUS,390.8901045217784,2030,reference_policy,Direct,Strategy 3,True
MDA,CHN,106.99751721687664,2030,reference_policy,Direct,Strategy 3,True
MDG,THA,90.64642686306038,2030,reference_policy,Direct,Strategy 3,True
MDV,THA,32.973247556954284,2030,reference_policy,Direct,Strategy 3,True
MEX,CHN,5166.242844981432,2030,reference_policy,Direct,Strategy 3,True
MKD,CHN,62.84097603234316,2030,reference_policy,Direct,Strategy 3,True
MLI,IND,24.123352066884728,2030,reference_policy,Direct,Strategy 3,True
