"year","strategy","open_cross_border","critical_cross_border","delta_cross_border","delta_pct","open_share","critical_share"
"2025","Strategy 2","205717.83339916222","115475.49163963346","-90242.34175952876","-43.86704850445711","0.5698369456151328","0.31986629628582564"
"2025","Strategy 3","226791.09284548045","217272.16250907024","-9518.930336410209","-4.197224069507765","0.5935618691439496","0.5686487475048196"
"2030","Strategy 2","1473014.6046872956","1437238.211524817","-35776.39316247869","-2.428787402964927","0.3411948929215737","0.3329079943427348"
"2030","Strategy 3","1590504.9759000274","1440038.291654347","-150466.68424568046","-9.46030892864922","0.3492743568556942","0.3162319236885928"
"2035","Strategy 2","6881653.720454106","4366432.302614534","-2515221.417839572","-36.54966553117406","0.3899647038030342","0.2474339088733916"
"2035","Strategy 3","8083194.575883071","6428846.506877839","-1654348.0690052323","-20.466513003919594","0.4257693739832817","0.3386292296902862"
"2040","Strategy 2","12674862.766256697","6763386.624449325","-5911476.141807373","-46.63936999416701","0.3368413493108493","0.17974066611241768"
"2040","Strategy 3","19020226.10378349","14182091.894421136","-4838134.209362352","-25.436785992780365","0.43253397897635787","0.3225112363980841"
"2045","Strategy 2","37563212.60421606","31995614.350954663","-5567598.2532613985","-14.821943777611013","0.5439635263192231","0.4633375582774775"
"2045","Strategy 3","55851503.89366832","51380822.05907592","-4470681.8345923945","-8.004586309983353","0.6394506653026014","0.5882652848886919"
"2050","Strategy 2","50396625.00058615","45866850.923234105","-4529774.077352047","-8.988248870434001","0.58560960748469","0.5329735585547944"
"2050","Strategy 3","80806780.24975458","72082387.20150626","-8724393.04824832","-10.79661016227016","0.6938077069559658","0.6188999935601445"
