year,country,eol_lithium_t,manufacturing_lithium_t
2010,China,0.0,0.0
2011,China,0.005655016267205265,0.0
2012,China,0.0572771419658817,0.0
2013,China,0.265782269747481,0.0
2014,China,0.8759682615128923,0.0
2015,China,2.455721737369265,61.89629903621679
2016,China,6.615590268464595,246.31324814937275
2017,China,17.182543618197723,372.10836846257325
2018,China,42.2444612084139,518.3004761469551
2019,China,98.57332660738994,877.2291883780392
2020,China,215.26510880692393,1006.7308531120156
2021,China,429.02448367470015,1364.2340715056052
2022,China,792.4021818759096,2591.531226564348
2023,China,1374.1019404204526,4600.515965857357
2024,China,2301.950868076921,6229.817001664708
2025,China,3846.0914446809256,8207.391500854916
2026,China,6472.502239186048,10330.386707841504
2027,China,10876.605748814558,10597.511901094993
2028,China,17913.59152130343,12939.494441961826
2029,China,28499.387639818553,14642.513087919431
2030,China,43598.60376104637,13974.263991610078
2031,China,64453.72172915446,15081.320650488127
2032,China,92129.47257272614,14518.210155602654
2033,China,127074.08095864108,12946.794516969609
2034,China,168465.98607726532,13558.740828405722
2035,China,213872.22061024397,13997.957284960332
2036,China,259692.61962284936,14135.195618791035
2037,China,301420.19523251505,14316.349608174345
2038,China,334744.25120939704,14514.268131242177
2039,China,356912.1871803207,14764.3663284311
2040,China,367503.3335026997,15043.378106264621
2041,China,368647.15358782734,15346.32498780838
2042,China,363993.4022492138,15685.729413721076
2043,China,357491.98046520504,16016.687883627606
2044,China,352032.6670611338,16368.406071534018
2045,China,348787.55728876864,16709.993863302465
2046,China,347844.7973063579,17072.440417728787
2047,China,349141.51812373986,17449.33136705413
2048,China,352316.9783481887,17837.948346699122
2049,China,356441.2770157897,18252.097982588217
2050,China,360383.1080099227,18660.70932495905
2010,Germany,0.0,0.0
2011,Germany,0.000199346947713195,0.0
2012,Germany,0.0026626282138619978,0.0
2013,Germany,0.017038172036103937,0.0
2014,Germany,0.07843424977643676,0.0
2015,Germany,0.29920284906433037,0.0
2016,Germany,0.9580641884988852,0.0
2017,Germany,2.5660205064576926,0.0
2018,Germany,5.913294300963258,0.0
2019,Germany,12.203127852501474,0.0
2020,Germany,23.448273838571463,0.0
2021,Germany,44.464241445729755,26.108186374310655
2022,Germany,87.79967148020577,46.06964364258288
2023,Germany,184.6732983251633,78.4566994148922
2024,Germany,395.9586208313517,203.6023020470853
2025,Germany,938.668995699113,239.4578729438041
2026,Germany,1980.3664417522523,361.06339251218355
2027,Germany,3088.251693543648,551.7225338766503
2028,Germany,3954.382706838447,654.4505622763022
2029,Germany,4645.212731539593,838.5285220595233
2030,Germany,5202.939489763787,948.1629150638142
2031,Germany,5410.034212689372,1109.725624525719
2032,Germany,5212.0643963364455,1217.9602597149799
2033,Germany,4856.707192933961,1254.7927596435845
2034,Germany,4571.481338076717,1246.3443501977852
2035,Germany,4433.487353591878,1312.1609559547692
2036,Germany,4408.717947392408,1352.620131437094
2037,Germany,4452.848657640874,1393.2816836140976
2038,Germany,4549.618943493953,1432.5804222900624
2039,Germany,4693.214740243366,1474.755669235953
2040,Germany,4866.581226473585,1518.0845958507307
2041,Germany,5037.191967384015,1562.4672097799817
2042,Germany,5162.506931515329,1609.4882283932623
2043,Germany,5208.084530574085,1654.7685218675817
2044,Germany,5159.975476657364,1701.4643229595395
2045,Germany,5033.44378020379,1746.4933885785294
2046,Germany,4871.780858103601,1793.181405630324
2047,Germany,4728.362224929031,1840.953218975443
2048,Germany,4637.985951163251,1889.5966086994133
2049,Germany,4605.90631676034,1940.6395150764856
2050,Germany,4621.720759995958,1990.8324910128094
2010,Japan,0.0,0.0
2011,Japan,0.0010947919216654461,0.0
2012,Japan,0.01228521762027985,0.0
2013,Japan,0.07445466873340119,0.0
2014,Japan,0.323113089274218,0.0
2015,Japan,0.9950695591028793,6.291387301807437
2016,Japan,2.3966643988176926,26.130049899316354
2017,Japan,4.790050216749346,27.85112794029603
2018,Japan,8.361488405874582,28.25819231988109
2019,Japan,13.148043077271836,38.10805832828168
2020,Japan,19.163045988328527,31.41945098031546
2021,Japan,26.49694691953102,25.021398769412954
2022,Japan,35.29169354019027,35.03036514860102
2023,Japan,45.484110122395236,44.28609814059255
2024,Japan,56.706247317448884,64.44384540001721
2025,Japan,69.58286073291006,102.44323441087768
2026,Japan,87.24180705749794,104.10172594554088
2027,Japan,114.77227530702183,101.54039047520477
2028,Japan,156.16983200045536,110.47310900918323
2029,Japan,211.40516858549242,124.74851454313831
2030,Japan,277.04696810151506,144.2516463354471
2031,Japan,349.7301593122849,183.81072988266212
2032,Japan,428.9716449292948,218.7206914277801
2033,Japan,516.2692214382007,230.15812989668663
2034,Japan,612.7788213026113,255.02920762757992
2035,Japan,719.3223115653477,291.1418054441148
2036,Japan,836.6080979312475,307.5962615886698
2037,Japan,965.1430931971777,323.0349617293718
2038,Japan,1106.550472944281,337.3761602483818
2039,Japan,1263.309866389487,351.8096435230608
2040,Japan,1438.002914956604,366.0772900438853
2041,Japan,1632.376478295263,380.25627614436047
2042,Japan,1844.411074647074,394.80955342154124
2043,Japan,2069.5713640981903,408.7194437091882
2044,Japan,2303.5955111087264,422.7996556029241
2045,Japan,2545.4742910364057,436.31573288172007
2046,Japan,2795.2246579607317,450.1195980157526
2047,Japan,3051.236429778428,464.09071476428124
2048,Japan,3309.766218817259,478.19353881243217
2049,Japan,3565.594399924442,492.83041949547857
2050,Japan,3813.2220241381656,507.1890869477399
2010,Korea,0.0,0.0
2011,Korea,3.2396262543547496e-05,0.0
2012,Korea,0.0003372613915803937,0.0
2013,Korea,0.0018225084150294188,0.0
2014,Korea,0.007307794916555304,0.0
2015,Korea,0.02211166388175803,4.561255793810391
2016,Korea,0.06000097761659031,19.597524897433967
2017,Korea,0.1608514873142199,21.584202313778608
2018,Korea,0.42219496412069896,21.892711062531028
2019,Korea,1.1568684568109293,40.84333581514458
2020,Korea,3.182287666302226,38.03637745791008
2021,Korea,7.722941199294839,29.527763296125265
2022,Korea,16.622386632509283,34.27100381365636
2023,Korea,33.1646725390176,67.09197535915318
2024,Korea,63.58748286612694,70.35507310098798
2025,Korea,118.6986020965584,104.52303709341128
2026,Korea,214.62169100266632,177.8014372776851
2027,Korea,370.28451641931645,211.90748289414125
2028,Korea,599.359093211553,246.34688831445558
2029,Korea,899.7882042477271,272.6020431793827
2030,Korea,1250.2371403537188,287.92378466433183
2031,Korea,1616.548510220016,317.9245569179862
2032,Korea,1961.3316074459808,335.6065469225275
2033,Korea,2248.6910854578846,327.5687548603031
2034,Korea,2448.1901274534484,337.28625146005754
2035,Korea,2548.5425473012733,352.73338174113576
2036,Korea,2563.839084655533,362.1568702436245
2037,Korea,2519.167870467779,371.8408243855842
2038,Korea,2449.949043209159,381.31290350243984
2039,Korea,2389.1034928719455,391.66430873834554
2040,Korea,2358.059888943223,402.4077940538993
2041,Korea,2364.125903123242,413.49717564593107
2042,Korea,2398.0444983188936,425.33682517238276
2043,Korea,2442.9113643039273,436.75849497490054
2044,Korea,2483.7968122916413,448.5886073077177
2045,Korea,2513.384200878996,460.008422137398
2046,Korea,2529.045773555319,471.8897945913958
2047,Korea,2530.7671584997242,484.0767369308186
2048,Korea,2517.205958912273,496.509957930875
2049,Korea,2489.896623937234,509.58789275014686
2050,Korea,2454.1548838075905,522.454763732012
2010,USA,0.0,0.0
2011,USA,0.002670669604523775,0.0
2012,USA,0.03409541559049571,0.0
2013,USA,0.2307436643301776,0.0
2014,USA,1.1223278295891637,0.0
2015,USA,4.022032707938703,5.400138987329575
2016,USA,11.01752424503038,34.40567884950969
2017,USA,24.741757505886714,64.31443665471356
2018,USA,47.95319366713923,65.53315665729019
2019,USA,84.24967545897502,107.08789663326023
2020,USA,137.01936781197844,125.35643958585757
2021,USA,211.38791910421153,130.38703338981696
2022,USA,317.7061914844372,432.7873917614456
2023,USA,468.94958362503917,472.8147035261349
2024,USA,681.1344257723285,764.7582592724312
2025,USA,1002.5086925670248,878.50092271769
2026,USA,1530.2312960437534,1385.640794479012
2027,USA,2414.7013052109114,1634.7616147660258
2028,USA,3827.3888017103836,1799.671547284049
2029,USA,5860.84643753743,2002.3493658380942
2030,USA,8606.78681473236,2364.697412901554
2031,USA,12070.68266759525,2745.058963845893
2032,USA,16358.938506487972,3112.704119079328
2033,USA,21683.454828943704,3421.9600974587315
2034,USA,28351.145098087796,3666.568497209429
2035,USA,36709.571306917955,4058.441106300241
2036,USA,46985.630030084125,4254.938343411041
2037,USA,59069.293936394424,4441.939290170155
2038,USA,72452.17297617011,4617.137021169558
2039,USA,86439.23163344071,4796.021410293428
2040,USA,100334.61758054867,4974.44854547125
2041,USA,113471.09189889046,5153.057406812545
2042,USA,125163.49127023603,5337.811945556073
2043,USA,134899.9031701091,5514.728395848775
2044,USA,142400.35047368536,5694.651070995207
2045,USA,147747.96372251472,5867.564164764679
2046,USA,151267.35321742657,6044.8419761840005
2047,USA,153531.1302509519,6224.77313935591
2048,USA,155106.37586600363,6406.81142825959
2049,USA,156428.16823697562,6596.287061777649
2050,USA,157800.20402357023,6782.278528909383
