year,country,eol_lithium_t,manufacturing_lithium_t
2010,China,0.0,0.0
2011,China,0.005655016267205265,0.0
2012,China,0.0572771419658817,0.0
2013,China,0.265782269747481,0.0
2014,China,0.8759682615128923,0.0
2015,China,2.455721737369265,61.89629903621679
2016,China,6.615590268464595,246.31324814937275
2017,China,17.182543618197723,372.10836846257325
2018,China,42.2444612084139,518.3004761469551
2019,China,98.57332660738994,877.2291883780392
2020,China,215.26510880692393,1006.7308531120156
2021,China,429.02448367470015,1364.2340715056052
2022,China,792.4021818759096,2591.531226564348
2023,China,1374.1019404204526,4600.515965857357
2024,China,2301.950868076921,6229.817001664708
2025,China,3846.0914446809256,8207.391500854916
2026,China,6472.502239186048,10330.386707841504
2027,China,10876.605748814558,10597.511901094993
2028,China,17913.59152130343,12939.494441961826
2029,China,28499.387639818553,14642.513087919431
2030,China,43598.60376104637,13974.263991610078
2010,Germany,0.0,0.0
2011,Germany,0.000199346947713195,0.0
2012,Germany,0.0026626282138619978,0.0
2013,Germany,0.017038172036103937,0.0
2014,Germany,0.07843424977643676,0.0
2015,Germany,0.29920284906433037,0.0
2016,Germany,0.9580641884988852,0.0
2017,Germany,2.5660205064576926,0.0
2018,Germany,5.913294300963258,0.0
2019,Germany,12.203127852501474,0.0
2020,Germany,23.448273838571463,0.0
2021,Germany,44.464241445729755,26.108186374310655
2022,Germany,87.79967148020577,46.06964364258288
2023,Germany,184.6732983251633,78.4566994148922
2024,Germany,395.9586208313517,203.6023020470853
2025,Germany,938.668995699113,239.4578729438041
2026,Germany,1980.3664417522523,361.06339251218355
2027,Germany,3088.251693543648,551.7225338766503
2028,Germany,3954.382706838447,654.4505622763022
2029,Germany,4645.212731539593,838.5285220595233
2030,Germany,5202.939489763787,948.1629150638142
2010,Japan,0.0,0.0
2011,Japan,0.0010947919216654461,0.0
2012,Japan,0.01228521762027985,0.0
2013,Japan,0.07445466873340119,0.0
2014,Japan,0.323113089274218,0.0
2015,Japan,0.9950695591028793,6.291387301807437
2016,Japan,2.3966643988176926,26.130049899316354
2017,Japan,4.790050216749346,27.85112794029603
2018,Japan,8.361488405874582,28.25819231988109
2019,Japan,13.148043077271836,38.10805832828168
2020,Japan,19.163045988328527,31.41945098031546
2021,Japan,26.49694691953102,25.021398769412954
2022,Japan,35.29169354019027,35.03036514860102
2023,Japan,45.484110122395236,44.28609814059255
2024,Japan,56.706247317448884,64.44384540001721
2025,Japan,69.58286073291006,102.44323441087768
2026,Japan,87.24180705749794,104.10172594554088
2027,Japan,114.77227530702183,101.54039047520477
2028,Japan,156.16983200045536,110.47310900918323
2029,Japan,211.40516858549242,124.74851454313831
2030,Japan,277.04696810151506,144.2516463354471
2010,Korea,0.0,0.0
2011,Korea,3.2396262543547496e-05,0.0
2012,Korea,0.0003372613915803937,0.0
2013,Korea,0.0018225084150294188,0.0
2014,Korea,0.007307794916555304,0.0
2015,Korea,0.02211166388175803,4.561255793810391
2016,Korea,0.06000097761659031,19.597524897433967
2017,Korea,0.1608514873142199,21.584202313778608
2018,Korea,0.42219496412069896,21.892711062531028
2019,Korea,1.1568684568109293,40.84333581514458
2020,Korea,3.182287666302226,38.03637745791008
2021,Korea,7.722941199294839,29.527763296125265
2022,Korea,16.622386632509283,34.27100381365636
2023,Korea,33.1646725390176,67.09197535915318
2024,Korea,63.58748286612694,70.35507310098798
2025,Korea,118.6986020965584,104.52303709341128
2026,Korea,214.62169100266632,177.8014372776851
2027,Korea,370.28451641931645,211.90748289414125
2028,Korea,599.359093211553,246.34688831445558
2029,Korea,899.7882042477271,272.6020431793827
2030,Korea,1250.2371403537188,287.92378466433183
2010,USA,0.0,0.0
2011,USA,0.002670669604523775,0.0
2012,USA,0.03409541559049571,0.0
2013,USA,0.2307436643301776,0.0
2014,USA,1.1223278295891637,0.0
2015,USA,4.022032707938703,5.400138987329575
2016,USA,11.01752424503038,34.40567884950969
2017,USA,24.741757505886714,64.31443665471356
2018,USA,47.95319366713923,65.53315665729019
2019,USA,84.24967545897502,107.08789663326023
2020,USA,137.01936781197844,125.35643958585757
2021,USA,211.38791910421153,130.38703338981696
2022,USA,317.7061914844372,432.7873917614456
2023,USA,468.94958362503917,472.8147035261349
2024,USA,681.1344257723285,764.7582592724312
2025,USA,1002.5086925670248,878.50092271769
2026,USA,1530.2312960437534,1385.640794479012
2027,USA,2414.7013052109114,1634.7616147660258
2028,USA,3827.3888017103836,1799.671547284049
2029,USA,5860.84643753743,2002.3493658380942
2030,USA,8606.78681473236,2364.697412901554
