Year,region,scrap,inuse_sum
2015,China,3615.47773704312,3615.47773704312
2015,France,7.499854717257403,7.499854717257403
2015,Japan,367.49161224471936,367.49161224471936
2015,Korea,266.4314188774215,266.4314188774215
2015,Poland,269.9947698212665,269.9947698212665
2015,USA,315.4321435956085,315.4321435956085
2015,United Kingdom,89.99825660708882,89.99825660708882
2016,China,14848.0088648415,14848.0088648415
2016,France,32.68341536976749,32.68341536976749
2016,Japan,1575.145533010535,1575.145533010535
2016,Korea,1181.358394614604,1181.358394614604
2016,Poland,1176.6029533116296,1176.6029533116296
2016,USA,2074.0087201830456,2074.0087201830456
2016,United Kingdom,392.2009844372099,392.2009844372099
2017,China,21050.684518852257,21050.684518852257
2017,France,86.33381706404691,86.33381706404691
2017,Japan,1575.5767874495732,1575.5767874495732
2017,Korea,1221.0481462045761,1221.0481462045761
2017,Poland,3108.0174143056884,3108.0174143056884
2017,USA,3638.3565401116603,3638.3565401116603
2017,United Kingdom,1036.0058047685627,1036.0058047685627
2018,China,30997.15407926999,30997.15407926999
2018,France,73.47115072438216,73.47115072438216
2018,Hungary,1322.4807130388788,1322.4807130388788
2018,Japan,1689.9917743711371,1689.9917743711371
2018,Korea,1309.3017839053734,1309.3017839053734
2018,Poland,2644.9614260777576,2644.9614260777576
2018,USA,3919.2349760277093,3919.2349760277093
2018,United Kingdom,881.6538086925859,881.6538086925859
2019,China,54114.205742428545,54114.205742428545
2019,France,82.83423108075225,82.83423108075225
2019,Hungary,3976.043091876107,3976.043091876107
2019,Japan,2350.7965035158054,2350.7965035158054
2019,Korea,2519.5293394128985,2519.5293394128985
2019,Poland,2982.0323189070805,2982.0323189070805
2019,USA,6606.000515841064,6606.000515841064
2019,United Kingdom,994.0107729690268,994.0107729690268
2020,China,62759.28497874191,62759.28497874191
2020,France,47.9773590287318,47.9773590287318
2020,Hungary,6045.1472376202055,6045.1472376202055
2020,Japan,1958.6786993304036,1958.6786993304036
2020,Korea,2371.1758163175764,2371.1758163175764
2020,Poland,1727.1849250343444,1727.1849250343444
2020,USA,7814.681045653731,7814.681045653731
2020,United Kingdom,575.7283083447817,575.7283083447817
2021,Australia,201.610958514142,201.610958514142
2021,China,81476.42873007382,81476.42873007382
2021,Czechia,141.75132011489455,141.75132011489455
2021,France,23.625220019149097,23.625220019149097
2021,Germany,1559.2645212638397,1559.2645212638397
2021,Hungary,3969.0369632170473,3969.0369632170473
2021,India,1344.0730567609467,1344.0730567609467
2021,Japan,1494.3580842493677,1494.3580842493677
