policy_id,policy_region,country,object_scope,policy_status,start_year,end_year,collection_rate_floor,li_recovery_efficiency_floor,recycled_content_li_min,traceability_requirement,battery_passport_requirement,epr_strength,storage_deployment_target_gwh,ev_sales_target,domestic_content_pressure,hazardous_transport_penalty,source_basis,source_url,notes,Year,iso3,continent,effective_object_scope
EU_BATT_REG_EV_2027,EU,Austria,ev_power_battery,in_force,2027,2030,,0.5,,0.8,0.6,0.8,,,0.3,0.3,regulation,https://eur-lex.europa.eu/eli/reg/2023/1542/oj/eng,EU Batteries Regulation material recovery target for lithium by end-2027 and sustainability documentation requirements.,2027,AUT,Europe,ev_power_battery
EU_BATT_REG_EV_2027,EU,Austria,ev_power_battery,in_force,2027,2030,,0.5,,0.8,0.6,0.8,,,0.3,0.3,regulation,https://eur-lex.europa.eu/eli/reg/2023/1542/oj/eng,EU Batteries Regulation material recovery target for lithium by end-2027 and sustainability documentation requirements.,2030,AUT,Europe,ev_power_battery
EU_BATT_REG_EV_2027,EU,Belgium,ev_power_battery,in_force,2027,2030,,0.5,,0.8,0.6,0.8,,,0.3,0.3,regulation,https://eur-lex.europa.eu/eli/reg/2023/1542/oj/eng,EU Batteries Regulation material recovery target for lithium by end-2027 and sustainability documentation requirements.,2027,BEL,Europe,ev_power_battery
EU_BATT_REG_EV_2027,EU,Belgium,ev_power_battery,in_force,2027,2030,,0.5,,0.8,0.6,0.8,,,0.3,0.3,regulation,https://eur-lex.europa.eu/eli/reg/2023/1542/oj/eng,EU Batteries Regulation material recovery target for lithium by end-2027 and sustainability documentation requirements.,2030,BEL,Europe,ev_power_battery
EU_BATT_REG_EV_2027,EU,Bulgaria,ev_power_battery,in_force,2027,2030,,0.5,,0.8,0.6,0.8,,,0.3,0.3,regulation,https://eur-lex.europa.eu/eli/reg/2023/1542/oj/eng,EU Batteries Regulation material recovery target for lithium by end-2027 and sustainability documentation requirements.,2027,BGR,Europe,ev_power_battery
EU_BATT_REG_EV_2027,EU,Bulgaria,ev_power_battery,in_force,2027,2030,,0.5,,0.8,0.6,0.8,,,0.3,0.3,regulation,https://eur-lex.europa.eu/eli/reg/2023/1542/oj/eng,EU Batteries Regulation material recovery target for lithium by end-2027 and sustainability documentation requirements.,2030,BGR,Europe,ev_power_battery
EU_BATT_REG_EV_2027,EU,Cyprus,ev_power_battery,in_force,2027,2030,,0.5,,0.8,0.6,0.8,,,0.3,0.3,regulation,https://eur-lex.europa.eu/eli/reg/2023/1542/oj/eng,EU Batteries Regulation material recovery target for lithium by end-2027 and sustainability documentation requirements.,2027,CYP,Europe,ev_power_battery
EU_BATT_REG_EV_2027,EU,Cyprus,ev_power_battery,in_force,2027,2030,,0.5,,0.8,0.6,0.8,,,0.3,0.3,regulation,https://eur-lex.europa.eu/eli/reg/2023/1542/oj/eng,EU Batteries Regulation material recovery target for lithium by end-2027 and sustainability documentation requirements.,2030,CYP,Europe,ev_power_battery
EU_BATT_REG_EV_2027,EU,Czechia,ev_power_battery,in_force,2027,2030,,0.5,,0.8,0.6,0.8,,,0.3,0.3,regulation,https://eur-lex.europa.eu/eli/reg/2023/1542/oj/eng,EU Batteries Regulation material recovery target for lithium by end-2027 and sustainability documentation requirements.,2027,CZE,Europe,ev_power_battery
EU_BATT_REG_EV_2027,EU,Czechia,ev_power_battery,in_force,2027,2030,,0.5,,0.8,0.6,0.8,,,0.3,0.3,regulation,https://eur-lex.europa.eu/eli/reg/2023/1542/oj/eng,EU Batteries Regulation material recovery target for lithium by end-2027 and sustainability documentation requirements.,2030,CZE,Europe,ev_power_battery
