Year,recycling_m,target_2050_eff,li_recovery_efficiency,contained_lithium,recycled_lithium,primary_lithium_gap
2025,Pyro,0.1,0.0625,5149.963360461225,321.8727100288266,4828.090650432398
2030,Pyro,0.1,0.07,60366.12544234583,4225.628780964208,56140.49666138162
2035,Pyro,0.1,0.0775,256689.80684283853,19893.460030319988,236796.34681251855
2040,Pyro,0.1,0.085,592934.208831693,50399.407750693914,542534.8010809991
2045,Pyro,0.1,0.0925,1135686.204896523,105050.97395292837,1030635.2309435946
2050,Pyro,0.1,0.1,1518186.1597691379,151818.6159769138,1366367.543792224
2025,Pyro,0.2,0.0625,5149.963360461225,321.8727100288266,4828.090650432398
2030,Pyro,0.2,0.09,60366.12544234583,5432.951289811124,54933.1741525347
2035,Pyro,0.2,0.11750000000000001,256689.80684283853,30161.05230403353,226528.754538805
2040,Pyro,0.2,0.14500000000000002,592934.208831693,85975.46028059551,506958.7485510975
2045,Pyro,0.2,0.17250000000000001,1135686.204896523,195905.87034465023,939780.3345518727
2050,Pyro,0.2,0.2,1518186.1597691379,303637.2319538276,1214548.9278153102
2025,Pyro,0.3,0.0625,5149.963360461225,321.8727100288266,4828.090650432398
2030,Pyro,0.3,0.11,60366.12544234583,6640.273798658041,53725.85164368779
2035,Pyro,0.3,0.1575,256689.80684283853,40428.644577747065,216261.16226509147
2040,Pyro,0.3,0.205,592934.208831693,121551.51281049706,471382.69602119597
2045,Pyro,0.3,0.2525,1135686.204896523,286760.766736372,848925.4381601509
2050,Pyro,0.3,0.3,1518186.1597691379,455455.8479307413,1062730.3118383966
2025,Hydro,0.85,0.8658,5149.963360461225,4458.838277487329,691.1250829738965
2030,Hydro,0.85,0.86264,60366.12544234583,52074.2344515852,8291.890990760628
2035,Hydro,0.85,0.85948,256689.80684283853,220619.75518528288,36070.051657555654
2040,Hydro,0.85,0.85632,592934.208831693,507741.42170675535,85192.78712493769
2045,Hydro,0.85,0.85316,1135686.204896523,968922.0425695175,166764.1623270054
2050,Hydro,0.85,0.85,1518186.1597691379,1290458.235803767,227727.92396537075
2025,Hydro,0.9,0.8658,5149.963360461225,4458.838277487329,691.1250829738965
2030,Hydro,0.9,0.87264,60366.12544234583,52677.89570600866,7688.229736337169
2035,Hydro,0.9,0.87948,256689.80684283853,225753.55132213965,30936.255520698876
2040,Hydro,0.9,0.88632,592934.208831693,525529.4479717062,67404.76085998688
2045,Hydro,0.9,0.8931600000000001,1135686.204896523,1014349.4907653785,121336.71413114446
2050,Hydro,0.9,0.9,1518186.1597691379,1366367.543792224,151818.61597691383
2025,Hydro,0.95,0.8658,5149.963360461225,4458.838277487329,691.1250829738965
2030,Hydro,0.95,0.88264,60366.12544234583,53281.55696043212,7084.56848191371
2035,Hydro,0.95,0.89948,256689.80684283853,230887.34745899637,25802.459383842157
2040,Hydro,0.95,0.91632,592934.208831693,543317.474236657,49616.73459503602
2045,Hydro,0.95,0.93316,1135686.204896523,1059776.9389612393,75909.26593528362
2050,Hydro,0.95,0.95,1518186.1597691379,1442276.851780681,75909.30798845692
2025,Direct,0.85,0.7925,5149.963360461225,4081.345963165521,1068.6173972957044
2030,Direct,0.85,0.8039999999999999,60366.12544234583,48534.36485564605,11831.760586699784
2035,Direct,0.85,0.8155,256689.80684283853,209330.5374803348,47359.26936250372
2040,Direct,0.85,0.827,592934.208831693,490356.5907038101,102577.61812788295
2045,Direct,0.85,0.8385,1135686.204896523,952272.8828057345,183413.3220907884
2050,Direct,0.85,0.85,1518186.1597691379,1290458.235803767,227727.92396537075
2025,Direct,0.9,0.7925,5149.963360461225,4081.345963165521,1068.6173972957044
2030,Direct,0.9,0.814,60366.12544234583,49138.026110069506,11228.099332276324
2035,Direct,0.9,0.8355,256689.80684283853,214464.3336171916,42225.47322564694
2040,Direct,0.9,0.857,592934.208831693,508144.6169687609,84789.59186293214
2045,Direct,0.9,0.8785000000000001,1135686.204896523,997700.3310015955,137985.87389492744
2050,Direct,0.9,0.9,1518186.1597691379,1366367.543792224,151818.61597691383
2025,Direct,0.95,0.7925,5149.963360461225,4081.345963165521,1068.6173972957044
2030,Direct,0.95,0.824,60366.12544234583,49741.68736449296,10624.438077852872
2035,Direct,0.95,0.8554999999999999,256689.80684283853,219598.12975404834,37091.677088790195
2040,Direct,0.95,0.887,592934.208831693,525932.6432337117,67001.56559798133
2045,Direct,0.95,0.9185,1135686.204896523,1043127.7791974563,92558.4256990666
2050,Direct,0.95,0.95,1518186.1597691379,1442276.851780681,75909.30798845692
