Year,recycling_m,li_recovery_case,start_eff,max_eff,midpoint,k,li_recovery_efficiency,contained_lithium,recycled_lithium,primary_lithium_gap
2025,Pyro,low,0.05,0.1,2040,0.12,0.057092553245024394,5149.963360461225,294.02455736705724,4855.938803094168
2030,Pyro,low,0.05,0.1,2040,0.12,0.061573760825049124,60366.12544234583,3716.969369921915,56649.15607242392
2035,Pyro,low,0.05,0.1,2040,0.12,0.06771718468871023,256689.80684283853,17382.311057685853,239307.49578515269
2040,Pyro,low,0.05,0.1,2040,0.12,0.07500000000000001,592934.208831693,44470.06566237698,548464.1431693161
2045,Pyro,low,0.05,0.1,2040,0.12,0.08228281531128978,1135686.204896523,93447.4582490802,1042238.7466474427
2050,Pyro,low,0.05,0.1,2040,0.12,0.08842623917495088,1518186.1597691379,134247.49247584597,1383938.667293292
2025,Pyro,baseline,0.06,0.2,2040,0.16,0.07164417750914913,5149.963360461225,368.9648891624982,4780.998471298727
2030,Pyro,baseline,0.06,0.2,2040,0.16,0.08351742608125057,60366.12544234583,5041.623419442617,55324.502022903216
2035,Pyro,baseline,0.06,0.2,2040,0.16,0.10340357264213426,256689.80684283853,26542.643088368866,230147.16375446966
2040,Pyro,baseline,0.06,0.2,2040,0.16,0.13,592934.208831693,77081.4471481201,515852.76168357296
2045,Pyro,baseline,0.06,0.2,2040,0.16,0.15659642735786575,1135686.204896523,177844.4022864086,957841.8026101143
2050,Pyro,baseline,0.06,0.2,2040,0.16,0.17648257391874944,1518186.1597691379,267933.4011638792,1250252.7586052585
2025,Pyro,high,0.1,0.3,2038,0.22,0.11083334009624722,5149.963360461225,570.7876406132112,4579.1757198480145
2030,Pyro,high,0.1,0.3,2038,0.22,0.1293580679602765,60366.12544234583,7808.845357469548,52557.280084876285
2035,Pyro,high,0.1,0.3,2038,0.22,0.16814792230972292,256689.80684283853,43161.8576987074,213527.94914413113
