materials,NMC811 ,NMC111,NMC523,NMC622,NCA,LFP,recycling_m
Lithium Carbonate (crude),0.197670695,0.216597026,0.209614415,0.207227963,0.204648724,0.136409558,Hydro
Co2+ in product,0.034579702,0.126301991,0.073338176,0.072503223,0.053700615,0,Hydro
Ni2+ in product,0.275511034,0.125787636,0.18259878,0.216623879,0.285236927,0,Hydro
Mn2+ in product,0.032235584,0.117740125,0.102549998,0.067588314,0,0,Hydro
Graphite,0.355590313,0.309088898,0.327367721,0.331624935,0.343634911,0.289673222,Hydro
Copper,0.005014224,0.005194268,0.005127619,0.005119329,0.004949959,0.006513743,Hydro
Aluminum,0.003313651,0.003342382,0.003330288,0.003328108,0.003265602,0.004006496,Hydro
Copper,0.074060252,0.076661959,0.075697456,0.075571422,0.07339476,0.091494087,Pyro
Co2+ in product,0.024686843,0.09010079,0.052330934,0.051732652,0.038486249,0,Pyro
Ni2+ in product,0.19669046,0.089733862,0.130294552,0.154565924,0.204424089,0,Pyro
NMC(811),0.524204162,0,0,0,0,0,Direct
NMC(111),0,0.569552274,0,0,0,0,Direct
NMC(532),0,0,0.551723541,0,0,0,Direct
NMC(622),0,0,0,0.547563455,0,0,Direct
NCA,0,0,0,0,0.536025481,0,Direct
LFP,0,0,0,0,0,0.586630689,Direct
Copper,0.005014224,0.005194268,0.005127619,0.005119329,0.004949959,0.006513743,Direct
Aluminum,0.003313651,0.003342382,0.003330288,0.003328108,0.003265602,0.004006496,Direct
Graphite,0.355590313,0.309088898,0.327367721,0.331624935,0.343634911,0.289673222,Direct
