Name of the initiative,Instrument Type,Jurisdiction Covered,Region,Price rate label,Metric,Value,Latest date
Albania Carbon tax,Carbon tax,Albania,Europe & Central Asia,Single price,US$/tCO2e,13.11135507,2024
Alberta TIER,ETS,Alberta,North America,Single price,US$/tCO2e,58.94488653,2024
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Solvent,US$/tCO2e,3.48498753,2024
Australia Safeguard Mechanism,ETS,Australia,East Asia & Pacific,Single price,US$/tCO2e,21.90375,2024
Austria ETS,ETS,Austria,Europe & Central Asia,Single price,US$/tCO2e,48.3705,2024
California CaT,ETS,California,North America,Single price,US$/tCO2e,38.59,2024
Canada federal fuel charge,Carbon tax,Canada,North America,Single price,US$/tCO2e,58.94488653,2024
Chile carbon tax,Carbon tax,Chile,Latin America & Caribbean,Single price,US$/tCO2e,5,2024
China national ETS,ETS,China,East Asia & Pacific,Single price,US$/tCO2e,12.57307921,2024
Colombia carbon tax,Carbon tax,Colombia,Latin America & Caribbean,Single price,US$/tCO2e,6.678546744,2024
Denmark carbon tax,Carbon tax,Denmark,Europe & Central Asia,Single price,US$/tCO2e,28.20494343,2024
Durango carbon tax,Carbon tax,Durango,Latin America & Caribbean,Single price,US$/tCO2e,6.035986552,2024
Estonia carbon tax,Carbon tax,Estonia,Europe & Central Asia,Single price,US$/tCO2e,2.1498,2024
EU ETS,ETS,EU,Europe and Central Asia,Single price,US$/tCO2e,61.301547,2024
France carbon tax,Carbon tax,France,Europe & Central Asia,Single price,US$/tCO2e,47.94054,2024
Germany ETS,ETS,Germany,Europe & Central Asia,Single price,US$/tCO2e,48.3705,2024
Hungary Carbon tax,Carbon tax,Hungary,Europe & Central Asia,Single price,US$/tCO2e,38.6964,2024
Indonesia ETS,ETS,Indonesia,East Asia & Pacific,Single price,US$/tCO2e,0.612165181,2024
Ireland carbon tax,Carbon tax,Ireland,Europe & Central Asia,Single price,US$/tCO2e,60.1944,2024
Japan carbon tax,Carbon tax,Japan,East Asia & Pacific,Single price,US$/tCO2e,1.905075808,2024
Kazakhstan ETS,ETS,Kazakhstan,Europe & Central Asia,Single price,US$/tCO2e,1.059208169,2024
Korea ETS,ETS,"Korea, Rep.",East Asia & Pacific,Single price,US$/tCO2e,6.302427437,2024
Latvia carbon tax,Carbon tax,Latvia,Europe & Central Asia,Single price,US$/tCO2e,16.1235,2024
Liechtenstein carbon tax,Carbon tax,Liechtenstein,Europe & Central Asia,Single price,US$/tCO2e,132.122213,2024
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Other,US$/tCO2e,3.78916299,2024
Montenegro ETS,ETS,Montenegro,Europe & Central Asia,Single price,US$/tCO2e,25.7976,2024
Netherlands carbon tax,Carbon tax,Netherlands,Europe & Central Asia,CO2 levy,US$/tCO2e,71.48085,2024
New Zealand ETS,ETS,New Zealand,East Asia & Pacific,Single price,US$/tCO2e,35.105,2024
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,General rate,US$/tCO2e,107.7835515,2024
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,Carbon dioxide ,US$/tCO2e,0.079191317,2023
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,Coal and Coke - heating for business use (situation on 01/01/yyyy),US$/tCO2e,28.73497345,2023
Queretaro carbon tax,Carbon tax,Queretaro,Latin America & Caribbean,Single price,US$/tCO2e,36.69819464,2024
Singapore carbon tax,Carbon tax,Singapore,East Asia & Pacific,Single price,US$/tCO2e,18.47882327,2024
Slovenia Carbon tax,Carbon tax,Slovenia,Europe & Central Asia,Single price,US$/tCO2e,18.59577,2024
South Africa carbon tax,Carbon tax,South Africa,Sub-Saharan Africa,Single price,US$/tCO2e,10.08578223,2024
Spain carbon tax,Carbon tax,Spain,Europe & Central Asia,Single price,US$/tCO2e,16.1235,2024
Switzerland carbon tax,Carbon tax,Switzerland,Europe & Central Asia,Single price,US$/tCO2e,132.122213,2024
UK Carbon Price Support,Carbon tax,United Kingdom,Europe & Central Asia,Single price,US$/tCO2e,22.6188,2024
Ukraine carbon tax,Carbon tax,Ukraine,Europe & Central Asia,Single price,US$/tCO2e,0.767756283,2024
Uruguay CO2 tax,Carbon tax,Uruguay,Latin America & Caribbean,Single price,US$/tCO2e,167.1738104,2024
Washington CCA,ETS,Washington,North America,Single price,US$/tCO2e,25.75,2024
Yucatan carbon tax,Carbon tax,Yucatan,Latin America & Caribbean,Single price,US$/tCO2e,17.69383062,2024
Zacatecas carbon tax,Carbon tax,Zacatecas,Latin America & Caribbean,Single price,US$/tCO2e,15.08996638,2024
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,Heating fuels,US$/tCO2e,65.09700944,2024
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,Coal,US$/tCO2e,137.4864721,2024
