Recycling_capacity,country,Direct,Hydro,Pyro
968.5,China,10.33649856,12.701136,16.92035968
4963.7,China,3.13649856,2.801136,4.12035968
7869.3,China,2.5364985600000005,1.801136,2.8203596799999997
9987.9,China,2.13649856,1.5011359999999998,2.3203596799999997
14951.6,China,1.7364985600000002,1.0011359999999998,1.6203596799999995
20036.3,China,1.5364985600000005,0.8011360000000001,1.2203596799999992
30024.2,China,1.2364985600000002,0.5011359999999998,0.8203596799999993
40012.1,China,0.9364985600000004,0.40113599999999994,0.5203596799999994
50000.0,China,0.7364985600000002,0.30113599999999985,0.32035967999999926
968.5,Korea,11.053554559999998,13.166736,17.71792768
4963.7,Korea,3.853554559999999,3.2667360000000003,4.91792768
7869.3,Korea,3.2535545599999995,2.2667360000000003,3.6179276800000006
9987.9,Korea,2.853554559999999,1.966736,3.1179276800000006
14951.6,Korea,2.4535545599999993,1.466736,2.4179276800000005
20036.3,Korea,2.2535545599999995,1.2667360000000003,2.01792768
30024.2,Korea,1.9535545599999993,0.966736,1.6179276800000002
40012.1,Korea,1.6535545599999995,0.8667360000000002,1.3179276800000004
50000.0,Korea,1.4535545599999993,0.7667360000000001,1.1179276800000002
968.5,USA,11.8241568,13.87608,18.5763904
4963.7,USA,4.6241568,3.97608,5.7763904
7869.3,USA,4.0241568,2.97608,4.4763904000000005
9987.9,USA,3.6241567999999997,2.67608,3.9763904000000005
14951.6,USA,3.2241568,2.17608,3.2763904000000004
20036.3,USA,3.0241568,1.97608,2.8763904
30024.2,USA,2.7241568,1.6760799999999998,2.4763904
40012.1,USA,2.4241568,1.57608,2.1763904000000003
50000.0,USA,2.2241568,1.4760799999999998,1.9763904
968.5,Belgium,12.17814464,14.072783999999999,19.17764992
4963.7,Belgium,4.97814464,4.172784,6.3776499200000005
7869.3,Belgium,4.37814464,3.172784,5.077649920000001
9987.9,Belgium,3.9781446399999996,2.872784,4.577649920000001
14951.6,Belgium,3.5781446399999997,2.372784,3.8776499200000005
20036.3,Belgium,3.37814464,2.172784,3.47764992
30024.2,Belgium,3.0781446399999997,1.8727839999999998,3.0776499200000003
40012.1,Belgium,2.77814464,1.772784,2.7776499200000004
50000.0,Belgium,2.5781446399999997,1.6727839999999998,2.5776499200000003
968.5,United Kingdom,12.0,14.1,19.0
4963.7,United Kingdom,4.8,4.2,6.2
7869.3,United Kingdom,4.2,3.2,4.9
9987.9,United Kingdom,3.8,2.9,4.4
14951.6,United Kingdom,3.4,2.4,3.7
20036.3,United Kingdom,3.2,2.2,3.3
30024.2,United Kingdom,2.9,1.9,2.9
40012.1,United Kingdom,2.6,1.8,2.6
50000.0,United Kingdom,2.4,1.7,2.4
968.5,Australia,12.12430144,13.986863999999999,19.10204032
4963.7,Australia,4.924301439999999,4.086864,6.302040320000001
7869.3,Australia,4.324301439999999,3.086864,5.002040320000001
9987.9,Australia,3.9243014399999994,2.7868639999999996,4.502040320000001
14951.6,Australia,3.5243014399999995,2.2868639999999996,3.8020403200000006
20036.3,Australia,3.3243014399999997,2.086864,3.4020403200000002
30024.2,Australia,3.0243014399999995,1.7868639999999996,3.0020403200000003
40012.1,Australia,2.7243014399999996,1.6868639999999997,2.7020403200000005
50000.0,Australia,2.5243014399999995,1.5868639999999996,2.5020403200000003
968.5,Brazil,11.70302464,13.682784,18.40628992
4963.7,Brazil,4.50302464,3.782784,5.60628992
7869.3,Brazil,3.9030246400000004,2.782784,4.30628992
9987.9,Brazil,3.50302464,2.4827839999999997,3.80628992
14951.6,Brazil,3.10302464,1.9827839999999997,3.10628992
20036.3,Brazil,2.9030246400000004,1.782784,2.7062899199999997
30024.2,Brazil,2.60302464,1.4827839999999997,2.3062899199999998
40012.1,Brazil,2.3030246400000003,1.3827839999999998,2.00628992
50000.0,Brazil,2.10302464,1.2827839999999997,1.8062899199999998
968.5,Canada,11.79958144,13.836863999999998,18.54188032
4963.7,Canada,4.59958144,3.936864,5.74188032
7869.3,Canada,3.99958144,2.936864,4.44188032
9987.9,Canada,3.5995814399999997,2.6368639999999997,3.94188032
14951.6,Canada,3.1995814399999998,2.1368639999999997,3.24188032
20036.3,Canada,2.99958144,1.936864,2.8418803199999996
30024.2,Canada,2.6995814399999998,1.6368639999999997,2.4418803199999997
40012.1,Canada,2.39958144,1.5368639999999998,2.14188032
50000.0,Canada,2.1995814399999998,1.4368639999999997,1.9418803199999997
968.5,Switzerland,12.110543999999999,14.276399999999999,19.155232
4963.7,Switzerland,4.910544,4.3764,6.355232000000001
7869.3,Switzerland,4.310544,3.3764000000000003,5.055232000000001
9987.9,Switzerland,3.9105439999999994,3.0764,4.555232000000001
14951.6,Switzerland,3.5105439999999994,2.5764,3.855232000000001
20036.3,Switzerland,3.3105439999999997,2.3764000000000003,3.4552320000000005
30024.2,Switzerland,3.0105439999999994,2.0764,3.0552320000000006
40012.1,Switzerland,2.7105439999999996,1.9764000000000002,2.755232000000001
50000.0,Switzerland,2.5105439999999994,1.8764,2.5552320000000006
968.5,Czechia,11.97229632,14.055792,18.96109696
4963.7,Czechia,4.77229632,4.155792,6.161096960000001
7869.3,Czechia,4.17229632,3.155792,4.861096960000001
9987.9,Czechia,3.7722963199999997,2.8557919999999997,4.361096960000001
14951.6,Czechia,3.37229632,2.3557919999999997,3.661096960000001
20036.3,Czechia,3.17229632,2.155792,3.2610969600000006
30024.2,Czechia,2.87229632,1.8557919999999997,2.8610969600000007
40012.1,Czechia,2.57229632,1.7557919999999998,2.561096960000001
50000.0,Czechia,2.37229632,1.6557919999999997,2.3610969600000007
968.5,Germany,12.05020352,14.180112,19.07049856
4963.7,Germany,4.850203519999999,4.280112000000001,6.270498560000001
7869.3,Germany,4.2502035199999995,3.2801120000000004,4.970498560000001
9987.9,Germany,3.8502035199999995,2.980112,4.470498560000001
14951.6,Germany,3.4502035199999996,2.480112,3.770498560000001
20036.3,Germany,3.25020352,2.2801120000000004,3.3704985600000006
30024.2,Germany,2.9502035199999996,1.980112,2.9704985600000007
40012.1,Germany,2.65020352,1.8801120000000002,2.670498560000001
50000.0,Germany,2.4502035199999996,1.7801120000000001,2.4704985600000007
968.5,Spain,11.989080959999999,14.082576,18.98466688
4963.7,Spain,4.78908096,4.182576,6.184666880000001
7869.3,Spain,4.18908096,3.182576,4.884666880000001
9987.9,Spain,3.7890809599999997,2.882576,4.384666880000001
14951.6,Spain,3.38908096,2.382576,3.684666880000001
20036.3,Spain,3.18908096,2.182576,3.2846668800000005
30024.2,Spain,2.88908096,1.8825759999999998,2.8846668800000006
