battery_type,recycling_m,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC,CH4,N2O,CO2,CO2 (w/ C in VOC & CO),GHGs,CO2_new
NMC811,Pyro,0.071462032,0.282355455,0.742818352,0.072535168,0.050020685,1.308188813,0.015119087,0.010844982,0.561071251,0.007585455,1832.548805,1833.21523,1852.005982,1968.76107
NMC811,Hydro,0.361099121,1.518169023,2.771724805,0.263178225,0.184190825,3.14730229,0.035853569,0.048432177,4.865532251,0.046172913,2261.471675,2264.982795,2422.580861,1063.116435
NMC811,Direct,0.333360614,1.272379577,2.929394453,0.396981073,0.247409836,2.18398518,0.041382918,0.048846387,3.875614686,0.046727595,2397.518212,2400.55664,2528.806591,1063.116435
NMC811,Colle_Trans,0.068442256,0.895524275,0.62001491,0.034966809,0.010652381,0.02960891,0.001051803,0.001900821,0.578696876,0.001804283,468.3859403,470.0065044,487.7442407,468.3859403
NMC622,Pyro,0.070949085,0.280962591,0.735213969,0.072234268,0.049642805,1.258443688,0.015049753,0.010636454,0.558943269,0.007573514,1754.029594,1754.692231,1773.41631,1867.576515
NMC622,Hydro,0.373485829,1.570402587,2.859408469,0.272597933,0.190546837,3.290480688,0.036461347,0.050205927,5.054943279,0.047852402,2337.983546,2341.615353,2505.316368,970.9704299
NMC622,Direct,0.344311162,1.312454035,3.023237828,0.412472921,0.256646729,2.27760393,0.042251303,0.050628707,4.015696492,0.048401457,2478.807863,2481.943393,2614.824747,970.9704299
NMC622,Colle_Trans,0.069961173,0.915398362,0.633774704,0.035742816,0.010888786,0.030266012,0.001075145,0.001943005,0.591539712,0.001844325,478.780681,480.4372098,498.568594,478.780681
NMC523,Pyro,0.06971929,0.27715199,0.719308839,0.071114005,0.048703037,1.169295586,0.014915882,0.010247509,0.549292309,0.007466709,1726.439185,1727.092001,1745.499323,1839.451766
NMC523,Hydro,0.376686644,1.583892908,2.882093163,0.275028402,0.192186876,3.327377757,0.03661971,0.050663987,5.103872227,0.048286787,2357.900841,2361.563823,2526.841508,939.3492076
NMC523,Direct,0.346756485,1.321285256,3.044233835,0.415850697,0.258734846,2.297892141,0.04246044,0.051053852,4.045075397,0.048736624,2496.014242,2499.171272,2633.019617,939.3492076
NMC523,Colle_Trans,0.070277517,0.919537525,0.636640448,0.035904435,0.010938022,0.030402866,0.001080007,0.001951791,0.594214482,0.001852665,480.945587,482.6096062,500.8229752,480.945587
NMC111,Pyro,0.06975889,0.277413336,0.71912425,0.071262958,0.04874414,1.163464257,0.014911119,0.010228526,0.550857214,0.007491406,1672.116182,1672.769533,1691.230232,1846.002007
NMC111,Hydro,0.385810918,1.622363935,2.946702983,0.281964566,0.196867148,3.432768673,0.037068443,0.051970335,5.243380729,0.049524202,2414.310695,2418.062568,2587.835421,939.1747405
NMC111,Direct,0.354946591,1.351316318,3.11441197,0.427470018,0.265629527,2.368143674,0.043104396,0.05237394,4.150674191,0.050005839,2557.347078,2560.576825,2697.91851,939.1747405
NMC111,Colle_Trans,0.071428155,0.93459291,0.647064021,0.03649229,0.011117108,0.030900645,0.001097689,0.001983747,0.603943424,0.001882998,488.820003,490.5112668,509.0228393,488.820003
NCA,Pyro,0.07246906,0.285388152,0.756293004,0.073384852,0.050782623,1.386557786,0.015234074,0.011182436,0.568251072,0.007660919,1811.685064,1812.359393,1831.384706,1896.348329
NCA,Hydro,0.359585411,1.513363414,2.759426631,0.263050634,0.18411697,3.135106001,0.035829737,0.048211142,4.833122443,0.045838252,2249.491865,2252.990716,2409.531607,930.4787808
NCA,Direct,0.341456954,1.301684479,2.999262097,0.408106909,0.254277597,2.250722831,0.042095433,0.050240258,3.972798413,0.047843874,2452.491446,2455.601158,2587.051928,930.4787808
NCA,Colle_Trans,0.068797087,0.900167024,0.62322931,0.03514809,0.010707607,0.029762415,0.001057256,0.001910675,0.581697067,0.001813638,470.8142366,472.4432023,490.272898,470.8142366
LFP,Pyro,0.063295345,0.259701549,0.623483274,0.067111725,0.04401593,0.554852138,0.01407082,0.007696357,0.518275116,0.007227105,1513.655179,1514.260552,1531.67815,773.1888943
LFP,Hydro,0.124059515,0.538631941,1.060375556,0.095650476,0.071335835,0.50484077,0.024084386,0.014613291,1.14886224,0.012422568,801.8847791,803.1178529,840.7453088,773.1888943
LFP,Direct,0.293783238,1.141558911,2.581397553,0.351417678,0.21132741,1.923215814,0.036224764,0.039204172,3.601144392,0.045312307,2252.335332,2255.044835,2374.729197,773.1888943
LFP,Colle_Trans,0.036261076,0.47445359,0.328487242,0.018525604,0.005643689,0.01568696,0.000557251,0.001007065,0.306596725,0.000955919,248.1533967,249.0119804,258.4095287,248.1533967
