region,hdi2019,pop2022
Norway,0.957,5434.319
Switzerland,0.955,8740.472
Ireland,0.955,5023.109
Iceland,0.949,372.899
Germany,0.947,83369.843
Sweden,0.945,10549.347
Australia,0.944,26177.413
Netherlands,0.944,17564.014
Denmark,0.94,5882.261
Singapore,0.938,5975.689
Finland,0.938,5540.745
United Kingdom,0.932,67508.936
Belgium,0.931,11655.93
New Zealand,0.931,5185.288
Canada,0.929,38454.327
USA,0.926,338289.857
Austria,0.922,8939.617
Japan,0.919,123951.692
Israel,0.919,9038.309
Slovenia,0.917,2119.844
Korea,0.916,51815.81
Luxembourg,0.916,647.599
Spain,0.904,47558.63
France,0.901,64626.628
Malta,0.895,533.286
Italy,0.892,59037.474
Estonia,0.892,1326.062
Greece,0.888,10384.971
Cyprus,0.887,1251.488
Lithuania,0.882,2750.055
Poland,0.88,39857.145
Latvia,0.866,1850.651
Portugal,0.864,10270.865
Slovakia,0.86,5643.453
Hungary,0.854,9967.308
