iso3,country,continent,lat,lon
ABW,Aruba,America,12.55,-70.1
AFG,Afghanistan,Asia,34.51667,69.2
AGO,Angola,Africa,-8.833333,13.25
ALB,Albania,Europe,41.33333,19.816670000000002
AND,Andorra,Europe,42.5,1.5
ARE,United Arab Emirates,Asia,24.46667,54.416669999999996
ARG,Argentina,America,-34.66667,-58.5
ARM,Armenia,Asia,40.18333,44.5
AUS,Australia,Pacific,-33.883340000000004,151.1667
AUT,Austria,Europe,48.21667,16.366670000000003
AZE,Azerbaijan,Asia,40.366659999999996,49.883340000000004
BDI,Burundi,Africa,-3.3666669999999996,29.316670000000002
BEL,Belgium,Europe,50.83333,4.35
BEN,Benin,Africa,6.4,2.517
BFA,Burkina Faso,Africa,12.33333,-1.666667
BGD,Bangladesh,Asia,23.7,90.36667
BGR,Bulgaria,Europe,42.66667,23.3
BHR,Bahrain,Asia,26.2,50.633340000000004
BHS,Bahamas,America,25.08333,-77.33334
BIH,Bosnia Herzegovina,Europe,43.866659999999996,18.433329999999998
BLR,Belarus,Europe,53.85,27.5
BMU,Bermuda,America,32.3,-64.8
BOL,Bolivia (Plurinational State of),America,-16.5,-68.16666
BRA,Brazil,America,-23.53,-46.63
BRB,Barbados,America,13.1,-59.616659999999996
BRN,Brunei Darussalam,Asia,4.933333,114.9667
BWA,Botswana,Africa,-24.75,25.91667
CAN,Canada,America,43.65,-79.38
CHE,Switzerland,Europe,46.95,7.433333
CHL,Chile,America,-33.5,-70.66666
CHN,China,Asia,39.91667,116.4333
CIV,C?te d'Ivoire,Africa,6.82,-5.28
CMR,Cameroon,Africa,3.85,11.51667
COG,Congo,Africa,-4.233333,15.233329999999999
COL,Colombia,America,4.633333,-75.06667
COM,Comoros,Africa,-11.66667,43.26667
CPV,Cabo Verde,Africa,14.916670000000002,-23.5
CRI,Costa Rica,America,9.983334,-84.06667
CYM,Cayman Isds,America,19.3,-81.38333
CYP,Cyprus,Europe,35.15,33.35
CZE,Czechia,Europe,50.1,14.433329999999998
DEU,Germany,Europe,52.533,13.417
DNK,Denmark,Europe,55.666669999999996,12.58333
DOM,Dominican Rep.,America,18.5,-69.78333
