Year,China,India,Japan,Korea,Thailand,Viet Nam,France,Germany,Hungary,Italy,Poland,Slovakia,Spain,Sweden,United Kingdom,Norway,Russian Federation,Serbia,Turkey,USA,Canada,Brazil,Australia,Czechia,Netherlands,Belgium,Finland,Switzerland,Romania
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
2013,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
2014,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
2015,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
2016,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
2017,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
2018,10.9,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0
2019,26.4,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0
2020,58.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0
2021,114.3,0.0,1.4,5.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.4,0.0,0.0,0.7,0.0,0.0,0.0
2022,203.3,3.2,1.9,6.1,0.0,0.0,0.0,4.6,2.5,3.7,1.1,0.0,0.0,0.0,0.1,1.2,0.0,0.0,0.0,7.1,0.0,0.0,0.5,0.0,1.0,0.7,0.7,0.1,0.0
2023,248.4,3.5,2.5,10.6,3.0,0.3,0.9,8.1,3.5,4.4,3.0,0.0,0.8,1.0,1.1,2.9,3.0,0.0,0.0,7.6,0.5,0.0,0.5,0.0,1.4,0.8,0.7,0.9,0.0
2024,416.3,4.7,3.4,13.3,3.2,0.3,4.0,11.6,4.5,5.0,4.1,0.1,2.0,1.9,3.6,4.6,3.2,0.1,1.0,14.2,1.8,1.0,0.6,0.1,1.6,0.8,0.7,1.7,0.1
2025,598.8,6.2,5.0,17.3,3.4,0.3,5.0,12.6,5.5,5.7,5.0,0.1,3.2,3.0,4.6,6.3,3.4,0.1,1.0,20.9,3.1,1.0,0.7,0.1,1.8,0.8,0.7,2.5,0.1
