Source,Target,Count
Austria,Rep. of Korea,270.0
Belgium,USA,32250.0
Czechia,Bulgaria,47286.0
Czechia,United Kingdom,16157.0
Finland,France,15640.0
Finland,United Kingdom,2046.483
Greece,Cyprus,8.0
Hungary,Bulgaria,46156.0
Hungary,Romania,362180.0
Hungary,USA,17.0
Japan,Canada,59436.0
Japan,"China, Hong Kong SAR",160000.0
Japan,Rep. of Korea,138896.0
Japan,Malaysia,49625.0
Japan,Philippines,58568.0
Luxembourg,France,10.911
Morocco,Malaysia,41440.0
Netherlands,Austria,1.0
Netherlands,Belgium,4.0
Netherlands,Bulgaria,3.0
Netherlands,Czechia,247.0
Netherlands,Denmark,1.0
Netherlands,Estonia,0.382
Netherlands,Finland,1.0
Netherlands,France,5.0
Netherlands,Germany,11.0
Netherlands,Hungary,0.382
Netherlands,Ireland,0.382
Netherlands,Italy,5.0
Netherlands,Malta,0.382
Netherlands,Poland,1.0
Netherlands,Portugal,0.382
Netherlands,Romania,1.0
Netherlands,Slovenia,0.765
Netherlands,Spain,11.0
Netherlands,Sweden,0.382
Norway,Germany,21800.0
Romania,Austria,115941.0
Romania,Bulgaria,908.0
Romania,Czechia,782.0
Romania,Germany,131.0
Romania,Poland,799702.0
Slovakia,Denmark,4.0
Spain,France,617.0
Spain,Portugal,152.0
Sweden,Denmark,25000.0
Thailand,China,30.0
Thailand,Japan,101754.0
United Kingdom,Italy,3.0
