,KOR
ABW,12.0
AGO,37.0
ALB,5.0
AND,1.0
ARE,1739.0
ARG,648.0
ARM,21.0
AUT,3549.0
AZE,62.0
BDI,27.0
BEN,16.0
BFA,41.0
BGR,26.0
BHR,19.0
BIH,21.0
BLR,189.0
BMU,16.0
BOL,168.0
BRB,2.0
BRN,5.0
BWA,64.0
CHL,32.0
CIV,34.0
CMR,8.0
COG,22.0
COL,492.0
CRI,127.0
CYP,9.0
DNK,3697.0
DOM,93.0
DZA,143.0
ECU,91.0
EGY,225.0
EST,11.0
ETH,82.0
FJI,30.0
GEO,11.0
GHA,134.0
GIN,1.0
GRC,978.0
GRD,2.0
GTM,232.0
GUY,16.0
HND,48.0
HRV,22.0
IDN,5959.0
IRL,161.0
IRN,298.0
ISL,452.0
ISR,1354.0
JAM,40.0
JOR,136.0
KAZ,383.0
KEN,257.0
KGZ,18.0
KHM,62.0
KWT,93.0
LAO,40.0
LBN,51.0
LCA,2.0
LKA,108.0
LSO,6.0
LTU,21.0
LUX,27.0
LVA,13.0
MAR,83.0
MDA,26.0
MDG,18.0
MDV,11.0
MEX,428.0
MKD,25.0
MLI,5.0
MLT,5.0
MNG,22.0
MOZ,7.0
MUS,38.0
MWI,103.0
MYS,9.0
NAM,35.0
NER,15.0
NGA,726.0
NIC,68.0
NPL,44.0
NZL,740.0
OMN,55.0
PAK,404.0
PAL,3.0
PAN,68.0
PER,427.0
PHL,1866.0
PRT,2813.0
PRY,57.0
PYF,30.0
QAT,73.0
RWA,35.0
SAU,857.0
SDN,1.0
SEN,42.0
SLE,2.0
SLV,69.0
SVN,20.0
SYC,2.0
TGO,26.0
TJK,4.0
TTO,22.0
TUN,23.0
TZA,151.0
UGA,420.0
UKR,784.0
URY,37.0
UZB,44.0
YEM,35.0
ZAF,24.0
ZMB,40.0
ZWE,101.0
MMR,135.0
SWZ,1.0
Virtual_Supply,122632.0
