,DEU,KOR
ABW,16.0,0.0
AGO,36.0,0.0
ALB,13.0,0.0
AND,1.0,0.0
ARE,1973.0,0.0
ARG,743.0,0.0
ARM,24.0,0.0
AUT,6470.0,0.0
AZE,89.0,0.0
BDI,29.0,0.0
BEN,21.0,0.0
BFA,69.0,0.0
BGR,62.0,0.0
BHR,18.0,0.0
BIH,31.0,0.0
BLR,287.0,0.0
BMU,15.0,0.0
BOL,245.0,0.0
BRB,4.0,0.0
BRN,0.0,7.0
BWA,84.0,0.0
CHL,59.0,0.0
CIV,38.0,0.0
CMR,6.0,0.0
COG,25.0,0.0
COL,698.0,0.0
CRI,151.0,0.0
CYP,22.0,0.0
DNK,6891.0,0.0
DOM,144.0,0.0
DZA,136.0,0.0
ECU,131.0,0.0
EGY,362.0,0.0
EST,27.0,0.0
ETH,103.0,0.0
FJI,0.0,39.0
GEO,15.0,0.0
GHA,137.0,0.0
GIN,1.0,0.0
GRC,2846.0,0.0
GRD,4.0,0.0
GTM,314.0,0.0
GUY,37.0,0.0
HND,58.0,0.0
HRV,52.0,0.0
IDN,0.0,8633.0
IRL,372.0,0.0
IRN,265.0,0.0
ISL,639.0,0.0
ISR,3100.0,0.0
JAM,44.0,0.0
JOR,170.0,0.0
KAZ,446.0,0.0
KEN,461.0,0.0
KGZ,0.0,15.0
KHM,0.0,89.0
KWT,88.0,0.0
LAO,0.0,88.0
LBN,118.0,0.0
LCA,2.0,0.0
LKA,0.0,305.0
LSO,10.0,0.0
LTU,50.0,0.0
LUX,63.0,0.0
LVA,30.0,0.0
MAR,126.0,0.0
MDA,39.0,0.0
MDG,27.0,0.0
MDV,0.0,14.0
MEX,868.0,0.0
MKD,29.0,0.0
MLI,8.0,0.0
MLT,13.0,0.0
MNG,0.0,29.0
MOZ,9.0,0.0
MUS,54.0,0.0
MWI,144.0,0.0
MYS,0.0,8.0
NAM,54.0,0.0
NER,23.0,0.0
NGA,1304.0,0.0
NIC,102.0,0.0
NPL,0.0,51.0
NZL,0.0,1224.0
OMN,84.0,0.0
PAK,0.0,806.0
PAL,3.0,0.0
PAN,83.0,0.0
PER,558.0,0.0
PHL,0.0,3777.0
PRT,5201.0,0.0
PRY,80.0,0.0
PYF,0.0,42.0
QAT,81.0,0.0
RWA,35.0,0.0
SAU,1203.0,0.0
SDN,1.0,0.0
SEN,86.0,0.0
SLE,2.0,0.0
SLV,86.0,0.0
SVN,48.0,0.0
SYC,4.0,0.0
TGO,35.0,0.0
TJK,6.0,0.0
TTO,37.0,0.0
TUN,30.0,0.0
TZA,233.0,0.0
UGA,744.0,0.0
UKR,826.0,0.0
URY,48.0,0.0
UZB,72.0,0.0
YEM,54.0,0.0
ZAF,33.0,0.0
ZMB,51.0,0.0
ZWE,134.0,0.0
MMR,0.0,223.0
SWZ,2.0,0.0
Virtual_Supply,7595.0,200550.0
