,JPN,KOR,ESP,USA
ABW,0.0,0.0,0.0,21.0
AGO,0.0,0.0,0.0,34.0
ALB,0.0,0.0,30.0,0.0
AND,0.0,0.0,1.0,0.0
ARE,0.0,2087.0,0.0,0.0
ARG,0.0,0.0,0.0,963.0
ARM,0.0,26.0,0.0,0.0
AUT,0.0,0.0,10957.0,0.0
AZE,0.0,131.0,0.0,0.0
BDI,0.0,39.0,0.0,0.0
BEN,0.0,0.0,0.0,22.0
BFA,0.0,0.0,0.0,116.0
BGR,0.0,0.0,140.0,0.0
BHR,0.0,15.0,0.0,0.0
BIH,0.0,0.0,45.0,0.0
BLR,0.0,437.0,0.0,0.0
BMU,0.0,0.0,0.0,12.0
BOL,0.0,0.0,0.0,353.0
BRB,0.0,0.0,0.0,6.0
BRN,0.0,9.0,0.0,0.0
BWA,0.0,112.0,0.0,0.0
CHL,0.0,0.0,0.0,104.0
CIV,0.0,0.0,0.0,51.0
CMR,0.0,0.0,5.0,0.0
COG,0.0,0.0,0.0,26.0
COL,0.0,0.0,0.0,993.0
CPV,0.0,0.0,0.0,1.0
CRI,0.0,0.0,0.0,202.0
CYP,0.0,49.0,0.0,0.0
DNK,0.0,0.0,0.0,11219.0
DOM,0.0,0.0,0.0,222.0
DZA,0.0,0.0,157.0,0.0
ECU,0.0,0.0,0.0,195.0
EGY,0.0,582.0,0.0,0.0
EST,0.0,0.0,0.0,60.0
ETH,0.0,138.0,0.0,0.0
FJI,45.0,0.0,0.0,0.0
GEO,0.0,20.0,0.0,0.0
GHA,0.0,0.0,0.0,125.0
GIN,0.0,0.0,0.0,1.0
GRC,0.0,0.0,6856.0,0.0
GRD,0.0,0.0,0.0,6.0
GTM,0.0,0.0,0.0,456.0
GUY,0.0,0.0,0.0,80.0
HND,0.0,0.0,0.0,74.0
HRV,0.0,0.0,116.0,0.0
IDN,0.0,12237.0,0.0,0.0
IRL,0.0,0.0,0.0,803.0
IRN,0.0,236.0,0.0,0.0
ISL,0.0,0.0,0.0,831.0
ISR,0.0,6278.0,0.0,0.0
JAM,0.0,0.0,0.0,41.0
JOR,0.0,230.0,0.0,0.0
KAZ,0.0,569.0,0.0,0.0
KEN,0.0,813.0,0.0,0.0
KGZ,0.0,13.0,0.0,0.0
KHM,0.0,131.0,0.0,0.0
KWT,0.0,76.0,0.0,0.0
LAO,0.0,185.0,0.0,0.0
LBN,0.0,253.0,0.0,0.0
LCA,0.0,0.0,0.0,3.0
LKA,0.0,802.0,0.0,0.0
LSO,0.0,17.0,0.0,0.0
LTU,0.0,0.0,0.0,113.0
LUX,0.0,0.0,0.0,134.0
LVA,0.0,0.0,0.0,67.0
MAR,0.0,0.0,193.0,0.0
MDA,0.0,61.0,0.0,0.0
MDG,0.0,41.0,0.0,0.0
MDV,0.0,18.0,0.0,0.0
MEX,0.0,0.0,0.0,1688.0
MKD,0.0,0.0,38.0,0.0
MLI,0.0,0.0,0.0,11.0
MLT,0.0,0.0,28.0,0.0
MNG,0.0,41.0,0.0,0.0
MOZ,0.0,13.0,0.0,0.0
MUS,0.0,79.0,0.0,0.0
MWI,0.0,209.0,0.0,0.0
MYS,0.0,10.0,0.0,0.0
NAM,0.0,0.0,0.0,83.0
NER,0.0,0.0,0.0,37.0
NGA,0.0,0.0,2235.0,73.0
NIC,0.0,0.0,0.0,152.0
NPL,0.0,65.0,0.0,0.0
NZL,1986.0,0.0,0.0,0.0
OMN,0.0,129.0,0.0,0.0
PAK,0.0,1545.0,0.0,0.0
PAL,0.0,5.0,0.0,0.0
PAN,0.0,0.0,0.0,93.0
PER,0.0,0.0,0.0,765.0
PHL,0.0,7379.0,0.0,0.0
PRT,0.0,0.0,9051.0,0.0
PRY,0.0,0.0,0.0,112.0
PYF,60.0,0.0,0.0,0.0
QAT,0.0,85.0,0.0,0.0
RWA,0.0,36.0,0.0,0.0
SAU,0.0,1704.0,0.0,0.0
SDN,0.0,2.0,0.0,0.0
SEN,0.0,0.0,0.0,171.0
SLE,0.0,0.0,0.0,1.0
SLV,0.0,0.0,0.0,98.0
SVN,0.0,0.0,106.0,0.0
SYC,0.0,7.0,0.0,0.0
TGO,0.0,0.0,0.0,50.0
TJK,0.0,10.0,0.0,0.0
TTO,0.0,0.0,0.0,61.0
TUN,0.0,0.0,42.0,0.0
TZA,0.0,364.0,0.0,0.0
UGA,0.0,1294.0,0.0,0.0
UKR,0.0,786.0,0.0,0.0
URY,0.0,0.0,0.0,63.0
UZB,0.0,118.0,0.0,0.0
YEM,0.0,80.0,0.0,0.0
ZAF,0.0,50.0,0.0,0.0
ZMB,0.0,63.0,0.0,0.0
ZWE,0.0,147.0,0.0,0.0
MMR,0.0,368.0,0.0,0.0
SWZ,0.0,3.0,0.0,0.0
Virtual_Supply,93109.0,248903.0,0.0,163508.0
