,HUN,IND,JPN,KOR,NOR,RUS,YUG,SWE,CHE,THA,Virtual_Demand
ABW,0.0,0.0,5.19497182475882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,0.0,564.8619408575221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,0.0,0.0,0.0,31339.6184160946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.861742233688073,0.0,0.0
ARE,0.0,626.8085919483265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8478.573478048946
ARM,0.0,8.710830240691626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,0.0,0.0,0.0,0.0,0.0,31653.843957792647,0.0,0.0,0.0,0.0,0.0
AZE,0.0,4601.344650577261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,0.0,1083.115368917802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,0.0,19.999211103687674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,0.0,5290.887902744899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGD,0.0,0.0,0.0,4.2544274218749285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR,0.0,0.0,0.0,97592.35985561636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,0.0,5.94505398790265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIH,0.0,0.0,0.0,0.0,0.0,0.0,775.0590742074775,0.0,0.0,0.0,0.0
BLR,0.0,0.0,0.0,13476.463546498419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMU,0.0,0.0,0.0,4.707232320657487,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOL,0.0,0.0,7418.744113655346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,0.0,0.0,0.0,51.271155622071795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,0.0,962.586565041363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHL,0.0,0.0,12681.675476552411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV,0.0,790.7689793873091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMR,0.0,2.8374036394315416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COG,0.0,7.8283592724613404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL,0.0,0.0,10515.969975693675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COM,0.0,26.93925211382811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPV,0.0,0.0,0.0,0.0,38.66391799491761,0.0,0.0,0.0,0.0,0.0,0.0
CRI,0.0,0.0,3408.835128542227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP,0.0,6144.699483154182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK,0.0,0.0,0.0,21532.11170612564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM,0.0,0.0,10015.00855376936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,1703.2728394211856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECU,0.0,0.0,5547.843216979272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,0.0,55850.03208080305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EST,0.0,0.0,0.0,5849.257070149719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,0.0,2405.9938015654275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FJI,0.0,0.0,13.429790549680892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEO,0.0,249.4701836022009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,0.0,44.72191026030321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIN,0.0,8.363046005287764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRC,0.0,32768.682229745056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRD,0.0,0.0,0.0,384.5074194500536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRL,0.0,0.0,0.0,1.7176172087611494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTM,0.0,0.0,14746.796797106936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUY,0.0,0.0,0.0,5700.7705473040805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HND,0.0,0.0,1383.7165876762515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRV,67143.99511462734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDN,0.0,0.0,0.0,97355.62114420341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRL,0.0,0.0,0.0,0.0,22386.12721490885,0.0,0.0,0.0,0.0,0.0,0.0
IRN,0.0,116.33429886859872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL,0.0,0.0,0.0,1308.3677348170352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR,0.0,34200.12111867588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAM,0.0,0.0,12.76802671063145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOR,0.0,7246.525381397593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAZ,0.0,0.0,0.0,6240.506866950451,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEN,0.0,123620.02730875296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KGZ,0.0,0.0,0.0,4.874039255358315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHM,0.0,0.0,0.0,6672.338663142616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIR,0.0,0.0,7.261758641908604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KWT,0.0,29.629197354583802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAO,0.0,0.0,0.0,93709.72083938432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBN,0.0,75785.54155687666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCA,0.0,0.0,0.0,73.80975776238567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LKA,0.0,308369.1140124588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167076.73226351192,0.0
LSO,0.0,1322.8382058387533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTU,0.0,0.0,0.0,11530.474329051664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX,0.0,0.0,0.0,2907.0649040239364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVA,0.0,0.0,0.0,7639.362520607946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11454.069870818876,0.0,0.0
