,JPN,KOR,Virtual_Demand
ABW,0.0,0.0,6.109979052555445
AGO,0.0,0.0,1747.8261790648205
ALB,0.0,61727.00342431604,0.0
AND,0.0,17.13219675984345,0.0
ARE,0.0,644.8287975706389,0.0
ARG,0.0,0.0,18532.60677230839
ARM,0.0,7.608756997259556,0.0
AUT,0.0,37603.99201355302,0.0
AZE,0.0,28354.792796230737,0.0
BDI,0.0,5013.449911224633,0.0
BEN,0.0,0.0,275.3618848647654
BFA,0.0,0.0,46107.534266555995
BGD,0.0,5.629643835788958,0.0
BGR,0.0,123196.42262082845,0.0
BHR,0.0,2.9994318267979496,0.0
BIH,0.0,3487.843824649423,0.0
BLR,0.0,67685.5678907415,0.0
BMU,0.0,0.0,2.1825915942921434
BOL,0.0,0.0,30315.610677430024
BRN,0.0,90.21187228927236,0.0
BWA,0.0,0.0,1946.5961589606666
CHL,0.0,0.0,98177.76757066627
CIV,0.0,0.0,2488.1252421424088
CMR,0.0,0.0,1.6227086916746545
COG,0.0,0.0,4.61239189228012
COL,0.0,0.0,32420.371382882262
COM,0.0,365.45307664401236,0.0
CPV,0.0,0.0,239.39387659027255
CRI,0.0,0.0,10643.211459133829
CYP,0.0,5351.860428547958,0.0
DNK,0.0,25355.630718306656,0.0
DOM,0.0,0.0,49322.474399108214
DZA,0.0,4019.3721514994845,0.0
ECU,0.0,0.0,28675.454010071768
EGY,0.0,630830.3979708371,0.0
EST,0.0,4765.353902915795,0.0
ETH,0.0,8850.65259645689,0.0
FJI,13.431007072294321,0.0,0.0
GEO,0.0,864.4875423333955,0.0
GHA,0.0,0.0,25.963383061445647
GIN,0.0,0.0,11.070255125357692
GRC,0.0,42110.94207085455,0.0
GRD,0.0,0.0,874.2838687126255
GRL,0.0,3.1990256868619804,0.0
GTM,0.0,0.0,65209.969223093445
GUY,0.0,0.0,5595.861209589686
HND,0.0,0.0,5350.459452042205
HRV,0.0,76485.41125131359,0.0
IDN,0.0,196118.0789986446,0.0
IRL,0.0,22805.29801491839,0.0
IRN,0.0,72.72296409705937,0.0
ISL,0.0,1492.3597226596353,0.0
ISR,0.0,46508.048381186665,0.0
JAM,0.0,0.0,7.187054207973921
JOR,0.0,39609.87388562697,0.0
KAZ,0.0,16317.16637765011,0.0
KEN,0.0,1091385.2788231,0.0
KGZ,0.0,2.796752235039236,0.0
KHM,0.0,51571.8722794207,0.0
KIR,17.86227259055098,0.0,0.0
KWT,0.0,16.240146667010904,0.0
LAO,0.0,198526.23825978552,0.0
LBN,0.0,95873.95897666336,0.0
LCA,0.0,0.0,290.4727951073177
LKA,0.0,400870.5158845974,0.0
LSO,0.0,0.0,12814.939495370716
LTU,0.0,9038.739053974123,0.0
LUX,0.0,3101.713891309677,0.0
LVA,0.0,5921.840038652604,0.0
MAR,0.0,101622.98492262473,0.0
MDA,0.0,11761.799866023557,0.0
MDG,0.0,31422.46063065862,0.0
MDV,0.0,2250.91616207874,0.0
MEX,840080.9110695183,0.0,147469.13598129267
MKD,0.0,2586.3201117912067,0.0
MLI,0.0,0.0,5984.193319665812
MLT,0.0,2099.366910020281,0.0
MNG,0.0,10042.911785506236,0.0
MOZ,0.0,0.0,170.43383353084255
MUS,0.0,14517.725201955789,0.0
MWI,0.0,64476.524547160676,0.0
MYS,0.0,144.65776346418608,0.0
NAM,0.0,0.0,25711.244462407918
NER,0.0,0.0,36429.5409035273
NGA,0.0,0.0,4942078.772667351
NIC,0.0,0.0,24841.481110938865
NPL,0.0,4652.621651482633,0.0
NZL,22070.189883444225,0.0,0.0
OMN,0.0,15836.388773668272,0.0
PAK,0.0,5416739.299748723,0.0
PAL,0.0,543.5186824972418,0.0
PAN,0.0,0.0,26.05812971826795
PER,0.0,0.0,76559.3386309368
PHL,0.0,3124999.3587708953,0.0
PLW,0.0,14.253339419933607,0.0
PRT,0.0,40560.44832874257,0.0
PRY,0.0,0.0,10015.919769680422
PYF,5193.095932363974,0.0,0.0
QAT,0.0,25.516410061965956,0.0
RWA,0.0,9.32386276098707,0.0
SAU,0.0,211801.14590911983,0.0
SDN,0.0,19.287619532626415,0.0
SEN,0.0,0.0,551218.3743841071
SLB,20.38191716545702,0.0,0.0
SLV,0.0,0.0,28.072715103964207
SVN,0.0,8066.505432488345,0.0
SYC,0.0,2316.047414358932,0.0
TGO,0.0,0.0,10046.676005443762
TJK,0.0,5089.04097294185,0.0
TTO,0.0,0.0,9979.19301459862
TUN,0.0,3090.4934733774317,0.0
TZA,0.0,139915.57200496917,0.0
UGA,0.0,1321763.9198740728,0.0
UKR,0.0,175.64291169944323,0.0
URY,0.0,0.0,3810.0192690226236
UZB,0.0,137448.89713244452,0.0
WSM,64.61244558077611,0.0,0.0
YEM,0.0,53870.53751592407,0.0
ZAF,0.0,0.0,5175.348075507273
ZMB,0.0,0.0,213.32576115111942
ZWE,0.0,0.0,32.185620841362834
MMR,0.0,389927.10971482965,0.0
SWZ,0.0,0.0,303.95486282920933
BRA,0.0,0.0,1186702.0465240052
USA,561694.8703535366,2519951.739537589,0.0
