,HUN,IND,JPN,KOR,NOR,RUS,YUG,SWE,CHE,THA,Virtual_Demand
ABW,0.0,0.0,1.954326253970304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,0.0,2259.6566980320463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,0.0,0.0,0.0,56187.18027013853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.59189439639253,0.0,0.0
ARE,0.0,274.10195237176947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22705.341971980823
ARM,0.0,3.3254417102193403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,0.0,0.0,0.0,18422.425771142145,0.0,18194.59025928987,0.0,0.0,0.0,0.0,0.0
AZE,0.0,45147.46971861685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,0.0,7661.439691867263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,0.0,427.1565036283026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,0.0,82350.79557660801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGD,0.0,0.0,0.0,5.902458042483661,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR,0.0,0.0,0.0,117496.56316822734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,0.0,2.386023577663829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIH,0.0,0.0,0.0,0.0,0.0,0.0,5230.909133057977,0.0,0.0,0.0,0.0
BLR,0.0,0.0,0.0,95020.57650265541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMU,0.0,0.0,0.0,1.6833605809203256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOL,0.0,0.0,42085.98741211342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,0.0,0.0,0.0,102.67739260455308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,0.0,2298.778466456475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHL,0.0,0.0,127695.19944501913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV,0.0,3407.77670869761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMR,0.0,1.4356806742466806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COG,0.0,3.037589394103582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL,0.0,0.0,43640.380381114046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COM,0.0,754.4208132794448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPV,0.0,0.0,0.0,0.0,396.85213950322344,0.0,0.0,0.0,0.0,0.0,0.0
CRI,0.0,0.0,13930.211133242685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP,0.0,5722.634475034033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK,0.0,0.0,0.0,24232.03712317984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM,0.0,0.0,64687.432271168116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,5078.7714776912135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECU,0.0,0.0,42864.04773766037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,0.0,1116610.7200060699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EST,0.0,0.0,0.0,5069.263404469184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,0.0,12686.641334675609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FJI,0.0,0.0,5.045269592833658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEO,0.0,1218.8021589589184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,0.0,20.035214210405957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIN,0.0,11.555743677117889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRC,0.0,40620.78027666277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRD,0.0,0.0,0.0,907.3149218395077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRL,0.0,0.0,0.0,3.750207423195178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTM,0.0,0.0,88743.95754763254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUY,0.0,0.0,0.0,5985.780174480403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HND,0.0,0.0,7701.465213262884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
