,JPN,KOR,Virtual_Demand
ABW,0.0,0.0,2.0351971992784788
AGO,0.0,0.0,2550.356905035836
ALB,0.0,55504.688838822476,0.0
AND,0.0,21.037215338696456,0.0
ARE,0.0,280.99624412842115,0.0
ARG,0.0,0.0,25133.34757095967
ARM,0.0,3.4941701030146333,0.0
AUT,0.0,36006.84681219943,0.0
AZE,0.0,56142.8567170016,0.0
BDI,0.0,9450.005447332704,0.0
BEN,0.0,0.0,498.2113784358613
BFA,0.0,0.0,108852.5013365702
BGD,0.0,6.109519345331725,0.0
BGR,0.0,118496.64759974857,0.0
BHR,0.0,2.577263831545797,0.0
BIH,0.0,6370.933845856001,0.0
BLR,0.0,109526.33593817339,0.0
BMU,0.0,0.0,1.8437343061984455
BOL,0.0,0.0,48806.191233397876
BRN,0.0,109.41141711019102,0.0
BWA,0.0,0.0,2490.544781121287
CHL,0.0,0.0,137820.48804221864
CIV,0.0,0.0,3985.424703027161
CMR,0.0,0.0,1.5008381119449332
COG,0.0,0.0,3.2295791375017844
COL,0.0,0.0,50440.81112128788
COM,0.0,1077.4736532511238,0.0
CPV,0.0,0.0,509.3197375910936
CRI,0.0,0.0,15767.080930722728
CYP,0.0,5926.081193007434,0.0
DNK,0.0,24077.75950243926,0.0
DOM,0.0,0.0,71615.7278095492
DZA,0.0,5714.996247006773,0.0
ECU,0.0,0.0,51550.911904822686
EGY,0.0,1433574.1511953839,0.0
EST,0.0,5221.886147992219,0.0
ETH,0.0,15172.633403326652,0.0
FJI,5.302338473084839,0.0,0.0
GEO,0.0,1445.3755411846391,0.0
GHA,0.0,0.0,21.043262472708015
GIN,0.0,0.0,11.933752031502234
GRC,0.0,38977.27759043749,0.0
GRD,0.0,0.0,918.2960631268363
GRL,0.0,4.073792479970929,0.0
GTM,0.0,0.0,101103.71260067128
GUY,0.0,0.0,6172.601847725276
HND,0.0,0.0,9202.261767080414
HRV,0.0,76044.02812153654,0.0
IDN,0.0,249389.30630966387,0.0
IRL,0.0,24829.13657337217,0.0
IRN,0.0,68.31896506696526,0.0
ISL,0.0,1501.3360645341454,0.0
ISR,0.0,48332.78050977179,0.0
JAM,0.0,0.0,5.4268102818872075
JOR,0.0,75133.2282250208,0.0
KAZ,0.0,24092.91918958725,0.0
KEN,0.0,1631212.4931149425,0.0
KGZ,0.0,2.348992517885232,0.0
KHM,0.0,110712.80278463232,0.0
KIR,24.357633752209246,0.0,0.0
KWT,0.0,12.945311462322284,0.0
LAO,0.0,196408.39562599183,0.0
LBN,0.0,101284.89673201958,0.0
LCA,0.0,0.0,466.525974127895
LKA,0.0,450230.4639680245,0.0
LSO,0.0,0.0,27395.020198553313
LTU,0.0,9872.953695663613,0.0
LUX,0.0,3352.4991311912713,0.0
LVA,0.0,6465.552651122944,0.0
MAR,0.0,231438.39287496128,0.0
MDA,0.0,22367.8666875726,0.0
MDG,0.0,81717.00681561597,0.0
MDV,0.0,3915.183217450913,0.0
MEX,824422.5789004433,0.0,144720.44750920037
MKD,0.0,4352.452542998775,0.0
MLI,0.0,0.0,14953.104484481328
MLT,0.0,2296.4425503873363,0.0
MNG,0.0,20201.26479663928,0.0
MOZ,0.0,0.0,139.29039215593443
MUS,0.0,20874.974167898985,0.0
MWI,0.0,137240.92075705406,0.0
MYS,0.0,182.4293021369878,0.0
NAM,0.0,0.0,45248.83209288984
NER,0.0,0.0,99379.45436240666
NGA,0.0,0.0,7346597.492378891
NIC,0.0,0.0,39049.360726758634
NPL,0.0,8147.373510949444,0.0
NZL,23343.981487802106,0.0,0.0
OMN,0.0,29811.229260613687,0.0
PAK,0.0,7668300.002809611,0.0
PAL,0.0,1010.9764140081871,0.0
PAN,0.0,0.0,10.84985678798427
PER,0.0,0.0,123927.29099868026
PHL,0.0,3181152.1368034994,0.0
PLW,0.0,18.435547900719655,0.0
PRT,0.0,39067.85344805962,0.0
PRY,0.0,0.0,17073.311119667942
PYF,6474.3807485780835,0.0,0.0
QAT,0.0,11.382238760025329,0.0
RWA,0.0,5.771044636696048,0.0
SAU,0.0,368224.55339978344,0.0
SDN,0.0,21.763147810292054,0.0
SEN,0.0,0.0,660984.9191625997
SLB,31.823074536358106,0.0,0.0
SLV,0.0,0.0,11.195878598952755
SVN,0.0,8864.304759948182,0.0
SYC,0.0,2490.221117275552,0.0
TGO,0.0,0.0,20719.745144943812
TJK,0.0,12612.16276492948,0.0
TTO,0.0,0.0,10337.187810435644
TUN,0.0,5619.551856982011,0.0
TZA,0.0,321905.9628228795,0.0
UGA,0.0,1715463.5750044547,0.0
UKR,0.0,113.21793465170006,0.0
URY,0.0,0.0,6150.269173307771
UZB,0.0,333190.0767340164,0.0
WSM,135.0634971808815,0.0,0.0
YEM,0.0,135209.82026006372,0.0
ZAF,0.0,0.0,9858.083716387702
ZMB,0.0,0.0,156.77710220911436
ZWE,0.0,0.0,14.944373939718597
MMR,0.0,786137.0748269312,0.0
SWZ,0.0,0.0,573.7732773127163
BRA,0.0,0.0,1244853.681516743
USA,589668.9308703843,2645452.7654184033,0.0
