,JPN,KOR,Virtual_Demand
ABW,0.0,0.0,2.830663210136197
AGO,0.0,0.0,3202.6489364664667
ALB,0.0,56937.236378455586,0.0
AND,0.0,24.271169683009887,0.0
ARE,0.0,354.1278129148603,0.0
ARG,0.0,0.0,30708.713531853347
ARM,0.0,4.719660904927395,0.0
AUT,0.0,35273.9962216717,0.0
AZE,0.0,83666.63192031531,0.0
BDI,0.0,14299.36762867702,0.0
BEN,0.0,0.0,602.779532706423
BFA,0.0,0.0,184578.04614662266
BGD,0.0,6.583523350451207,0.0
BGR,0.0,124328.38715303116,0.0
BHR,0.0,3.2061268653791313,0.0
BIH,0.0,9316.02466277212,0.0
BLR,0.0,137294.7601083788,0.0
BMU,0.0,0.0,2.417332947145023
BOL,0.0,0.0,63374.40921825911
BRN,0.0,123.61958803033572,0.0
BWA,0.0,0.0,2902.9288418313286
CHL,0.0,0.0,147782.30872054337
CIV,0.0,0.0,5435.5857553000715
CMR,0.0,0.0,1.6547124498262782
COG,0.0,0.0,4.25655329895275
COL,0.0,0.0,66727.09928072363
COM,0.0,2158.288873928642,0.0
CPV,0.0,0.0,831.9056858738584
CRI,0.0,0.0,19717.071697369407
CYP,0.0,6214.036170384341,0.0
DNK,0.0,24548.78600041183,0.0
DOM,0.0,0.0,82678.2464232442
DZA,0.0,7225.78583546485,0.0
ECU,0.0,0.0,71707.93380691117
EGY,0.0,2168663.144948541,0.0
EST,0.0,5376.155943905908,0.0
ETH,0.0,21634.076287995318,0.0
FJI,7.3626518812033765,0.0,0.0
GEO,0.0,2025.264975892398,0.0
GHA,0.0,0.0,25.222389912143015
GIN,0.0,0.0,12.797997925788973
GRC,0.0,36250.46440401395,0.0
GRD,0.0,0.0,942.7862329644478
GRL,0.0,4.8081476553054205,0.0
GTM,0.0,0.0,125113.67292083827
GUY,0.0,0.0,6404.493773546336
HND,0.0,0.0,13001.72823410923
HRV,0.0,80181.89911496906,0.0
IDN,0.0,289078.3836528376,0.0
IRL,0.0,24869.928205774653,0.0
IRN,0.0,71.79267773621451,0.0
ISL,0.0,1555.565851277941,0.0
ISR,0.0,48988.47705477648,0.0
JAM,0.0,0.0,6.949540943624752
JOR,0.0,109723.68883586707,0.0
KAZ,0.0,31128.264006736965,0.0
KEN,0.0,1817282.7065686798,0.0
KGZ,0.0,2.7519834903057006,0.0
KHM,0.0,171626.1383644478,0.0
KIR,29.367839104361344,0.0,0.0
KWT,0.0,16.098174258197158,0.0
LAO,0.0,206733.94455124097,0.0
LBN,0.0,108574.83203479512,0.0
LCA,0.0,0.0,606.9216361674156
LKA,0.0,478065.18659758824,0.0
LSO,0.0,0.0,40095.821785256754
LTU,0.0,10138.235833974572,0.0
LUX,0.0,3345.963749089881,0.0
LVA,0.0,6662.515177369733,0.0
MAR,0.0,371493.48664410587,0.0
MDA,0.0,31905.534247533204,0.0
MDG,0.0,149374.45470613238,0.0
MDV,0.0,5376.771756927117,0.0
MEX,840430.503429438,0.0,147530.50397880777
MKD,0.0,6055.609330388606,0.0
MLI,0.0,0.0,27234.445994519367
MLT,0.0,2368.0464944667597,0.0
MNG,0.0,30640.42770115271,0.0
MOZ,0.0,0.0,185.87677428534144
MUS,0.0,24016.923150109407,0.0
MWI,0.0,216613.6247010201,0.0
MYS,0.0,214.01683205474933,0.0
NAM,0.0,0.0,59298.9715231675
NER,0.0,0.0,187245.31324685342
NGA,0.0,0.0,8086744.470100047
NIC,0.0,0.0,48267.96737010163
NPL,0.0,11778.436081696154,0.0
NZL,23849.12866221404,0.0,0.0
OMN,0.0,43537.507581823826,0.0
PAK,0.0,8091003.844710268,0.0
PAL,0.0,1520.2677573786827,0.0
PAN,0.0,0.0,14.8716518976132
PER,0.0,0.0,161202.91600656585
PHL,0.0,3341635.250872017,0.0
PLW,0.0,21.48185626583623,0.0
PRT,0.0,37558.75191861882,0.0
PRY,0.0,0.0,23322.097967003378
PYF,7048.162268017821,0.0,0.0
QAT,0.0,14.5417475741133,0.0
RWA,0.0,7.051843482030216,0.0
SAU,0.0,502252.81510362413,0.0
SDN,0.0,23.94866908962794,0.0
SEN,0.0,0.0,677623.754259939
SLB,42.70478336656041,0.0,0.0
SLV,0.0,0.0,15.233263753344135
SVN,0.0,9127.185931910197,0.0
SYC,0.0,2525.2556020352577,0.0
TGO,0.0,0.0,32966.06949041646
TJK,0.0,22657.01545787859,0.0
TTO,0.0,0.0,10469.154490144965
TUN,0.0,8316.894350685925,0.0
TZA,0.0,539587.4362059964,0.0
UGA,0.0,1833037.6184328885,0.0
UKR,0.0,148.02914280713122,0.0
URY,0.0,0.0,8177.42531957997
UZB,0.0,532652.6623028239,0.0
WSM,218.84887164458524,0.0,0.0
YEM,0.0,238406.08827674133,0.0
ZAF,0.0,0.0,15072.974497843643
ZMB,0.0,0.0,180.61168303271697
ZWE,0.0,0.0,21.361402851559873
MMR,0.0,1065515.2916537877,0.0
SWZ,0.0,0.0,869.8172065575587
BRA,0.0,0.0,1204237.5057868997
USA,599911.5999439732,2691404.8171671624,0.0
